ID,left_forefemur,left_foretibia,left_ear
PZFT,13.491,13.855,3.441
PZMO,10.436,11.336,2.281
PZWX,12.43,12.783,3.051
QDVU,12.089,12.881,3.014
QDXY,13.884,14.056,2.98
QIIV,10.745,11.601,2.218
QMKN,12.436,13.071,3.187
QOGZ,12.476,12.644,3.131
QQJU,11.44,13.106,3.049
QRKY,11.68,12.274,2.931
QSRM,13.133,13.353,3.184
QXSG,11.979,12.836,3.001
QYFB,10.758,11.292,2.519
QZHA,11.292,12.511,2.76
RBAX,12.619,13.248,2.715
RBFY,12.899,13.267,3.13
RCMK,11.132,11.599,2.194
RDRL,11.974,12.365,2.69
RIJE,11.675,12.162,2.559
RIWP,12.421,13.271,3.767
RJGO,12.395,13.057,3.06
RJVU,11.853,12.594,3.068
RMQE,12.175,13.104,2.942
RNCJ,11.787,12.559,3.016
RNFD,13.25,13.506,3.164
RPNA,11.585,12.042,2.202
RQME,12.343,13.581,3.148
RSFE,13.915,14.206,3.583
RTXD,12.671,13.306,3.074
RWGW,11.326,12.067,2.677
SBJV,13.925,14.12,3.397
SBJVC,13.472,13.643,3.399
SCBI,14.362,14.971,3.725
SCXD,12.17,13.249,3.029
SDBA,12.689,13.012,2.702
SDVC,13.749,14.043,2.656
SEVZ,13.321,14.369,3.529
SFBL,12.434,13.235,2.95
SGBK,13.369,13.864,3.365
SMVB,12.111,12.467,2.6
SMXT,10.414,10.809,2.026
SNCY,13.112,14.047,3.247
SNDZ,12.991,13.772,3.673
SQCA,13.755,14.332,2.906
SSQG,14.034,15.04,3.383
SVLP,12.755,13.21,2.875
SXDN,11.797,12.211,2.615
SYKW,14.271,14.536,3.554
TABC,12.31,12.859,2.354
TART,11.602,12.477,2.931
TKBC,13.02,13.178,2.608
TKSH,13.416,13.368,2.308
TRCQ,12.432,13.424,3.349
TSNP,13.315,13.956,2.844
TSPY,11.005,11.758,3.023
TYRB,12.237,12.459,3.157
UCYK,11.394,12.023,2.785
UHRS,12.753,14.053,3.224
UKOQ,13.704,14.376,3.325
ULBD,13.36,14.308,3.786
UMXA,11.857,12.933,3.358
UNBX,11.257,12.768,2.399
UPBJ,12.264,13.137,3.317
UQVJ,12.083,12.173,2.848
UWVR,11.65,12.472,2.798
UYSP,13.861,14.197,3.611
VDBS,12.492,13.255,2.435
VDVI,14.028,14.457,3.908
VECM,12.16,13.118,2.536
VFCQ,10.426,11.371,2.448
VFPH,13.418,13.81,2.935
VHBT,13.763,15.029,3.291
VJOC,12.135,12.839,3.129
VJTT,12.045,12.601,3.033
VNSP,11.455,12.747,2.585
VNVH,11.387,12.376,3.188
VUNA,12.542,13.27,3.138
WDBI,11.545,12.741,2.875
WHQS,11.487,12.867,3.535
WHVM,13.689,14.391,3.319
WJST,12.389,12.866,3.478
WKXK,12.697,12.595,2.12
WNVZ,11.99,12.737,2.901
WQOI,13.886,14.394,3.556
WQRK,12.47,13.267,3.147
WSXA,10.972,11.843,2.379
WWFJ,11.06,11.745,2.314
WYMS,11.012,11.462,2.578
XDBU,12.405,13.477,3.159
XKES,12.739,13.644,3.121
XMEN,11.365,12.176,2.421
XNIH,11.157,12.321,2.893
XOAF,11.613,12.248,2.629
XQBJ,13.573,13.836,3.215
XQHC,12.55,13.729,3.056
XRPL,12.526,13.185,3.041
XVQB,11.907,12.836,2.897
XWCJ,12.154,,
YAKT,10.338,11.136,2.296
YBYC,13.281,13.351,2.754
YCTD,10.38,11.547,2.445
YFAT,13.471,14.591,3.83
YMRF,11.006,12.648,2.244
YNBA,12.738,12.924,3.436
YNFN,12.273,12.71,2.913
YNZS,12.847,13.569,3.049
YRUA,11.829,12.09,2.805
YRUH,12.204,13.01,2.933
YSQQ,9.956,11.5,2.562
YUWR,11.271,12.175,2.666
YYNS,12.67,13.389,3.617
YZUH,10.934,11.514,2.137
ZAQJ,10.102,11.133,2.304
ZAVH,10.605,11.63,2.383
ZFKD,10.428,11.499,2.386
ZFXN,12.955,13.955,3.435
ZIER,13.693,13.782,2.664
ZRDE,13.663,14.101,3.304
ZSUF,10.698,11.324,2.197
ZVNV,13.94,14.03,2.988
ZWYP,12.581,13.402,3.116
