ID,left_forefemur,left_foretibia,left_ear,right_forefemur,right_foretibia,right_ear
KAOK,12.535,12.851,3.092,12.445,12.981,3.3
KDQD,13.195,13.494,3.537,12.958,13.592,3.474
KECL,12.458,13.131,2.945,12.553,13.59,3.314
KEHR,11.979,13.312,3.272,11.56,13.132,3.484
KEMO,13.556,13.385,2.785,13.243,13.54,2.947
KIIU,13.76,13.928,3.449,13.795,14.208,3.272
KORY,9.458,10.97,2.431,9.396,10.78,2.316
KPNC,11.049,11.808,2.444,11.063,11.968,2.61
KSLC,12.72,13.323,3.388,12.466,13.467,3.566
KTFS,12.657,13.465,3.008,12.731,13.122,3.129
KTNC,12.129,12.468,2.965,11.952,12.482,3.064
KVWU,12.596,13.133,3.06,12.467,13.139,3.551
KWNJ,12.102,12.591,2.982,12.153,13.33,3.182
KYRB,12.974,13.092,2.776,12.526,13.017,2.685
LAZJ,12.264,12.606,2.797,12.394,12.483,2.566
LEZS,12.521,12.812,2.552,12.461,12.931,2.58
LGMD,13.191,13.427,3.265,13.12,13.502,3.375
LHWT,14.45,15.176,3.92,14.445,14.652,3.578
LIHW,12.076,12.406,2.823,11.639,12.497,2.746
LJJN,13.998,14.415,3.356,13.857,14.616,3.728
LKHO,11.717,12.664,2.456,11.596,12.727,2.801
LLJC,13.613,14.69,4.16,13.325,14.765,3.819
LMMX,11.944,12.69,2.792,11.848,12.855,2.812
LNMX,12.348,12.595,2.52,12.243,,
LQLO,13.074,13.518,2.96,12.85,13.64,3.072
LRRL,14.013,14.923,3.166,13.864,14.211,3.176
LRSS,13.436,13.62,3.132,13.051,13.749,3.491
LTEN,11.605,12.664,3.013,11.95,12.821,2.91
LUXM,12.76,13.601,3.15,12.453,13.556,2.691
LYTH,11.974,13.221,2.812,11.999,13.303,3.153
MAKB,13.429,13.849,3.356,13.337,14.136,3.519
MEAE,11.581,12.312,2.862,11.283,12.449,3.016
MEMQ,10.792,11.398,2.157,10.223,11.286,2.348
MJSX,10.614,11.492,2.799,10.222,11.307,2.581
MKMF,12.944,13.691,2.649,12.632,13.503,2.893
MLES,12.375,12.817,2.685,12.448,12.965,2.986
MONY,12.676,13.028,2.818,12.223,12.854,2.851
MQFA,13.457,13.812,3.727,13.288,13.798,4.209
MTZI,11.648,12.213,2.562,12.15,12.619,2.972
MUVY,13.698,14.085,3.086,13.337,14.045,3.167
MVOV,9.855,10.643,2.083,9.862,10.675,2.119
MXAY,12.438,13.164,3.547,12.318,13.383,3.688
MYTW,13.262,13.595,3.58,13.158,14.019,3.826
NACP,12.218,12.558,2.658,12.182,12.701,2.812
NAPZ,11.555,12.69,2.655,11.675,12.649,2.813
