ID,right_forefemur,right_foretibia,right_ear
PXBQ,11.473,12.201,2.698
PXBW,11.203,11.666,2.352
PZFT,13.104,13.69,3.676
PZMO,10.137,10.849,2.105
PZWX,11.815,12.4,2.617
QDVU,11.804,12.869,2.869
QDXY,13.327,13.673,2.78
QIIV,10.403,11.07,1.926
QMKN,11.932,12.595,3.235
QOGZ,12.202,12.386,2.977
QQJU,10.674,12.736,3.178
QRKY,11.043,11.67,2.634
QSRM,12.712,12.948,3.019
QUAR,10.925,11.222,2.495
QXSG,11.648,12.488,2.674
QYFB,10.411,11.059,2.552
QZHA,11.139,12.031,2.754
RBAX,12.284,12.822,2.931
RBFY,12.888,13.6,3.336
RCMK,,,
RDRL,11.724,12.088,2.258
RIJE,11.052,11.613,2.358
RIWP,12.047,13.447,3.491
RJGO,11.933,12.714,2.724
RJVU,11.493,12.071,2.906
RMQE,11.807,12.896,3.066
RNCJ,11.503,12.096,2.851
RNFD,12.637,13.104,3.101
RPNA,10.988,11.405,2.03
RQME,12.017,12.722,3.068
RSFE,13.399,13.865,3.549
RTXD,12.018,13.087,2.996
RWGW,10.901,11.805,2.509
SBJV,13.462,14.17,3.206
SBJVC,13.201,13.073,2.866
SCBI,13.809,14.395,3.736
SCXD,11.614,13.061,3.062
SDBA,12.543,12.749,2.736
SDVC,13.215,13.735,3.297
SFBL,12.059,12.863,3.19
SGBK,12.588,13.803,3.766
SMVB,11.752,12.443,2.813
SMXT,10.192,10.71,1.966
SNCY,12.511,13.255,3.149
SNDZ,12.648,13.525,3.815
SQCA,13.293,13.739,3.462
SSQG,13.768,14.121,3.689
SVLP,12.308,12.77,2.797
SXDN,11.367,11.896,2.51
SYKW,13.77,14.382,3.753
TABC,12.196,12.738,2.66
TART,11.368,12.594,2.779
TKBC,12.692,12.845,2.515
TKSH,12.918,13.408,3.047
TRCQ,11.845,13.139,2.99
TSNP,12.702,13.405,2.952
TSPY,10.97,11.865,3.135
TWQN,11.053,11.559,2.495
UCYK,11.006,11.562,2.664
UHRS,12.344,13.474,3.138
UKOQ,13.445,14.112,3.427
ULBD,13.391,14.293,3.814
UMXA,11.889,13.066,3.407
UNBX,11.089,12.244,2.43
UPBJ,11.686,12.439,3.025
UQVJ,12.007,12.061,2.467
UWVR,11.288,12.139,2.861
UYSP,13.637,13.683,3.326
VDBS,12.203,12.915,3.638
VDVI,14.011,13.925,3.371
VECM,11.918,12.867,2.308
VFCQ,10.431,11.462,2.918
VFPH,13.146,13.278,3.079
VGLK,12.958,13.677,3.33
VHBT,13.335,,
VJOC,12.073,12.928,3.597
VJTT,11.958,12.91,3.164
VNSP,10.838,12.69,2.742
VNVH,11.436,12.537,3.451
VUNA,12.135,13.11,3.248
WDBI,11.898,12.448,2.828
WHQS,10.721,12.376,3.487
WHVM,13.434,14.139,3.383
WJST,12.166,12.735,3.46
WKXK,12.711,13.462,3.101
WNVZ,12.052,12.058,2.895
WQOI,13.641,14.167,3.606
WQRK,12.104,13.318,2.953
WSXA,10.978,11.708,2.381
WWFJ,10.46,11.392,2.408
XDBU,11.863,13.044,3.178
XKES,12.465,12.945,3.112
XMEN,10.969,11.678,2.416
XNIH,10.884,11.923,2.864
XOAF,11.396,11.96,2.55
XQBJ,13.03,13.149,2.969
XRPL,11.735,12.9,3.088
XVQB,11.459,12.339,2.504
XWCJ,11.484,12.411,2.759
YAKT,9.699,10.74,2.144
YBYC,12.873,13.001,2.638
