group,n,pronotum_mean,pronotum_sd,pronotum_min,pronotum_max,foreleg_mean,midleg_mean,hindleg_mean,ear_mean,eye_mean
female,118,7.810847457627118,0.4112416809148682,6.859,8.598,25.093110169491524,24.84038559322034,42.24861440677966,3.0909661016949155,2.612906779661017
eighth,78,6.367961538461539,0.3686975476164462,5.713,7.488,22.887679487179486,21.978214285714287,34.225848684210526,2.5037371794871794,2.5005641025641028
ninth,79,6.933417721518987,0.3205543518694361,6.203,7.733,25.783949367088606,24.565708860759493,38.53112025316456,2.9845253164556964,2.810860759493671
tenth,38,7.523157894736842,0.30749770610577404,6.988,8.315,28.100894736842104,26.63803947368421,41.59497368421053,3.423828947368421,3.1887894736842104
