group,n,standardized_beta,lower_90,upper_90,robust_beta,equivalence_bound,TOST_p,equivalent,estimate,SE,df,lower_bound,upper_bound,p_lower,p_upper
Female,118,0.4655517974657607,0.25545306220683384,0.6756505327246876,0.4373948053033138,0.2,0.9808566487214383,FALSE,0.4655517974657607,0.12670198792091666,115,-0.2,0.2,3.479069372537995e-7,0.9808566487214383
Eighth instar,78,0.2753201795514368,0.043156168660718225,0.5074841904421553,0.2630664147606961,0.2,0.704707320879664,FALSE,0.2753201795514368,0.1394022299705605,75,-0.2,0.2,5.249287569979647e-4,0.704707320879664
Ninth instar,79,0.16695690538936095,-0.03285361179817714,0.36676742257689904,0.17227628037075135,0.2,0.3918897734682738,FALSE,0.16695690538936095,0.11999540869302383,76,-0.2,0.2,0.0015374364271917224,0.3918897734682738
Tenth instar,38,0.21823379303829618,-0.07679571777974456,0.5132633038563369,0.22075902616693255,0.2,0.541284369710333,FALSE,0.21823379303829618,0.17461785048606085,35,-0.2,0.2,0.011049637137393088,0.541284369710333
