term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
logP_c,NA,NA,1,306.97,188.601,8.693079110420416e-34
group,NA,NA,3,306.98,53.289,9.36347491712962e-28
leg,NA,NA,2,302.73,14140.809,1.1027251615227201e-299
logP_c:group,NA,NA,3,306.9,3.528,0.015296157561721545
logP_c:leg,NA,NA,2,302.59,0.264,0.7685215670419845
group:leg,NA,NA,6,302.62,71.972,2.216856310861578e-55
logP_c:group:leg,NA,NA,6,302.58,1.815,0.09586783344533444
