component,df,residual_df,F,p_value,p_BH,p_Holm,trait_set
PC1,3,297,183.74247301228556,2.3273271114465348e-67,1.1636635557232674e-66,1.1636635557232674e-66,five_non_head_traits
PC2,3,297,157.72604902092345,3.802584348589312e-61,9.50646087147328e-61,1.521033739435725e-60,five_non_head_traits
PC3,3,297,3.064000748857759,0.028402811329304715,0.035503514161630896,0.05680562265860943,five_non_head_traits
PC4,3,297,3.6936689182366806,0.01229308668165801,0.02048847780276335,0.03687926004497403,five_non_head_traits
PC5,3,297,1.5155837948275743,0.21052424683863324,0.21052424683863324,0.21052424683863324,five_non_head_traits
