contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference,Holm_family
Eighth instar - Female,Foreleg,0.05670900689244167,0.010801097026277205,330.97393501819533,0.030719290832922977,0.08269872295196036,5.250300664319415,2.721288523789709e-7,Leg length,1.058347793668944,1.0311959970853823,1.0862145077461725,5.834779366894405,Three male-versus-female contrasts within Foreleg
Ninth instar - Female,Foreleg,0.107639731797603,0.007534995765032572,330.97393502064756,0.08950894378908511,0.1257705198061209,14.285307537546798,4.2667423865941754e-36,Leg length,1.1136464616970698,1.0936371145282981,1.1340219028551564,11.364646169706983,Three male-versus-female contrasts within Foreleg
Tenth instar - Female,Foreleg,0.156555661574579,0.009849656000548854,330.9739350206392,0.13285531316409713,0.1802560099850609,15.894530891825585,3.4255002317715536e-42,Leg length,1.1694758553749776,1.14208474174834,1.1975239019578847,16.947585537497755,Three male-versus-female contrasts within Foreleg
Eighth instar - Female,Midleg,0.02095973626938268,0.010773504431295555,314.99302057716375,-0.004970305569727808,0.046889778108493166,1.945489176994026,0.05260548763059988,Leg length,1.021180934255716,0.9950420259600506,1.0480064894557977,2.11809342557161,Three male-versus-female contrasts within Midleg
Ninth instar - Female,Midleg,0.07259683537074714,0.007509138774016888,314.1579649200071,0.054523323431630494,0.09067034730986379,9.667797806846586,3.1756940617287157e-19,Leg length,1.0752969278254094,1.056037106535748,1.0949080063898524,7.529692782540942,Three male-versus-female contrasts within Midleg
Tenth instar - Female,Midleg,0.11468002575487513,0.009815856052326499,314.1579649200678,0.09105454793467069,0.13830550357507956,11.683140537466858,5.928178710301282e-26,Leg length,1.121514524390175,1.0953287515501147,1.1483263144860236,12.151452439017497,Three male-versus-female contrasts within Midleg
Eighth instar - Female,Hindleg,-0.0654022122838811,0.01162691401145239,314.03945928228603,-0.09338672586743799,-0.037417698700324215,-5.625070609403372,1.231379891310826e-7,Leg length,0.9366906391195605,0.910841186328188,0.9632736931354308,-6.3309360880439485,Three male-versus-female contrasts within Hindleg
Ninth instar - Female,Hindleg,-0.004562979159243884,0.008092831553356682,312.60139935250976,-0.024041885110325907,0.01491592679183814,-0.5638297460116153,0.5732742649584482,Leg length,0.9954474154140762,0.976244818779614,1.0150277243911932,-0.455258458592378,Three male-versus-female contrasts within Hindleg
Tenth instar - Female,Hindleg,0.03852232254440098,0.010578852245792358,312.6013993520283,0.013059730544606539,0.06398491454419541,3.6414463166099025,6.344257753883225e-4,Leg length,1.0392739273374407,1.0131453812779159,1.0660763163930453,3.927392733744073,Three male-versus-female contrasts within Hindleg
