row_id,ID,group,log_ear_linear,logP_c,relative_foretibia_size,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
207,RDRL,Eighth instar,0.45291813698514805,-0.06602110109779402,-0.0018382655374470744,0.48693924247753706,-0.034021105492389014,0.026325387044526447,0.0367948797459714,0.0019790825759528952,-0.9372212380276588,FALSE,FALSE,FALSE,FALSE
221,SBJVC,Ninth instar,0.5709157038940432,-0.10274049412361563,0.04928504400739306,0.5499906425888323,0.02092506130521088,0.06114492380058937,0.036827585105195744,0.001870323664562393,0.5870405249660934,FALSE,FALSE,FALSE,FALSE
175,OWAU,Ninth instar,0.47957931605066545,-0.04851936750482522,-0.01765911000585592,0.5220239946364348,-0.042444678585769335,0.016313974816719132,0.03676575641433417,0.0018703086524677493,-1.1633104290238765,FALSE,FALSE,FALSE,FALSE
202,QYFB,Female,0.46519542812646836,-0.010330958838365323,-0.0826788528280038,0.44857820364760936,0.016617224478858994,0.08973004908960558,0.036834962110421185,0.0018413420291503266,0.4734498754410945,FALSE,TRUE,FALSE,TRUE
291,YBYC,Ninth instar,0.49588459652503025,-0.03980977550533571,3.8750758655320774e-4,0.5433911850685609,-0.047506588543530626,0.012665968336894986,0.0367451517824082,0.001805667887463257,-1.2996380401651606,FALSE,FALSE,FALSE,FALSE
285,XQBJ,Tenth instar,0.5644090653625876,-0.00850831550168607,-0.0391263758194203,0.5507132079602791,0.013695857402308498,0.12070768291561972,0.03683903524600708,0.0018032951215298497,0.39702989553657314,FALSE,TRUE,FALSE,TRUE
310,ZRDE,Ninth instar,0.570596368101614,-0.010892441166423739,0.042522760940365334,0.5983668804783694,-0.02777051237675543,0.03522129492793009,0.03681251265242759,0.0017969570072706945,-0.7685474064801905,FALSE,FALSE,FALSE,FALSE
306,ZAVH,Eighth instar,0.40066435670223666,-0.12483912138059217,-0.0358051262478613,0.43318334703315564,-0.032518990330918984,0.025977088794880553,0.036799546840377936,0.0017829790477493568,-0.8956804391655127,FALSE,FALSE,FALSE,FALSE
113,KEHR,Female,0.6086419091928043,0.1562912443263691,-0.02638044635955974,0.5794778610295429,0.029164048163261347,0.0318911111057586,0.03680892654767192,0.0017821196093571964,0.8057240481230167,FALSE,FALSE,FALSE,FALSE
53,FFVD,Female,0.5104154555740394,0.07786084195524157,0.007761945617147028,0.5665512942918035,-0.056135838717764064,0.008986400978955287,0.03670458075967701,0.0017755258384736924,-1.5328548483177615,FALSE,FALSE,FALSE,FALSE
279,WYMS,Eighth instar,0.47350695225849776,-0.15130750326478526,-0.01251516088771217,0.43348113860376847,0.04002581365472929,0.01727860733470328,0.03677487584866495,0.0017650144008809114,1.09755321725237,FALSE,FALSE,FALSE,FALSE
262,VGLK,Ninth instar,0.6014861519961762,-0.05848281989035531,0.04814457418224928,0.575202840483643,0.02628331151253316,0.03794352160936482,0.036816193172675066,0.0017438802701915885,0.7284175842907619,FALSE,FALSE,FALSE,FALSE
150,MVOV,Eighth instar,0.3712067109314317,-0.15163070947315793,-0.08494354057307071,0.3873254799877386,-0.01611876905630688,0.08978461118773796,0.03683577241944328,0.001733793237972933,-0.45926189045981086,FALSE,TRUE,FALSE,TRUE
130,LKHO,Eighth instar,0.4832066706386829,-0.09293799565926908,0.05281212089577945,0.5068996714022453,-0.023693000763562455,0.045358734850450826,0.03682207903900413,0.0017204444847626899,-0.6591747906934999,FALSE,FALSE,FALSE,FALSE
