"model","prior_scale","trait","contrast","effect_unit","region","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p","frequentist_df","frequentist_holm_p"
"morphology",2,"fore","eighth_minus_tenth","percent length","",-0.0985029781,-0.1231437015975,-0.0746231483,-9.38070061231029,-11.5863398410449,-7.19068260754162,0,1,,-0.098053997624806,-0.122168188267909,-0.0739398069817034,2.63320279658132e-14,303,5.26640559316265e-14
"morphology",2,"fore","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",-0.000111486999999997,-0.01575391278125,0.01512946599375,-0.0111480785555358,-1.56304689883386,1.52444957451454,0.494625,0.505375,0.998875,0.000111069035426875,-0.0154120040442532,0.0156341421151069,0.988775450758539,303,0.988775450758539
"morphology",2,"fore","tenth_minus_female","percent length","",0.156753882,0.13753184015,0.175927346325,16.9707692353203,14.7438239996122,19.2351426790598,1,0,,0.15655566157458,0.137207801298512,0.175903521850648,6.69750438100037e-42,303,2.00925131430011e-41
"morphology",2,"mid","eighth_minus_tenth","percent length","",-0.092149306,-0.11625165115,-0.06847009395,-8.80310230604211,-10.974883762274,-6.61786134049862,0,1,,-0.0918024371697587,-0.115774798552807,-0.06783007578671,5.64784032144299e-13,303,1.1295680642886e-12
"morphology",2,"mid","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",0.0036674925,-0.0117906712575,0.0190108589125,0.367422597976454,-1.17214336794844,1.91927158818411,0.685,0.315,0.996625,0.00381802820075142,-0.0116137448638778,0.0192498012653807,0.626705186773493,303,0.626705186773493
"morphology",2,"mid","tenth_minus_female","percent length","",0.1148311155,0.0960123494,0.133540772,12.1683986535493,10.0772657791901,14.2867862193673,1,0,,0.114680025754876,0.0954459612411125,0.133914090268639,1.8508531842124e-26,303,5.55255955263721e-26
"morphology",2,"hind","eighth_minus_tenth","percent length","",-0.1028267825,-0.12863292435,-0.077257544075,-9.77167488048278,-12.0703325288966,-7.43485731353884,0,1,,-0.102395041882447,-0.128289955165335,-0.0765001285995602,1.139313950615e-13,303,3.41794185184501e-13
"morphology",2,"hind","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",0.0082185645,-0.008775839,0.02430131175,0.825242961184832,-0.873744372393491,2.4598995100513,0.832125,0.167875,0.977625,0.00811221923757896,-0.00855716176017027,0.0247816002353282,0.339003121981288,303,0.339003121981288
"morphology",2,"hind","tenth_minus_female","percent length","",0.03836048675,0.0178198727175,0.05924968655,3.91057492247961,1.79795939762983,6.10401351192505,0.999875,0.000125,,0.0385223225444016,0.0177457113168756,0.0592989337719277,0.000310394477156472,303,0.000620788954312944
"morphology",2,"earlin","eighth_minus_tenth","percent area","",-0.0709684475,-0.104437657575,-0.0384928309925,-13.2323990547121,-18.8503589355978,-7.40968708757232,0,1,,-0.0700715553561987,-0.102827854127452,-0.0373152565849458,3.37669456396914e-05,303,6.75338912793829e-05
"morphology",2,"earlin","ninth_minus_midpoint","percent area","within +/-2.5% (illustrative)",0.00623082565,-0.0141440670655,0.026996462025,1.25396212179207,-2.78917711152302,5.54771336252329,0.723375,0.276625,0.67425,0.00659079684336179,-0.0144954766779697,0.0276770703646932,0.538970310305358,303,0.538970310305358
"morphology",2,"earlin","tenth_minus_female","percent area","",0.075209116,0.04924899475,0.10171378755,16.232026061432,10.3512185780912,22.5596390730739,1,0,,0.0748143981329113,0.048532599951615,0.101096196314208,4.76756413139605e-08,303,1.43026923941881e-07
"morphology",2,"eye","eighth_minus_tenth","percent length","",-0.1422879105,-0.180835115175,-0.103233743525,-13.2628504827674,-16.5427044232595,-9.80838682148621,0,1,,-0.1411753320607,-0.180092335938907,-0.102258328182494,7.01505624857081e-12,303,1.40301124971416e-11
"morphology",2,"eye","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",-0.0147557035,-0.04021505015,0.0103294048125,-1.46473715994657,-3.94171565456708,1.03829372751142,0.123,0.877,0.79875,-0.0145730815009074,-0.0396251972523597,0.010479034250545,0.253235143108986,303,0.253235143108986
"morphology",2,"eye","tenth_minus_female","percent length","",0.239375676,0.207242946925,0.27009794065,27.0455726669365,23.0281428566069,31.0092755786067,1,0,,0.239129587398881,0.207904788501718,0.270354386296043,1.09627474397329e-38,303,3.28882423191988e-38
