"fit","max_rhat","min_bulk_ess","min_tail_ess","divergences","max_treedepth_hits","min_ebfmi","diagnostics_pass"
"morphology_prior1",1.00127053799106,2436.79892262272,3858.83090598592,0,0,0.991599931974887,TRUE
"morphology_prior1_prior_only",1.01233969050527,1319.07360688788,899.901544876422,0,0,0.935620870665036,FALSE
"morphology_prior2",1.00262485718431,3062.3283205858,4206.33968345284,0,0,0.96926569816132,TRUE
"morphology_prior2_prior_only",1.01157582097907,1528.78114135611,702.675771211167,0,0,0.977038342273416,FALSE
"integration_prior1",1.00152387909635,2908.61023463989,4556.82355394448,0,0,0.922616601149637,TRUE
"integration_prior1_prior_only",1.00624981839345,1490.10172624512,789.34877560064,0,0,0.928266412536145,TRUE
"integration_prior2",1.00168378403678,2565.04424091661,3972.71020172675,0,0,0.960499396665194,TRUE
"integration_prior2_prior_only",1.00924342770628,1731.84746766822,823.880589737307,0,0,0.94855007285437,TRUE
"instar_prior1",1.00162484308406,2659.21729899021,4105.35034840046,0,0,0.95983961376128,TRUE
"instar_prior1_prior_only",1.00799464738529,1461.66079336712,873.946295967789,0,0,0.959000790523379,TRUE
"instar_prior2",1.00193116027223,2933.73044033974,4511.56499297648,0,0,0.968510703260602,TRUE
"instar_prior2_prior_only",1.00823934434508,1637.23598884305,742.73348037827,0,0,0.862800790483522,TRUE
