"trait","contrast","effect_unit","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p","frequentist_holm_p"
"fore","per_male_instar","percent linear dimension (ear is square root of area)",0.0486254765,0.03965749685,0.0577058532,4.98270921853797,4.04543542646316,5.94033297754032,1,0,,0.0487088576662616,0.0395714452379221,0.057846270094601,3.34319186654083e-22,1.67159593327041e-21
"fore","matched_sex","percent linear dimension (ear is square root of area)",0.147422185,0.136273244,0.159320539,15.8843105944872,14.5994987071704,17.2713786946322,1,0,,0.147690948375029,0.136184275283017,0.159197621467042,6.28724785544551e-77,3.14362392772276e-76
"fore","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.0988901425,-0.110869211425,-0.086867603875,-9.41577838811496,-10.4944195652695,-8.32015318370606,0,1,,-0.0989820907087675,-0.111092888569823,-0.0868712928477118,1.22229355444529e-42,6.11146777222644e-42
"mid","per_male_instar","percent linear dimension (ear is square root of area)",0.042160475,0.0330952647,0.0510548288,4.30618506713861,3.36490048134333,5.23805924664292,1,0,,0.0422411945276653,0.0331905871400711,0.0512918019152594,6.37699936710038e-18,2.55079974684015e-17
"mid","matched_sex","percent linear dimension (ear is square root of area)",0.103566125,0.092243498475,0.11520364075,10.9119131442868,9.6631817748237,12.2101919983546,1,0,,0.103796578714172,0.0923992185413723,0.115193938886971,1.1945494263106e-49,3.5836482789318e-49
"mid","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.061548236,-0.073177648825,-0.0494408399,-5.96924120313145,-7.05642978015639,-4.82385372257344,0,1,,-0.0615553841865065,-0.0735511299679902,-0.0495596384050228,6.90573929090168e-21,2.0717217872705e-20
"hind","per_male_instar","percent linear dimension (ear is square root of area)",0.044323245,0.034674916475,0.0544281589,4.53201948093406,3.528310060998,5.59366140408564,1,0,,0.0444585442788408,0.0345069102635811,0.0544101782941004,1.08085850117064e-16,2.16171700234128e-16
"hind","matched_sex","percent linear dimension (ear is square root of area)",0.0218307145,0.009207821205,0.034332285925,2.20707480669525,0.925034360334565,3.49284417537614,1,0,,0.0219906458852189,0.00945862982016814,0.0345226619502697,0.000632542977342073,0.000632542977342073
"hind","instar_minus_sex","percent linear dimension (ear is square root of area)",0.022463391,0.009962983275,0.0357284713625,2.27175928107496,1.00127790268929,3.6374402953089,0.99975,0.00025,,0.0224678983936219,0.00927792487636893,0.0356578719108748,0.000903200103887573,0.000903200103887573
"earlin","per_male_instar","percent linear dimension (ear is square root of area)",0.034766225,0.02278976195,0.046700903775,3.53776350986908,2.30514325979379,4.78085666204653,1,0,,0.0348070882299134,0.0226973233962096,0.0469168530636171,3.5515881638918e-08,3.5515881638918e-08
"earlin","matched_sex","percent linear dimension (ear is square root of area)",0.07606396,0.060950309575,0.09147895525,7.90315868105281,6.28460996006178,9.57937157450867,1,0,,0.0762426546881533,0.0609929211059841,0.0914923882703224,4.96449075781026e-20,9.92898151562051e-20
"earlin","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.0413670105,-0.057413766475,-0.025577748325,-4.05230727860937,-5.57966911444898,-2.52534088951682,0,1,,-0.0414355664582399,-0.0574859434326935,-0.0253851894837863,6.5690914342951e-07,1.31381828685902e-06
"eye","per_male_instar","percent linear dimension (ear is square root of area)",0.065628361,0.051115246175,0.07978031295,6.78297962172731,5.24441764600966,8.30491096738606,1,0,,0.0655487630829859,0.0511529269867353,0.0799445991792364,3.23001163479354e-17,9.69003490438062e-17
"eye","matched_sex","percent linear dimension (ear is square root of area)",0.21993423,0.20171005725,0.23792890075,24.5994778815824,22.3493213691825,26.8618991759485,1,0,,0.220194597256426,0.202066031741314,0.238323162771538,4.8114434855983e-72,1.92457739423932e-71
"eye","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.15435716,-0.17337113355,-0.134864799025,-14.3034107591867,-15.9174501622384,-12.6165953083013,0,1,,-0.15464583417344,-0.173726187869838,-0.135565480477043,3.9506524526386e-42,1.58026098105544e-41
