"fit","trait","group","observed_mean","replicated_mean_lower","replicated_mean_upper","observed_sd","replicated_sd_lower","replicated_sd_upper"
"morphology_prior1_prior_only","fore","female",0.00252398052436941,-0.999441901314055,1.0435252286427,0.0491088518769583,0.0171631249168613,0.509238326458426
"morphology_prior1_prior_only","fore","eighth",-0.0892916172741325,-1.0125389731445,0.885529773848609,0.0570336387025075,0.0213721946933457,0.580389060978008
"morphology_prior1_prior_only","fore","ninth",0.0298561193714521,-1.00484488597533,0.859634270886533,0.0455446133674905,0.0143844191072303,0.545132251910591
"morphology_prior1_prior_only","fore","tenth",0.116487707071613,-0.90021600962317,0.90312987414618,0.0299500270022133,0.0151916509099727,0.506791902173905
"morphology_prior1_prior_only","mid","female",-0.00759048703383411,-0.883960854664766,1.01786344248688,0.0490536443178977,0.0246718389286906,0.560508907369358
"morphology_prior1_prior_only","mid","eighth",-0.130554936522382,-0.994840271177012,1.01056272443854,0.0556654757117932,0.0297431654115085,0.564916771726948
"morphology_prior1_prior_only","mid","ninth",-0.0186051672503194,-0.8414403540598,0.894180469831728,0.0469181122516426,0.0200464482090814,0.531357900222469
"morphology_prior1_prior_only","mid","tenth",0.063032220340955,-0.923557465230657,0.814926664028802,0.0297932570765253,0.0193849413579739,0.555532725091308
"morphology_prior1_prior_only","hind","female",0.0530813316311323,-0.917853879498934,0.860275317063208,0.057090246644809,0.0198006537804666,0.433682681497958
"morphology_prior1_prior_only","hind","eighth",-0.15729295268366,-1.00546341795243,1.05941120024016,0.0531631198131494,0.0281695231813658,0.419314398632255
"morphology_prior1_prior_only","hind","ninth",-0.0383491769777212,-0.836558437775346,1.07839249524258,0.0435550559868974,0.014884280530435,0.441819108609812
"morphology_prior1_prior_only","hind","tenth",0.0385740825259403,-1.08743730084351,0.998037093293028,0.0328393885805859,0.0153534068379399,0.453926745589733
"morphology_prior1_prior_only","earlin","female",0.00182714788278329,-1.02360895725802,0.935809986378995,0.052984887772904,0.0221031800731672,0.752732978328047
"morphology_prior1_prior_only","earlin","eighth",-0.103508086712686,-1.1976357250103,1.11236038543317,0.053498262945642,0.0219557283747417,0.826953746572921
"morphology_prior1_prior_only","earlin","ninth",-0.015965855566762,-1.1254864559998,0.859456369242636,0.0557243557378188,0.0200632812669529,0.853071360108736
"morphology_prior1_prior_only","earlin","tenth",0.0535036281741475,-0.964417287953215,0.882328045789201,0.0482234147661895,0.0213123930899297,0.805369829387381
"morphology_prior1_prior_only","eye","female",-0.140053260438262,-0.929433251095263,0.989519054417828,0.0623520908358125,0.0262492764872,0.621470470520517
"morphology_prior1_prior_only","eye","eighth",-0.183420622969945,-1.04068206834847,0.861218714981709,0.0693383925870415,0.0174659042525191,0.640677842441997
"morphology_prior1_prior_only","eye","ninth",-0.0672245394454498,-1.05924288756498,0.894823782213491,0.0652427313706381,0.0144090472554562,0.596236979612502
"morphology_prior1_prior_only","eye","tenth",0.0596014326862062,-0.97656432198814,1.18488263140419,0.0541868285585567,0.0132604178851003,0.610452035664466
