"trait","group","slope_region_halfwidth","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p"
"fore","female",,0.418773645,0.28333934375,0.5517747135,0.418773645,0.28333934375,0.5517747135,1,0,,0.419393840622729,0.281282569709393,0.557505111536065,6.50076028104107e-09
"fore","eighth",,0.454068575,0.34326343275,0.563115806,0.454068575,0.34326343275,0.563115806,1,0,,0.453720090499833,0.340842439734544,0.566597741265121,5.02052204400384e-14
"fore","ninth",,0.322323275,0.2189919945,0.4288710245,0.322323275,0.2189919945,0.4288710245,1,0,,0.322881588339157,0.215745210868038,0.430017965810277,8.3153394339225e-09
"fore","tenth",,0.22808423,-0.058338461925,0.50825702475,0.22808423,-0.058338461925,0.50825702475,0.945125,0.054875,,0.23426232254306,-0.0498192254101789,0.5183438704963,0.105682818146504
"mid","female",,0.420826445,0.29067421975,0.55002354275,0.420826445,0.29067421975,0.55002354275,1,0,,0.42158156291765,0.288268870252164,0.554894255583136,1.64180301875071e-09
"mid","eighth",,0.463736365,0.3563974645,0.567039407,0.463736365,0.3563974645,0.567039407,1,0,,0.462417090325967,0.353461293556003,0.571372887095932,2.5383693075507e-15
"mid","ninth",,0.360778885,0.26015789275,0.46291938125,0.360778885,0.26015789275,0.46291938125,1,0,,0.360554374958311,0.257140375009943,0.46396837490668,3.93418491878288e-11
"mid","tenth",,0.363597155,0.094927541675,0.62985052275,0.363597155,0.094927541675,0.62985052275,0.994125,0.005875,,0.367025252928294,0.0928139170700492,0.641236588786538,0.00887711706056572
"hind","female",,0.631983175,0.48742710425,0.7741406125,0.631983175,0.48742710425,0.7741406125,1,0,,0.632757888635759,0.488509091874856,0.777006685396662,3.6321405015107e-16
"hind","eighth",,0.34100541,0.2258275825,0.4588148175,0.34100541,0.2258275825,0.4588148175,1,0,,0.342489619958491,0.224595800023206,0.460383439893777,2.62534319766009e-08
"hind","ninth",,0.364922245,0.2519017185,0.4741802955,0.364922245,0.2519017185,0.4741802955,1,0,,0.365048926434244,0.25315151619878,0.476946336669708,5.33833928518066e-10
"hind","tenth",,0.530299895,0.238763371,0.830963688,0.530299895,0.238763371,0.830963688,0.999625,0.000375,,0.53339297164087,0.236687125671621,0.830098817610119,0.000467607041452867
"earlin","female",,0.394817805,0.17729441875,0.61210103275,0.394817805,0.17729441875,0.61210103275,1,0,,0.396568364687347,0.177360483579287,0.615776245795407,0.000430970714390347
"earlin","eighth",,0.1620394,-0.020798884925,0.34323321875,0.1620394,-0.020798884925,0.34323321875,0.957875,0.042125,,0.161130724316905,-0.0180267802450577,0.340288228878868,0.0777600496106134
"earlin","ninth",,0.13020857,-0.0392211775,0.2972808175,0.13020857,-0.0392211775,0.2972808175,0.931,0.069,,0.13034154771551,-0.0397035046522591,0.300386600083279,0.132497488861145
"earlin","tenth",,0.282848925,-0.16052523175,0.72671901425,0.282848925,-0.16052523175,0.72671901425,0.895125,0.104875,,0.290614695273497,-0.160274748990636,0.741504139537631,0.205640930700951
"eye","female",,0.40155134,0.165698984,0.62641232425,0.40155134,0.165698984,0.62641232425,0.999625,0.000375,,0.402375158646532,0.175083777018877,0.629666540274188,0.000568180779782357
"eye","eighth",,0.679569955,0.493786334,0.869139147,0.679569955,0.493786334,0.869139147,1,0,,0.680992958375784,0.495228849279826,0.866757067471743,4.48094748348367e-12
"eye","ninth",,0.560315525,0.376894884,0.7413229415,0.560315525,0.376894884,0.7413229415,1,0,,0.562651947750185,0.386336321248761,0.738967574251609,1.19088384561209e-09
"eye","tenth",,0.933954015,0.4629089735,1.4036028175,0.933954015,0.4629089735,1.4036028175,1,0,,0.944119808154827,0.476603383881738,1.41163623242792,8.86168050786627e-05
