"group_contrast","leg_contrast","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p","frequentist_holm_p"
"tenth_minus_eighth","fore_relative_hind",-0.00412365914999999,-0.02440488821,0.01608158547175,-0.411516854240729,-2.41094968029257,1.62115901261167,0.343375,0.656625,,-0.00434104425764151,-0.0241439853216467,0.0154618968063637,0.666505493335354,1
"tenth_minus_eighth","mid_relative_hind",-0.0104864805,-0.02932858635,0.00853250974999999,-1.04316890537556,-2.89026772881005,0.856901536562245,0.142875,0.857125,,-0.0105926047126887,-0.0291995334342645,0.00801432400888702,0.26349506187554,1
"tenth_minus_eighth","anterior_mean_relative_hind",-0.0072924621,-0.02603415890125,0.0110955219475,-0.72659366161203,-2.56981920389255,1.11573055467978,0.219625,0.780375,,-0.00746682448516513,-0.0256812327888321,0.0107475838185019,0.420477319328827,1
"ninth_minus_midpoint","fore_relative_hind",-0.007933427325,-0.0208309145725,0.00517252628249999,-0.790204074633094,-2.06154497746339,0.51859268916098,0.11575,0.88425,,-0.00800115020215208,-0.0207489345204732,0.00474663411616906,0.217748166767383,1
"ninth_minus_midpoint","mid_relative_hind",-0.00425226545,-0.016213393657,0.00820155433999998,-0.424323737040161,-1.60826640670584,0.823527922256606,0.246125,0.753875,,-0.00429419103682754,-0.016272064091258,0.00768368201760293,0.481050320971068,1
"ninth_minus_midpoint","anterior_mean_relative_hind",-0.0061359161675,-0.017843691988125,0.006027147920625,-0.611712987723244,-1.76854360045904,0.604534772258081,0.1575,0.8425,,-0.00614767061948981,-0.0178728657705793,0.00557752453159966,0.303009507944358,1
"tenth_minus_female","fore_relative_hind",0.118183073,0.1017156045,0.13443428829,12.5450132040379,10.7068581630585,14.3889489598255,1,0,,0.118033339030178,0.102144581143495,0.133922096916861,5.41587616263583e-37,4.87428854637225e-36
"tenth_minus_female","mid_relative_hind",0.0760823656,0.0608919536375,0.0915265935425,7.90514472170731,6.27840780297384,9.58459187300577,1,0,,0.0761577032104743,0.0612285578619959,0.0910868485589527,1.1677923729239e-20,8.17454661046731e-20
"tenth_minus_female","anterior_mean_relative_hind",0.0971414835,0.0822498660125,0.1120887389925,10.2016279711991,8.57270622314629,11.8612120753453,1,0,,0.0970955211203264,0.0824813119152003,0.111709730325452,2.80263152962125e-31,2.242105223697e-30
