"fit","trait","group","observed_mean","replicated_mean_lower","replicated_mean_upper","observed_sd","replicated_sd_lower","replicated_sd_upper"
"morphology_prior1","fore","female",0.00252398052436941,-0.00576230369095014,0.0111952408455282,0.0491088518769583,0.041876437153857,0.056631180718363
"morphology_prior1","fore","eighth",-0.0892916172741325,-0.0993153346862507,-0.0768913607089033,0.0570336387025075,0.0474102111373087,0.0627799263446933
"morphology_prior1","fore","ninth",0.0298561193714521,0.0202864656870822,0.0417695034783116,0.0455446133674905,0.0358100672293015,0.0511332527451588
"morphology_prior1","fore","tenth",0.116487707071613,0.0994239891842272,0.131590054093415,0.0299500270022133,0.0276601097177716,0.0461941046438051
"morphology_prior1","mid","female",-0.00759048703383411,-0.0161183986539388,0.000652720016292248,0.0490536443178977,0.0437826151209627,0.056963003501746
"morphology_prior1","mid","eighth",-0.130554936522382,-0.142171689326602,-0.120531447643456,0.0556654757117932,0.044041799152805,0.0598238732506118
"morphology_prior1","mid","ninth",-0.0186051672503194,-0.0295855511640279,-0.00907713667077227,0.0469181122516426,0.0380066780362255,0.0532128746609868
"morphology_prior1","mid","tenth",0.063032220340955,0.0478752100312894,0.0800889122905689,0.0297932570765253,0.027989282763301,0.0435482409152192
"morphology_prior1","hind","female",0.0530813316311323,0.0426472310733114,0.0617088365972426,0.057090246644809,0.0472555635731764,0.0625467652918355
"morphology_prior1","hind","eighth",-0.15729295268366,-0.167939396111447,-0.147849196702507,0.0531631198131494,0.0419545048622062,0.0616967013735785
"morphology_prior1","hind","ninth",-0.0383491769777212,-0.0482533919683367,-0.0282964544703683,0.0435550559868974,0.0376175527400013,0.0522903937916167
"morphology_prior1","hind","tenth",0.0385740825259403,0.0259602749301931,0.0536052973140003,0.0328393885805859,0.0287919392009014,0.0471605905474459
"morphology_prior1","earlin","female",0.00182714788278329,-0.0087789238244137,0.013520645874778,0.052984887772904,0.0449618745018671,0.0625443418139896
"morphology_prior1","earlin","eighth",-0.103508086712686,-0.117312511636185,-0.0916981224806185,0.053498262945642,0.0450306333372643,0.0655786018470499
"morphology_prior1","earlin","ninth",-0.015965855566762,-0.0302490925241129,-0.00159165822951411,0.0557243557378188,0.0449083464791403,0.063568393481456
"morphology_prior1","earlin","tenth",0.0535036281741475,0.0327350447978072,0.074938659391362,0.0482234147661895,0.0367461143354806,0.0625231842023569
"morphology_prior1","eye","female",-0.140053260438262,-0.153671206913475,-0.127154429948846,0.0623520908358125,0.0551682311549195,0.0775260316468497
"morphology_prior1","eye","eighth",-0.183420622969945,-0.199857527447889,-0.165718705008495,0.0693383925870415,0.0571581757007213,0.0795730181783724
"morphology_prior1","eye","ninth",-0.0672245394454498,-0.0859390471279935,-0.0506139995209213,0.0652427313706381,0.0513555498893447,0.0700763381361041
"morphology_prior1","eye","tenth",0.0596014326862062,0.0330560330047676,0.0833282567495609,0.0541868285585567,0.0405762911633774,0.0732544040654736
