"fit","trait","group","observed_mean","replicated_mean_lower","replicated_mean_upper","observed_sd","replicated_sd_lower","replicated_sd_upper"
"instar_prior1_prior_only","fore","female",0.00252398052436941,-1.06302698538764,0.899724717325531,0.0491088518769583,0.0163715391323805,0.474837975469436
"instar_prior1_prior_only","fore","eighth",-0.0892916172741325,-1.1069170153752,1.00102952235356,0.0570336387025075,0.0178929939544716,0.460608910088853
"instar_prior1_prior_only","fore","ninth",0.0298561193714521,-0.948190102982728,0.943726867546893,0.0455446133674905,0.0145669761532757,0.536408027276906
"instar_prior1_prior_only","fore","tenth",0.116487707071613,-1.07687738778773,1.06927398366963,0.0299500270022133,0.0172594118026757,0.511949393835117
"instar_prior1_prior_only","mid","female",-0.00759048703383411,-1.12569401577376,1.19981542004827,0.0490536443178977,0.0182483823596388,0.605693824469774
"instar_prior1_prior_only","mid","eighth",-0.130554936522382,-1.27870633857402,1.29190708636914,0.0556654757117932,0.0190821985982628,0.552400445688775
"instar_prior1_prior_only","mid","ninth",-0.0186051672503194,-1.07761828811203,1.07492589505256,0.0469181122516426,0.0182371317025849,0.576757502356795
"instar_prior1_prior_only","mid","tenth",0.063032220340955,-1.12639864631797,1.13009728016828,0.0297932570765253,0.0158394107513631,0.569345880322156
"instar_prior1_prior_only","hind","female",0.0530813316311323,-1.11598492527285,0.92705891689288,0.057090246644809,0.0228034089310394,0.760196900933183
"instar_prior1_prior_only","hind","eighth",-0.15729295268366,-1.0768589711195,1.11794500288501,0.0531631198131494,0.0203773350903462,0.710725573672519
"instar_prior1_prior_only","hind","ninth",-0.0383491769777212,-0.94252981973303,0.931980116604353,0.0435550559868974,0.0211826706310466,0.693513780562715
"instar_prior1_prior_only","hind","tenth",0.0385740825259403,-0.989694270711845,0.928400555784579,0.0328393885805859,0.0179241676386431,0.709370695299902
"instar_prior1_prior_only","earlin","female",0.00182714788278329,-0.956155001379753,0.97672486241856,0.052984887772904,0.0276075673467136,0.501181461014375
"instar_prior1_prior_only","earlin","eighth",-0.103508086712686,-1.29700067019994,1.21908830361911,0.053498262945642,0.0313587204590347,0.525359989087614
"instar_prior1_prior_only","earlin","ninth",-0.015965855566762,-0.87026964751451,1.0626086671932,0.0557243557378188,0.0265357952304452,0.499640083202747
"instar_prior1_prior_only","earlin","tenth",0.0535036281741475,-0.928265135809716,0.957106534470612,0.0482234147661895,0.0261903768230949,0.541090331522225
"instar_prior1_prior_only","eye","female",-0.140053260438262,-1.09452129055288,1.01560494499418,0.0623520908358125,0.0252658409114957,0.677125648176363
"instar_prior1_prior_only","eye","eighth",-0.183420622969945,-1.13032365387198,1.30360282699459,0.0693383925870415,0.0260756360692423,0.74689378744685
"instar_prior1_prior_only","eye","ninth",-0.0672245394454498,-0.911337356670614,1.01324248977997,0.0652427313706381,0.023599500407456,0.686695524490571
"instar_prior1_prior_only","eye","tenth",0.0596014326862062,-1.07567584615808,0.92776225498654,0.0541868285585567,0.0225574378164544,0.693525409557353
