"fit","trait","group","observed_mean","replicated_mean_lower","replicated_mean_upper","observed_sd","replicated_sd_lower","replicated_sd_upper"
"integration_prior1","fore","female",0.00252398052436941,-0.00423703628957554,0.00928413989410008,0.0491088518769583,0.0416858335914968,0.0562436616505481
"integration_prior1","fore","eighth",-0.0892916172741325,-0.0977530755822246,-0.0813978735248215,0.0570336387025075,0.0502151377362504,0.0673621809089
"integration_prior1","fore","ninth",0.0298561193714521,0.0212345348666323,0.0370878689138718,0.0455446133674905,0.0372795204997601,0.0509633208308396
"integration_prior1","fore","tenth",0.116487707071613,0.103419795125274,0.130907713284425,0.0299500270022133,0.0240680144014117,0.0409016100039328
"integration_prior1","mid","female",-0.00759048703383411,-0.0150316626762532,-0.000847561330346303,0.0490536443178977,0.0429184014274352,0.0564818152023302
"integration_prior1","mid","eighth",-0.130554936522382,-0.139633120167004,-0.122631294200565,0.0556654757117932,0.0471189903580057,0.0622381081060295
"integration_prior1","mid","ninth",-0.0186051672503194,-0.027240411367422,-0.0113767069957852,0.0469181122516426,0.0394499210309948,0.0524394985210525
"integration_prior1","mid","tenth",0.063032220340955,0.0504818930596462,0.0745765363644737,0.0297932570765253,0.0243396336066286,0.0421001032831826
"integration_prior1","hind","female",0.0530813316311323,0.0462329615081233,0.060450572517599,0.057090246644809,0.0513713667377583,0.0630860619989757
"integration_prior1","hind","eighth",-0.15729295268366,-0.165965919997126,-0.148345217355258,0.0531631198131494,0.042544511333852,0.060705756943804
"integration_prior1","hind","ninth",-0.0383491769777212,-0.0461099944518647,-0.0296704917190518,0.0435550559868974,0.0379720687043821,0.0532383019309187
"integration_prior1","hind","tenth",0.0385740825259403,0.0238771566069301,0.0500889275285511,0.0328393885805859,0.0271288139696665,0.0453225962882216
"integration_prior1","earlin","female",0.00182714788278329,-0.00897811760472834,0.0130242408990059,0.052984887772904,0.0466208559126226,0.0638308663192858
"integration_prior1","earlin","eighth",-0.103508086712686,-0.118585883080402,-0.0905101529149745,0.053498262945642,0.0458055567113178,0.0685221109052557
"integration_prior1","earlin","ninth",-0.015965855566762,-0.0297043431134077,-0.00227522226490118,0.0557243557378188,0.0441231982367974,0.0650502462621093
"integration_prior1","earlin","tenth",0.0535036281741475,0.0312785681843944,0.0702709121421072,0.0482234147661895,0.0375769891013497,0.0618548153784339
"integration_prior1","eye","female",-0.140053260438262,-0.151079744163207,-0.128711728179912,0.0623520908358125,0.0537036607522568,0.0716654128659834
"integration_prior1","eye","eighth",-0.183420622969945,-0.19807766446384,-0.167788395810088,0.0693383925870415,0.0600406861096516,0.0882240397761858
"integration_prior1","eye","ninth",-0.0672245394454498,-0.0810969039520332,-0.0506302666801142,0.0652427313706381,0.0540155472474607,0.0767141951055522
"integration_prior1","eye","tenth",0.0596014326862062,0.039647573483903,0.0800395722300073,0.0541868285585567,0.0435896378592686,0.0719931838103702
