"source","quantity","bayesian_median","bayesian_lower_95","bayesian_upper_95","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","posterior_probability_positive","frequentist_p"
"instar_prior1_instar_sex.csv","fore: per_male_instar",0.048647195,0.039811420275,0.057435814425,0.0487088576662616,0.0395714452379221,0.057846270094601,1,3.34319186654083e-22
"instar_prior1_instar_sex.csv","fore: matched_sex",0.14731333,0.1360130205,0.15861537725,0.147690948375029,0.136184275283017,0.159197621467042,1,6.28724785544551e-77
"instar_prior1_instar_sex.csv","fore: instar_minus_sex",-0.098731397,-0.1104735781,-0.086636760925,-0.0989820907087675,-0.111092888569823,-0.0868712928477118,0,1.22229355444529e-42
"instar_prior1_instar_sex.csv","mid: per_male_instar",0.042190692,0.0331226227,0.051083362,0.0422411945276653,0.0331905871400711,0.0512918019152594,1,6.37699936710038e-18
"instar_prior1_instar_sex.csv","mid: matched_sex",0.10339381,0.092305231825,0.1144455015,0.103796578714172,0.0923992185413723,0.115193938886971,1,1.1945494263106e-49
"instar_prior1_instar_sex.csv","mid: instar_minus_sex",-0.0612379405,-0.07287134315,-0.049307530125,-0.0615553841865065,-0.0735511299679902,-0.0495596384050228,0,6.90573929090168e-21
"instar_prior1_instar_sex.csv","hind: per_male_instar",0.0443744495,0.034601197775,0.0541296258,0.0444585442788408,0.0345069102635811,0.0544101782941004,1,1.08085850117064e-16
"instar_prior1_instar_sex.csv","hind: matched_sex",0.021514892,0.009260309885,0.033772627325,0.0219906458852189,0.00945862982016814,0.0345226619502697,0.999625,0.000632542977342073
"instar_prior1_instar_sex.csv","hind: instar_minus_sex",0.0227899755,0.009671251275,0.03589348345,0.0224678983936219,0.00927792487636893,0.0356578719108748,0.99925,0.000903200103887573
"instar_prior1_instar_sex.csv","earlin: per_male_instar",0.034678875,0.0228645091,0.04705133495,0.0348070882299134,0.0226973233962096,0.0469168530636171,1,3.5515881638918e-08
"instar_prior1_instar_sex.csv","earlin: matched_sex",0.0758174385,0.060319121475,0.09100281095,0.0762426546881533,0.0609929211059841,0.0914923882703224,1,4.96449075781026e-20
"instar_prior1_instar_sex.csv","earlin: instar_minus_sex",-0.041117463,-0.05738637805,-0.02467896235,-0.0414355664582399,-0.0574859434326935,-0.0253851894837863,0,6.5690914342951e-07
"instar_prior1_instar_sex.csv","eye: per_male_instar",0.06541652,0.050883447975,0.079267224475,0.0655487630829859,0.0511529269867353,0.0799445991792364,1,3.23001163479354e-17
"instar_prior1_instar_sex.csv","eye: matched_sex",0.21958671,0.201843522,0.237645549,0.220194597256426,0.202066031741314,0.238323162771538,1,4.8114434855983e-72
"instar_prior1_instar_sex.csv","eye: instar_minus_sex",-0.1542392445,-0.1733373319,-0.1348579228,-0.15464583417344,-0.173726187869838,-0.135565480477043,0,3.9506524526386e-42
"instar_prior2_instar_sex.csv","fore: per_male_instar",0.0486254765,0.03965749685,0.0577058532,0.0487088576662616,0.0395714452379221,0.057846270094601,1,3.34319186654083e-22
"instar_prior2_instar_sex.csv","fore: matched_sex",0.147422185,0.136273244,0.159320539,0.147690948375029,0.136184275283017,0.159197621467042,1,6.28724785544551e-77
"instar_prior2_instar_sex.csv","fore: instar_minus_sex",-0.0988901425,-0.110869211425,-0.086867603875,-0.0989820907087675,-0.111092888569823,-0.0868712928477118,0,1.22229355444529e-42
"instar_prior2_instar_sex.csv","mid: per_male_instar",0.042160475,0.0330952647,0.0510548288,0.0422411945276653,0.0331905871400711,0.0512918019152594,1,6.37699936710038e-18
"instar_prior2_instar_sex.csv","mid: matched_sex",0.103566125,0.092243498475,0.11520364075,0.103796578714172,0.0923992185413723,0.115193938886971,1,1.1945494263106e-49
"instar_prior2_instar_sex.csv","mid: instar_minus_sex",-0.061548236,-0.073177648825,-0.0494408399,-0.0615553841865065,-0.0735511299679902,-0.0495596384050228,0,6.90573929090168e-21
"instar_prior2_instar_sex.csv","hind: per_male_instar",0.044323245,0.034674916475,0.0544281589,0.0444585442788408,0.0345069102635811,0.0544101782941004,1,1.08085850117064e-16
"instar_prior2_instar_sex.csv","hind: matched_sex",0.0218307145,0.009207821205,0.034332285925,0.0219906458852189,0.00945862982016814,0.0345226619502697,1,0.000632542977342073
"instar_prior2_instar_sex.csv","hind: instar_minus_sex",0.022463391,0.009962983275,0.0357284713625,0.0224678983936219,0.00927792487636893,0.0356578719108748,0.99975,0.000903200103887573
"instar_prior2_instar_sex.csv","earlin: per_male_instar",0.034766225,0.02278976195,0.046700903775,0.0348070882299134,0.0226973233962096,0.0469168530636171,1,3.5515881638918e-08
"instar_prior2_instar_sex.csv","earlin: matched_sex",0.07606396,0.060950309575,0.09147895525,0.0762426546881533,0.0609929211059841,0.0914923882703224,1,4.96449075781026e-20
