"trait","contrast","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p"
"fore","tenth_minus_eighth",-0.2332656,-0.5270514063,0.0639575902499998,-0.2332656,-0.5270514063,0.0639575902499998,0.062,0.938,,-0.219457767956772,-0.525143374307151,0.0862278383936069,0.15874996312844
"fore","tenth_minus_ninth",-0.10281688,-0.3956035697,0.18824436625,-0.10281688,-0.3956035697,0.18824436625,0.245375,0.754625,,-0.0886192657960967,-0.392231731391867,0.214993199799673,0.566125738646054
"mid","tenth_minus_eighth",-0.108441085,-0.39152064475,0.17218741675,-0.108441085,-0.39152064475,0.17218741675,0.22325,0.77675,,-0.0953918373976738,-0.390456613951807,0.19967293915646,0.525123464985123
"mid","tenth_minus_ninth",-0.00611584999999998,-0.2939374634,0.270982757,-0.00611584999999998,-0.2939374634,0.270982757,0.48375,0.51625,,0.00647087796998219,-0.286592787636118,0.299534543576082,0.965370147499506
"hind","tenth_minus_eighth",0.17127675,-0.14109812925,0.49078665325,0.17127675,-0.14109812925,0.49078665325,0.858375,0.141625,,0.190903351682379,-0.128366615291124,0.510173318655881,0.240251933180861
"hind","tenth_minus_ninth",0.152809625,-0.1693510495,0.45760332975,0.152809625,-0.1693510495,0.45760332975,0.826875,0.173125,,0.168344045206626,-0.148760652724092,0.485448743137344,0.296991001778332
"earlin","tenth_minus_eighth",0.112839525,-0.33803050195,0.57049613825,0.112839525,-0.33803050195,0.57049613825,0.6875,0.3125,,0.129483970956592,-0.355695070624646,0.61466301253783,0.599834369329631
"earlin","tenth_minus_ninth",0.141600959,-0.32198766675,0.614515369375,0.141600959,-0.32198766675,0.614515369375,0.73,0.27,,0.160273147557987,-0.321615439963628,0.642161735079602,0.513279237872104
"eye","tenth_minus_eighth",0.214574965,-0.28058809825,0.708986116749999,0.214574965,-0.28058809825,0.708986116749999,0.8035,0.1965,,0.263126849779043,-0.239943633546416,0.766197333104502,0.304166262702842
"eye","tenth_minus_ninth",0.331479135,-0.15385039725,0.8201667885,0.331479135,-0.15385039725,0.8201667885,0.913625,0.086375,,0.381467860404643,-0.118190830216951,0.881126551026236,0.134041616110532
