group,n,pronotum_mean,pronotum_sd,pronotum_min,pronotum_max,foreleg_mean,midleg_mean,hindleg_mean,ear_mean,eye_mean
female,118,7.796618644067797,0.4425431539050527,6.015,8.598,25.090072033898306,24.84038559322034,42.24861440677966,3.0909661016949155,2.612906779661017
eighth,78,6.371128205128205,0.3745102900802025,5.713,7.488,22.883134615384616,21.978214285714287,34.225848684210526,2.5037371794871794,2.5005641025641028
ninth,79,6.933291139240506,0.32055409367494037,6.203,7.733,25.783949367088606,24.565708860759493,38.53112025316456,2.9845253164556964,2.810860759493671
tenth,38,7.522921052631579,0.3078183372283028,6.988,8.315,28.100894736842104,26.63803947368421,41.59497368421053,3.423828947368421,3.1887894736842104
