ID,year,sex,Category,testes,head length,1st left femur,1st right femur,1.femur,1st left tibia,1st right tibia,1.tibia,1st left tarsus,1st right tarsus,1.tarsus,left ear,right ear,ear,2nd left femur,2nd right femur,2.femur,2nd left tibia,2nd right tibia,2.tibia,2nd left tarsus,2nd right tarsus,2.tarsus,3rd left femur,3rd right femur,3.femur,3rd left tibia,3rd right tibia,3.tibia,3rd left tarsus,3rd right tarsus,3.tarsus,pronotum,head width,left eye,right eye,best eye clarity
m67,2006,Male,eight,0.01719,17.49,10.62,10.6,10.61,11.85,12.22,12.035,3.43,3.5,3.465,2.82,2.74,2.78,10.15,10.13,10.14,11.14,11.19,11.165,3.43,3.44,3.435,17.41,16.92,17.165,17.97,18.4,18.185,3.37,3.28,3.325,5.9,9.27,2.9,2.66,right
m68,2006,Male,ten,0.01966,24.38,11.94,11.96,11.95,13.48,13.3,13.39,3.99,3.97,3.98,3.39,3.11,3.25,11.18,11.57,11.375,12.59,12.72,12.655,3.83,3.9,3.865,19.29,18.64,18.965,20.36,20.19,20.275,3.86,3.84,3.85,6.53,11.57,4.3,3.18,left
B83,2006,Male,eight,0.01105,17.09,10.5,10.15,10.325,11.99,11.88,11.935,3.04,2.98,3.01,2.81,2.7,2.755,10.3,10.15,10.225,11.69,11.55,11.62,3.27,3.34,3.305,17.34,17.44,17.39,17.19,17.11,17.15,2.75,3,2.875,6.26,8.68,2.75,1.99,right
B84,2006,Male,ten,0.02088,27.18,12.98,12.53,12.755,15.03,14.52,14.775,3.78,3.79,3.785,4.24,3.33,3.785,12.5,12.28,12.39,14.08,14.25,14.165,4.05,4.11,4.08,19.82,20.27,20.045,21.39,21.26,21.325,3.89,4.1,3.995,7.23,13.16,3.08,2.88,neither
B85,2006,Male,nine,0.03831,19.65,10.2,10.25,10.225,12.03,11.97,12,3.88,3.58,3.73,,,,11.19,11.41,11.3,13.32,13.03,13.175,3.9,no tarsus,3.9,18.83,18.14,18.485,19.78,19.29,19.535,3.48,no tarsus,3.48,6.67,10.52,3.15,3.1,neither
B86,2006,Male,nine,0.0416,22.3,12.23,12.1,12.165,13.96,13.98,13.97,3.7,3.61,3.655,3.74,3.33,3.535,11.89,11.57,11.73,12.95,13.1,13.025,3.76,3.67,3.715,19.66,19.58,19.62,20.12,20.24,20.18,3.69,3.26,3.475,6.9,11.25,2.33,2.52,neither
B87,2006,Male,nine,0.01666,24.11,11.71,12.71,12.21,13.15,13.74,13.445,3.54,3.78,3.66,2.93,3.14,3.035,11.59,11.67,11.63,13.19,13.72,13.455,3.67,3.96,3.815,19.16,19.48,19.32,19.62,20.32,19.97,3.84,4.2,4.02,7.34,12.04,3.34,2.98,neither
B88,2006,Male,ten,0.02792,27.18,13.12,13,13.06,15.61,15.92,15.765,4.29,4.22,4.255,3.97,4.01,3.99,13,12.99,12.995,14.71,15.17,14.94,4.34,4.34,4.34,21.86,22.15,22.005,25.18,25.15,25.165,no tarsus,4.19,4.19,7.07,13.7,5.03,3.87,neither
B89,2006,Male,ten,0.01929,28.46,13.57,13.58,13.575,15.45,14.93,15.19,4.48,,4.48,3.29,3.02,3.155,13.35,12.99,13.17,14.92,14.93,14.925,3.99,4.28,4.135,21.61,21.01,21.31,22.87,22.23,22.55,4.64,4.34,4.49,7.44,13.7,4.94,4.72,both
B90,2006,Male,nine,0.03208,19.14,11.45,11.49,11.47,13.24,12.8,13.02,3.74,3.73,3.735,3.44,3.7,3.57,11.29,11.2,11.245,12.61,12.6,12.605,no tarsus,3.38,3.38,18.02,17.96,17.99,18.37,18.64,18.505,3.47,2.09,2.78,6.75,10.13,3.25,3.21,both
