row_id,ID,group,log_ear_linear,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
237,SYKW,tenth,0.6478428061245678,-0.017089644098738033,0.5879378060955291,0.059905000029038646,0.08573960189134654,0.04570351876424634,0.021964864083904682,1.3688424864697917,TRUE,TRUE,FALSE,TRUE
31,DFME,eighth,0.5205798569600122,-0.19473157687063614,0.4176584595498275,0.10292139741018469,0.032328491756390104,0.04545013100191482,0.021822354818878446,2.285951727396931,TRUE,FALSE,FALSE,TRUE
61,FYEF,female,0.7300627546235458,0.12883287184296832,0.5865357040145034,0.14352705060904236,0.015710087945875268,0.04508745437906895,0.019932455260732607,3.160804255571847,TRUE,FALSE,TRUE,TRUE
93,JDGM,female,0.49206813938461114,0.15486471056091555,0.599924615899701,-0.1078564765150899,0.02549146459644136,0.0454142687579287,0.01863273810256626,-2.387144797182916,TRUE,FALSE,FALSE,TRUE
250,ULBD,ninth,0.66750053336617,0.018030906219439924,0.5773315613765075,0.09016897198966245,0.03192908077664292,0.04554224764179964,0.01652901724952051,2.0022988098703407,TRUE,FALSE,FALSE,TRUE
5,AKPI,tenth,0.530455210742049,-0.0011117288526905078,0.594622586593082,-0.06416737585103294,0.05837760500592801,0.045687409134518166,0.016176404670069672,-1.4447784244400304,TRUE,TRUE,FALSE,TRUE
180,PIKP,tenth,0.532269154167179,0.061539236108976825,0.6208342632905299,-0.08856510912335092,0.03189339992484087,0.045552951395558344,0.01592723947204221,-1.9666470706530286,TRUE,FALSE,FALSE,TRUE
232,SNDZ,ninth,0.6600772793076728,0.03922071315328135,0.5898930122485985,0.07018426705907432,0.048983448713148074,0.04565835447408764,0.015918915396782623,1.57242916051872,TRUE,FALSE,FALSE,TRUE
240,TKBC,ninth,0.47029651219855995,0.00581638532143991,0.5700907165370336,-0.09979420433847364,0.024534042840482776,0.04547680599018409,0.015322028044281418,-2.2076215206636465,TRUE,FALSE,FALSE,TRUE
23,CTFK,tenth,0.6445474488713792,-0.010892441166423739,0.5905305687096355,0.05401688016174366,0.07413271695223377,0.045731353539255885,0.015056782074403004,1.2265365266203567,TRUE,TRUE,FALSE,TRUE
303,YYNS,female,0.6223653983990518,0.007472014838700858,0.5241163782669928,0.09824902013205905,0.024485189894841844,0.04548816827989078,0.014820161166919258,2.173384933505944,TRUE,FALSE,FALSE,TRUE
50,EWKB,ninth,0.43155045168001793,-0.11840823105030185,0.496449582357285,-0.06489913067726705,0.05050293939280326,0.04568513377368613,0.014078873101401391,-1.4551823721808481,TRUE,FALSE,FALSE,TRUE
147,MQFA,female,0.6891310947113132,0.16939109531496288,0.6073959469719978,0.08173514773931534,0.032740679928101896,0.04559609278691321,0.013950195081490958,1.8157779937575311,TRUE,FALSE,FALSE,TRUE
91,IVIQ,female,0.5976425879641852,-0.00892863074430128,0.5156810617705142,0.08196152619367103,0.032539234724012725,0.045594762954357805,0.013935463370361322,1.8206175042959711,TRUE,FALSE,FALSE,TRUE
230,SMXT,eighth,0.34557258894463605,-0.2259251942760867,0.4005851017847761,-0.055012512840140027,0.053482795937007305,0.045729701532368994,0.010780546405408174,-1.2354426352341301,FALSE,TRUE,FALSE,TRUE
98,JOZD,eighth,0.5702768282281405,0.007747686790825936,0.5284824420191475,0.041794386208993006,0.08179546743789555,0.0457762546199548,0.010112231565180211,0.9529576338560707,FALSE,TRUE,FALSE,TRUE
74,HDZC,tenth,0.6194768866105907,-0.025887770952127687,0.5842568786466817,0.035220007963909006,0.10438190013436476,0.04579483942184563,0.00963205831645315,0.8131176287924189,FALSE,TRUE,FALSE,TRUE
174,OVOZ,female,0.5423411915673058,-0.04851936750482522,0.4953184246283573,0.04702276693894847,0.05872006195121244,0.045760201835497984,0.00874431894983944,1.0589467876765652,FALSE,TRUE,FALSE,TRUE
246,TYRB,eighth,0.5748111047879273,0.03922071315328135,0.5457087300783581,0.029102374709569223,0.11855209351985291,0.045810070727872895,0.007711404982442367,0.6772600539189577,FALSE,TRUE,FALSE,TRUE
287,XRPL,eighth,0.5599422119718247,-0.00501254182354427,0.521498322624937,0.038443889346887694,0.06912126855427464,0.045787560431148205,0.0070346233704905005,0.8705748619318158,FALSE,TRUE,FALSE,TRUE
107,JZEI,ninth,0.45190660518152126,-0.13353139262452274,0.4874844770244054,-0.035577871842884135,0.0662444733425422,0.04579589657743607,0.0057385734247560665,-0.804430876319662,FALSE,TRUE,FALSE,TRUE
66,GRAC,ninth,0.5198732679005367,-0.13687029389003724,0.4855051553465594,0.03436811255397726,0.07008787921891915,0.04579896331241677,0.005712565527861934,0.7786819103958397,FALSE,TRUE,FALSE,TRUE
109,KAIL,ninth,0.4501822906619479,-0.14904798003102915,0.47828614638279626,-0.028103855720848336,0.08523358133806262,0.045813569063800734,0.004800459986243574,-0.6420016712138591,FALSE,TRUE,FALSE,TRUE
285,XQBJ,tenth,0.5644090653625876,-0.00850831550168607,0.5915280302997072,-0.027118964937119627,0.07000302451245288,0.04581617618809356,0.003551899590300585,-0.6144091849709012,FALSE,TRUE,FALSE,TRUE
222,SCBI,tenth,0.658271136464716,0.10760798819830586,0.6401083357067998,0.01816280075791621,0.09457551264256997,0.04583148262418149,0.0022709135356175454,0.4170441742620476,FALSE,TRUE,FALSE,TRUE
256,UYSP,tenth,0.6218611119216094,0.09909090264423104,0.6365449892669723,-0.014683877345362917,0.07774075093590646,0.04583616753046852,0.0011759393358051482,-0.33407163029342396,FALSE,TRUE,FALSE,TRUE
27,CWPJ,ninth,0.6216448333514432,0.07141585960488883,0.6089784976300515,0.012666335721391642,0.08515538917680125,0.04583826382293513,9.740476177412969e-4,0.2893361416327991,FALSE,TRUE,FALSE,TRUE
86,IEPT,tenth,0.6604110354111142,0.1439800866228811,0.655325558383195,0.005085477027919283,0.19324980519156168,0.04584340577918959,4.582104922098256e-4,0.12370507455011855,FALSE,TRUE,FALSE,TRUE
296,YNBA,ninth,0.5917829972741367,0.0557762863020661,0.5997072601753053,-0.007924262901168544,0.06603834765886687,0.04584214371179319,2.836720770972618e-4,-0.1791511957051894,FALSE,TRUE,FALSE,TRUE
153,NACP,ninth,0.5030657179369723,-0.12122645743414373,0.4947789200252689,0.008286797911703392,0.05322938847367227,0.04584195363251501,2.4333028473232134e-4,0.18607572576022138,FALSE,TRUE,FALSE,TRUE
