group,relative_foretibia_size.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
female,0.8028848828817546,0.10569284547826112,301,0.5948944127402792,1.0108753530232302,7.596397648759412,3.873500706628512e-13
eighth,0.634816859830095,0.11784603112835428,301,0.4029104208674431,0.8667232987927468,5.3868327490696055,1.4481253048903122e-7
ninth,0.8979017487888807,0.11580489953154172,301,0.670012004792862,1.1257914927848995,7.753573056244652,1.3893023699448976e-13
tenth,1.0431536651337334,0.2117160025323985,301,0.6265227124526037,1.4597846178148632,4.927136601183945,1.3796553484847488e-6
