group,n,minimum_head_size,maximum_head_size,common_lower,common_upper,common_overlap
Female,118,8.491007714046667,11.246482383394374,16.81794696150514,11.246482383394374,FALSE
Eighth instar,78,9.794028588890273,14.03375605459921,16.81794696150514,11.246482383394374,FALSE
Ninth instar,79,13.320614212565426,17.298952887385987,16.81794696150514,11.246482383394374,FALSE
Tenth instar,38,16.81794696150514,19.672708888203474,16.81794696150514,11.246482383394374,FALSE
