group,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value,predicted_eye_length,eye_lower,eye_upper
female,1.0716801997573029,0.016676104188715866,307,1.0388662745416677,1.104494124972938,64.2644221713649,4.190432469841072e-180,2.9202820373730245,2.8260112765518905,3.017697504805746
eighth,0.9577329155220832,0.009059566787454143,307,0.9399062130929432,0.9755596179512231,105.71508969373343,1.670944710623173e-243,2.605782243449776,2.5597413368483495,2.652651266959019
ninth,0.9275485579869671,0.013392219255083299,307,0.9011964030630939,0.9539007129108403,69.2602577899773,1.918974846028047e-189,2.5283035847706796,2.4625475488690647,2.5958154674820264
tenth,0.9381146825093607,0.019698004756291666,307,0.8993544992162175,0.9768748658025039,47.62485815776448,8.00824492500834e-144,2.555159587354955,2.458015947733631,2.6561424562243965
