contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference
eighth - female,Foreleg,0.05670900689123782,0.011058887948112443,447.89109646821606,0.030134426524018817,0.08328358725845682,5.127912241928181,4.3687941821001455e-7,Leg length,1.05834779366767,1.0305930636855023,1.086849981655841,5.834779366766996
ninth - female,Foreleg,0.10763973179645994,0.007714834303615051,447.8909005767871,0.08910093426806749,0.1261785293248524,13.952306369823347,1.0791060131544173e-36,Leg length,1.1136464616957968,1.093190991190506,1.1344846889901252,11.364646169579684
tenth - female,Foreleg,0.1565556615734133,0.010084738779081831,447.8909005768892,0.1323219680170242,0.1807893551298024,15.52401752816318,2.5544421887252854e-43,Leg length,1.1694758553736142,1.1414757788019338,1.1981627658690444,16.94758553736142
eighth - female,Midleg,0.02111878199354278,0.011076041046712844,450.0133934115362,-0.005496544182518558,0.04773410816960412,1.906708534617649,0.057194921990800174,Leg length,1.021343361633251,0.9945185341775165,1.0488917265026194,2.1343361633251012
ninth - female,Midleg,0.07259683537000602,0.00771483430361522,447.8909005768454,0.05405803784161317,0.09113563289839888,9.410031701651283,5.22092820792064e-19,Leg length,1.0752969278246125,1.055545861980922,1.09541756984307,7.52969278246125
tenth - female,Midleg,0.11468002575412276,0.010084738779081982,447.89090057693295,0.0904463321977333,0.13891371931051222,11.371640680668392,5.074880134215428e-26,Leg length,1.1215145243893312,1.0946627579207358,1.149024957061072,12.15145243893312
eighth - female,Hindleg,-0.06540393757161708,0.011078962079013635,450.4102100004184,-0.09202619487954085,-0.038781680263693316,-5.903435457686847,2.1041115588232687e-8,Leg length,0.9366890230600825,0.9120812573734971,0.9619607012294543,-6.331097693991749
ninth - female,Hindleg,-0.004562979159996039,0.007714834303615216,447.8909005768454,-0.023101776688388878,0.0139758183683968,-0.5914552381063843,0.5545138247868849,Leg length,0.9954474154133275,0.9771630262953042,1.0140739366796443,-0.45525845866725145
tenth - female,Hindleg,0.038522322543635676,0.010084738779081977,447.89090057691834,0.01428862898724624,0.06275601610002511,3.819863199980912,3.047324543581338e-4,Leg length,1.0392739273366454,1.0143911993943222,1.0647670215264493,3.9273927336645365
