group,relative_head_size.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
female,0.396568364687353,0.11106589168784314,301,0.17800440300852757,0.6151323263661784,3.5705684135857876,4.1449259579103134e-4
eighth,0.16709808086446784,0.08999048416812287,301,-0.009992080969018019,0.3441882426979537,1.8568416695290837,0.06431048136219668
ninth,0.1303415477155096,0.08615659835251226,301,-0.03920400019780701,0.2998870956288262,1.5128446364863817,0.13136835469642855
tenth,0.290614695273495,0.22845181444523863,301,-0.15895026890292435,0.7401796594499144,1.272104999381203,0.20431771015569591
