contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio_of_ratios,ratio_of_ratios_lower,ratio_of_ratios_upper,percent_difference
tenth - eighth: foreleg relative to hindleg,-0.004079605433876116,0.008741442722121441,640.222971314127,-0.028401442388901493,0.020242231521149262,-0.46669703887118136,1,Anterior-posterior allocation,0.9959287048516358,0.9719980872349602,1.0204484948823689,-0.407129514836424
tenth - eighth: midleg relative to hindleg,-0.010365016354806134,0.008744385821553586,639.4898736340883,-0.034695136983397795,0.013965104273785525,-1.1853338320523255,1,Anterior-posterior allocation,0.9896885153153571,0.9658998385145625,1.0140630718537473,-1.0311484684642935
tenth - eighth: anterior mean relative to hindleg,-0.007222310894341111,0.007573079016097351,639.7505570609319,-0.028293392839911592,0.01384877105122937,-0.9536822313605012,1,Anterior-posterior allocation,0.9928037073180992,0.9721031168640049,1.0139451094903273,-0.7196292681900807
"ninth - midpoint(eighth,tenth): foreleg relative to hindleg",-0.007870430790273525,0.005628271481043986,639.9121963125872,-0.023530331779364404,0.007789470198817355,-1.39837440620644,0.9749105094266708,Anterior-posterior allocation,0.9921604599558544,0.9767443478254749,1.0078198870475596,-0.7839540044145554
"ninth - midpoint(eighth,tenth): midleg relative to hindleg",-0.004180396857887854,0.00562941431210632,639.4701661358172,-0.019843514480697162,0.011482720764921454,-0.7425988968155558,1,Anterior-posterior allocation,0.9958283288378652,0.9803520722072079,1.0115489002673466,-0.41716711621347935
"ninth - midpoint(eighth,tenth): anterior mean relative to hindleg",-0.006025413824080686,0.004875300753003754,639.6274094641292,-0.01959029658987042,0.007539468941709048,-1.2359060762289031,1,Anterior-posterior allocation,0.9939927025772605,0.9806003463235973,1.0075679623009228,-0.6007297422739533
tenth - female: foreleg relative to hindleg,0.11803333902989405,0.007017176174108307,639.4402062781471,0.09850895030204465,0.13755772775774344,16.82063213196908,6.894200916452285e-52,Anterior-posterior allocation,1.1252816265397656,1.1035242812258217,1.1474679448116805,12.52816265397656
tenth - female: midleg relative to hindleg,0.07615770321048378,0.007017176174108372,639.4402062782069,0.0566333144826342,0.09568209193833335,10.853041354652985,1.8548066852248477e-24,Anterior-posterior allocation,1.0791327434369886,1.058267687805768,1.1004091794320907,7.913274343698862
tenth - female: anterior mean relative to hindleg,0.0970955211201889,0.006077052829608728,639.440206278177,0.08018690448850868,0.11400413775186913,15.977402836967013,1.0713126885034941e-47,Anterior-posterior allocation,1.1019656295851945,1.0834895578128187,1.1207567622879469,10.19656295851945
