group,n,pronotum_n,pronotum_mean,pronotum_sd,pronotum_min,pronotum_max,foreleg_n,foreleg_mean,foreleg_sd,midleg_n,midleg_mean,midleg_sd,hindleg_n,hindleg_mean,hindleg_sd,ear_n,ear_mean,ear_sd,eye_n,eye_mean,eye_sd
female,118,118,7.810847457627118,0.4112416809148682,6.859,8.598,118,25.093110169491524,1.2296825681972463,118,24.84038559322034,1.207606956582125,118,42.24861440677966,2.401896375437059,118,3.0909661016949155,0.33134444293925414,118,2.612906779661017,0.16015317119633202
eighth,78,78,6.367961538461539,0.3686975476164462,5.713,7.488,78,22.887679487179486,1.2851883912999689,77,21.978214285714287,1.215298188524148,76,34.225848684210526,1.820672597365667,78,2.5037371794871794,0.2658577239407468,78,2.5005641025641028,0.1717286510857452
ninth,79,79,6.933417721518987,0.3205543518694361,6.203,7.733,79,25.783949367088606,1.1682872451358142,79,24.565708860759493,1.1438037267963854,79,38.53112025316456,1.6771965509773124,79,2.9845253164556964,0.33419054424636346,79,2.810860759493671,0.18365585738892715
tenth,38,38,7.523157894736842,0.30749770610577404,6.988,8.315,38,28.100894736842104,0.8451672804027863,38,26.63803947368421,0.7939021178483152,38,41.59497368421053,1.36924930580626,38,3.423828947368421,0.3299828061924527,38,3.1887894736842104,0.17252444525494443
