contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference
female - eighth,0.1139472842352197,0.022905724841106607,307,0.053121956323637906,0.1747726121468015,4.9746203198394285,6.542454613523274e-6,Eye length,1.1206930451359913,1.0545582473241761,1.190975372487031,12.069304513599132
female - ninth,0.14413164177033566,0.02920194133475895,307,0.06658693756809675,0.22167634597257457,4.93568698457648,6.562448272239393e-6,Eye length,1.1550361495207457,1.0688538835933068,1.2481673380973854,15.503614952074575
female - tenth,0.13356551724794213,0.034782772636511146,307,0.041201116384582515,0.22592991811130175,3.839990521852179,5.978376243380149e-4,Eye length,1.1428961430921956,1.042061660145942,1.2534878154063165,14.289614309219555
eighth - ninth,0.03018435753511596,0.012198557362246567,307,-0.0022084724999034203,0.06257718757013533,2.474420264525199,0.04165631720586082,Eye length,1.030644523523912,0.9977939643812296,1.0645766278297344,3.0644523523911893
eighth - tenth,0.019618233012722433,0.01923590007941323,307,-0.03146200732549191,0.07069847335093678,1.019876009530658,0.6171805795263365,Eye length,1.0198119351704462,0.9690277717111001,1.07325756131802,1.9811935170446215
ninth - tenth,-0.010566124522393527,0.01172075397172,307,-0.04169016485057559,0.020557915805788536,-0.9014884663467573,0.6171805795263365,Eye length,0.9894895008839443,0.9591669181636847,1.0207706852880352,-1.0510499116055727
