leg,equivalence_margin_percent,estimate_ratio,lower_90_ratio,upper_90_ratio,TOST_p,equivalent,estimate,SE,df,lower_bound,upper_bound,lower_90,upper_90,p_lower,p_upper
Foreleg,2.5,1.0010079051594545,0.9880708981381692,1.0141142989635954,0.0014370435744139854,TRUE,0.00100739756409266,0.00788625471784999,330.2728756730633,-0.025317807984289897,0.024692612590371414,-0.012000824559681943,0.014015619687867263,4.698881986617088e-4,0.0014370435744139854
Midleg,2.5,1.0047883821945947,0.9918396563772485,1.017906157010148,0.005897285700586265,TRUE,0.00477695435861824,0.00786243645103586,314.4043226721575,-0.025317807984289897,0.024692612590371414,-0.008193821478369494,0.017747730195605972,7.804740798846255e-5,0.005897285700586265
Hindleg,2.5,1.0089164828147184,0.9949017558419079,1.0231286288502341,0.0315406645540199,TRUE,0.00887696571049618,0.00847906564580762,312.7982064120844,-0.025317807984289897,0.024692612590371414,-0.005111284545775141,0.0228652159667675,3.464886154789897e-5,0.0315406645540199
Foreleg,5,1.0010079051594545,0.9880708981381692,1.0141142989635954,1.8662292242471137e-9,TRUE,0.00100739756409266,0.00788625471784999,330.2728756730633,-0.05129329438755058,0.04879016416943205,-0.012000824559681943,0.014015619687867263,6.773262828389306e-11,1.8662292242471137e-9
Midleg,5,1.0047883821945947,0.9918396563772485,1.017906157010148,2.3649720237281603e-8,TRUE,0.00477695435861824,0.00786243645103586,314.4043226721575,-0.05129329438755058,0.04879016416943205,-0.008193821478369494,0.017747730195605972,3.432360631325903e-12,2.3649720237281603e-8
Hindleg,5,1.0089164828147184,0.9949017558419079,1.0231286288502341,1.8886175764096785e-6,TRUE,0.00887696571049618,0.00847906564580762,312.7982064120844,-0.05129329438755058,0.04879016416943205,-0.005111284545775141,0.0228652159667675,4.310641639821734e-12,1.8886175764096785e-6
