leg,instar_component_log_per_instar,instar_component_SE,instar_component_df,instar_component_pct_per_instar,instar_component_p,weapon_component_log,weapon_component_SE,weapon_component_df,weapon_component_p,weapon_component_pct_male_vs_female,df_residual,instar_min_detectable_pct,weapon_min_detectable_pct,larger_component
Foreleg,0.04924367393526184,0.004635656412579874,322.6812611543816,5.047629324777758,8.390773265623482e-23,0.14771214333207838,0.005851311344993492,323.3480696190027,1.9162109477676877e-78,15.917917087907195,924,1.311177828572041,1.6578469770154536,weapon
Midleg,0.042641559803865844,0.004604547606904078,317.59909346908915,4.356377260106226,3.135585856017562e-18,0.10362554737250597,0.005808137663740394,318.3051466694052,7.733107808745168e-50,10.91850398912484,924,1.3023853925644646,1.6455940784790402,weapon
Hindleg,0.044831374794311256,0.005057341152873828,303.87185818133037,4.585148811646644,6.637202193425966e-17,0.02189850339112981,0.006375808214037228,302.68203987974607,6.762091089238344e-4,2.2140035458051432,924,1.4315701341367504,1.8081647913825716,per_instar
