row_id,ID,group,log_eye,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
217,RSFE,tenth,1.217431824010092,0.038686382389833573,1.1562507357260774,0.061181088284014695,0.026635216679980013,0.054501038527965236,0.0044240546956911715,1.1372735399051674,FALSE,FALSE,FALSE,FALSE
260,VFCQ,eighth,0.8841806779559216,-0.23133674627968404,0.844316249413718,0.03986442854220362,0.05793470171792817,0.054566143554276365,0.004361430578587046,0.7532351722737126,FALSE,TRUE,FALSE,TRUE
305,ZAQJ,eighth,0.8160283099357607,-0.16743294430020406,0.8860814302506596,-0.07005312031489885,0.02011912004904236,0.054465940752827194,0.004323132038126782,-1.2978556565324928,FALSE,FALSE,FALSE,FALSE
200,QUAR,eighth,0.8546280714820482,-0.09553242672156381,0.9330729710654906,-0.07844489958344236,0.016118228789667267,0.0544282952174359,0.004307666040329202,-1.4503699925565126,FALSE,FALSE,FALSE,FALSE
171,ONAU,female,0.8437200390393197,0.03252096948086858,0.92373934777895506,-0.08001930873963536,0.015340313592267122,0.054420787443758355,0.004259245070519649,-1.478894753116744,FALSE,FALSE,FALSE,FALSE
100,JPJT,female,1.0696982785034674,0.08451984978597449,0.9618373032240314,0.10786097527943606,0.00853543577164537,0.05426245368956494,0.0042469887152029664,1.9866039564248408,FALSE,FALSE,FALSE,FALSE
180,PIKP,tenth,1.112679545879545,0.061539236108976825,1.1664163916963204,-0.05373684581677529,0.03189339992484087,0.05452706914987863,0.004131235145448596,-1.0016041890544212,FALSE,FALSE,FALSE,FALSE
169,OHZZ,eighth,0.8999580772532574,-0.06010392406970544,0.9562277408006632,-0.05626966354740581,0.02915792622170263,0.05451866519666608,0.004118027164859055,-1.0473348992959635,FALSE,FALSE,FALSE,FALSE
290,YAKT,eighth,0.8124845631485659,-0.2072975428641317,0.8600273909534492,-0.04754282780488328,0.03992619072327798,0.05454602252247917,0.004116231271461051,-0.8898529612371908,FALSE,FALSE,FALSE,FALSE
264,VJOC,female,0.9038132103630424,0.11987960175702894,0.9877442890521455,-0.0839310786891031,0.013298103994093534,0.054401546746644734,0.004045242162197066,-1.549584897233017,FALSE,FALSE,FALSE,FALSE
111,KDQD,female,0.950498903203892,0.1524826227265612,1.0116315041803174,-0.06113260097642548,0.02442515037388657,0.05450148488583586,0.004032207924133269,-1.1350843284729482,FALSE,FALSE,FALSE,FALSE
230,SMXT,eighth,0.8078142555380714,-0.2259251942760867,0.8478530412952296,-0.040038785757158246,0.053482795937007305,0.0545659390510536,0.004023462809664022,-0.7547483874194753,FALSE,TRUE,FALSE,TRUE
