term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
logP_c,NA,NA,1,306.11,188.601,9.071281697307552e-34
group,NA,NA,3,306.12,53.289,9.671619215788449e-28
leg,NA,NA,2,301.37,14140.809,1.2329458264500645e-298
logP_c:group,NA,NA,3,306.04,3.528,0.015299248876411278
logP_c:leg,NA,NA,2,301.24,0.264,0.7685223570533033
group:leg,NA,NA,6,301.27,71.972,2.700722294234819e-55
logP_c:group:leg,NA,NA,6,301.23,1.815,0.09588547260204873
