trait,n,df_residual,instar_component_log_per_instar,instar_component_SE,instar_component_CI_lower,instar_component_CI_upper,instar_component_pct_per_instar,instar_component_p,weapon_component_log,weapon_component_SE,weapon_component_CI_lower,weapon_component_CI_upper,weapon_component_ratio_male_vs_female,weapon_component_pct_male_vs_female,weapon_component_p,component_difference_log,component_difference_SE,component_difference_t,component_difference_p,instar_component_min_detectable_pct,weapon_component_min_detectable_pct,instar_component_holm_p,weapon_component_holm_p,component_difference_holm_p,larger_component
foreleg,313,309,0.04924367393526064,0.004635937969579019,0.04012167376620353,0.058365674104317755,5.047629324777647,1.1324629967295605e-22,0.14771214333207738,0.005851666737524083,0.13619798906184502,0.15922629760230975,1.1591791708790709,15.917917087907085,4.479948233600351e-77,-0.09846846939681675,0.006156035056994777,-15.995436751928864,2.245701897963767e-42,1.3114352487538783,1.6581834697753317,5.662314983647803e-22,2.2399741168001755e-76,1.1228509489818834e-41,weapon
midleg,312,308,0.04214180279653394,0.004606050564191474,0.033078495504312314,0.05120511008875557,4.304237459011384,8.089683929629809e-18,0.10350418955909582,0.005797262231046587,0.0920969398293507,0.11491143928884094,1.1090504397876924,10.905043978769235,1.92982947288463e-49,-0.06136238676256188,0.006104055949177641,-10.052723512606208,9.523794120470047e-21,1.3029392104489723,1.6426580000556523,3.2358735718519235e-17,5.7894884186538894e-49,2.857138236141014e-20,weapon
hindleg,311,307,0.04445854427884086,0.0050574408454909505,0.034506910263581214,0.05441017829410051,4.546163544604842,1.0808585011704733e-16,0.021990645885219,0.006368796302853474,0.009458629820168233,0.03452266195026976,1.022234222329467,2.2234222329466924,6.325429773420367e-4,0.022467898393621864,0.006703171631393481,3.351830988243867,9.03200103887564e-4,1.4315512299321265,1.8060754847218918,2.1617170023409466e-16,6.325429773420367e-4,9.03200103887564e-4,per_instar
ear_lin,313,309,0.03492686893409068,0.006119892808004614,0.022884934034280338,0.04696880383390102,3.554397559570077,2.6935710124832044e-8,0.07612373766538352,0.00772477401915398,0.06092392473193967,0.09132355059882737,1.0790960907275904,7.9096090727590385,4.2259512414422754e-20,-0.04119686873129284,0.008126570052995713,-5.06940424590401,6.887544718818866e-7,1.7348461443462693,2.1947524407730956,2.6935710124832044e-8,8.451902482884551e-20,1.3775089437637733e-6,weapon
eye,313,309,0.0663127131026316,0.007294769314184472,0.05195900790772236,0.08066641829754086,6.856081789314716,1.2234188536650782e-17,0.22028000088329605,0.009207750240368495,0.20216217881569312,0.23839782295089898,1.2464256820236752,24.64256820236752,2.658449091885113e-72,-0.15396728778066443,0.009686681729886753,-15.894740022852435,5.43730954638764e-42,2.0713236893883824,2.6215727372197017,3.6702565609952346e-17,1.0633796367540453e-71,2.174923818555056e-41,weapon
