trait,reported_scale,equivalence_margin_percent,estimate_ratio,lower_90_ratio,upper_90_ratio,TOST_p,equivalent,estimate,SE,df,lower_bound,upper_bound,lower_90,upper_90,p_lower,p_upper
Tympanal area,area ratio,2.5,1.016167406595345,0.9935156647815376,1.0393355986528556,0.2634820285861562,FALSE,0.00801905292708447,0.00683214267581652,308,-0.012658903992144949,0.012346306295185707,-0.0032527249228914094,0.01929083077706035,0.0013411027425146668,0.2634820285861562
Tympanal area,area ratio,5,1.016167406595345,0.9935156647815376,1.0393355986528556,0.008564872881934166,TRUE,0.00801905292708447,0.00683214267581652,308,-0.02564664719377529,0.024395082084716024,-0.0032527249228914094,0.01929083077706035,6.810420694761959e-7,0.008564872881934166
Eye length,length ratio,2.5,0.993975530912984,0.9806924134329702,1.0074385633261316,0.009357337388270107,TRUE,-0.00604268941630362,0.0081546812522939709,308,-0.025317807984289897,0.024692612590371414,-0.019496412483091818,0.007411033650484578,0.009357337388270107,9.819338023718051e-5
Eye length,length ratio,5,0.993975530912984,0.9806924134329702,1.0074385633261316,3.0984461549087334e-8,TRUE,-0.00604268941630362,0.0081546812522939709,308,-0.05129329438755058,0.04879016416943205,-0.019496412483091818,0.007411033650484578,3.0984461549087334e-8,4.2921065910587243e-11
