row_id,ID,group,.rownames,log_midleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
260,VFCQ,eighth,260,3.0540247663055076,-0.23133674627968404,3.0169352039669746,0.037089562338533,0.026998298249345905,0.033887079164397496,0.0068272753095200145,1.1091679573782032,FALSE,FALSE,FALSE,FALSE
97,JOYH,tenth,97,3.2352608541175236,0.029289078706530747,3.2726248748286277,-0.03736402071110412,0.02655127367840835,0.03388609826256811,0.006807712600290299,-1.1171190803943964,FALSE,FALSE,FALSE,FALSE
44,ECOO,ninth,44,3.2280337626529665,-0.0737661502396092,3.176757327677525,0.05127643497544154,0.014168994587057204,0.03382659493933544,0.006671208928890919,1.5234176837341948,FALSE,FALSE,FALSE,FALSE
267,VNVH,female,267,3.1530351229277676,0.09062751605576147,3.2183985957793504,-0.06536347285158284,0.008612839359787862,0.03374716402824531,0.006515755996992325,-1.9364927699283008,FALSE,FALSE,FALSE,FALSE
99,JPJS,female,99,3.0996192040182633,-0.028885417904565225,3.1380623072521945,-0.038443103233931186,0.023125484171523467,0.03388230269209598,0.006232825348092735,-1.1473646200133483,FALSE,FALSE,FALSE,FALSE
61,FYEF,female,61,3.298943147623399,0.12883287184296832,3.244080138220795,0.05486300940260369,0.011413437791766259,0.03380834829348631,0.006117600755958673,1.62770118992415,FALSE,FALSE,FALSE,FALSE
67,GRRD,female,67,3.3097945581888117,0.15913822133829725,3.264451316638867,0.045343241549944846,0.016198478479046985,0.03385446500046353,0.0059885155251108175,1.3485319033931038,FALSE,FALSE,FALSE,FALSE
169,OHZZ,eighth,169,3.1746940258539267,-0.06010392406970544,3.132037469090401,0.04265655676352553,0.018156608902103643,0.03386588412294508,0.0059642617788546355,1.2698928904629703,FALSE,FALSE,FALSE,FALSE
37,DSPJ,eighth,37,3.119210173754374,-0.15163070947315793,3.070513398042361,0.04869677571201292,0.013875179996469363,0.033839263890960376,0.005888573059666239,1.4465607199948196,FALSE,FALSE,FALSE,FALSE
10,BBRM,ninth,10,3.1471864639763556,-0.042124926300671106,3.198026477479794,-0.050840013503438364,0.012671989943615024,0.03382897056546927,0.0058474703188305865,-1.5093061245779529,FALSE,FALSE,FALSE,FALSE
174,OVOZ,female,174,3.157340788750404,-0.04851936750482522,3.1248644165491033,0.03247637220130084,0.028882880629872116,0.03390287777221732,0.005621692843027841,0.9721518592087028,FALSE,FALSE,FALSE,FALSE
181,PMTK,eighth,181,3.0154613687349863,-0.16628417909633053,3.06066337324118,-0.04520200450619383,0.015110808984649168,0.033855203085667925,0.005539405650989339,-1.34358892314171,FALSE,FALSE,FALSE,FALSE
40,EAXA,ninth,40,3.2505876475028814,-0.03677925150329653,3.201619826405834,0.04896782109704745,0.012663201801477246,0.03383811179005612,0.005420873193376651,1.4537191923363282,FALSE,FALSE,FALSE,FALSE
251,UMXA,female,251,3.211387859902297,0.14722196975274415,3.256441242801529,-0.045053382899231664,0.014046411176406697,0.033855967801891367,0.00510436889080005,-1.338448225303996,FALSE,FALSE,FALSE,FALSE
140,MAKB,tenth,140,3.228449847302474,0.010637663342939696,3.260087441126375,-0.03163759382390108,0.02761686550969044,0.03390561128784193,0.005087931431557328,-0.946427047706569,FALSE,FALSE,FALSE,FALSE
94,JDYH,ninth,94,3.1392263731927206,-0.06098927162642975,3.1853459128015884,-0.04611953960886783,0.013266899348638513,0.03385129151951575,0.005043996474956312,-1.3695803639793793,FALSE,FALSE,FALSE,FALSE
76,HIHW,eighth,76,3.07579036572457,-0.08066790306745486,3.1182144150050752,-0.04242404928050503,0.015392893633586634,0.03386710445737648,0.004973399902472675,-1.2611973272482937,FALSE,FALSE,FALSE,FALSE
124,LAZJ,ninth,124,3.151174975503941,-0.04299449157285551,3.1974419579279387,-0.04626698242399785,0.012680092512948925,0.03385068739646426,0.004846004275257355,-1.3735505100078187,FALSE,FALSE,FALSE,FALSE
287,XRPL,eighth,287,3.1978973064830027,-0.00501254182354427,3.169069755327777,0.028827551155225617,0.030706861835648,0.03391389985903761,0.004726889708736233,0.863739117133279,FALSE,FALSE,FALSE,FALSE
225,SDVC,ninth,225,3.2655303769072113,-0.0058504136781756255,3.2224101120844817,0.04312026482272957,0.013997605257347221,0.033864314889396,0.004659029379924596,1.2809873488443464,FALSE,FALSE,FALSE,FALSE
51,EXFC,eighth,51,3.007216081495277,-0.19001776342842502,3.0447097185570797,-0.037493637061802865,0.018236995609801198,0.033886207354902824,0.004629029179033251,-1.1162375959588526,FALSE,FALSE,FALSE,FALSE
79,HNUV,eighth,79,3.030157854568978,-0.148081173639254,3.072899386951182,-0.04274153238220402,0.013655648369555065,0.033865937176082536,0.0044626228663507735,-1.2695161021603365,FALSE,FALSE,FALSE,FALSE
77,HKWK,eighth,77,3.0073149347970576,-0.19220355664840527,3.0432404339452623,-0.035925499148204754,0.018594859604312078,0.033891838509856526,0.004336473298463803,-1.0697469399042863,FALSE,FALSE,FALSE,FALSE
259,VECM,ninth,259,3.1717842173343502,-0.017654935238720748,3.214475142884179,-0.04269092554982867,0.013209568658445775,0.0338661889657052,0.004302736257812337,-1.2677263338766969,FALSE,FALSE,FALSE,FALSE
234,SSQG,tenth,234,3.326419954704332,0.06570971002803394,3.297106730049057,0.029313224655274972,0.026947010065470924,0.033912661279660125,0.0042559802347309685,0.8765925125595173,FALSE,FALSE,FALSE,FALSE
110,KAOK,female,110,3.209976341681168,0.14145133580218006,3.2525622374196423,-0.04258589573847438,0.013130257927146352,0.033866634015211373,0.004255199940056633,-1.2645566094327085,FALSE,FALSE,FALSE,FALSE
5,AKPI,tenth,5,3.2804975964243703,-0.0011117288526905078,3.2521895297441628,0.028308066680207578,0.028729156426137797,0.033915456280639585,0.00424714802728576,0.8473102108170064,FALSE,FALSE,FALSE,FALSE
306,ZAVH,eighth,306,3.045759767153639,-0.12483912138059217,3.0885226350327235,-0.04276286787908434,0.012987014014800008,0.033865908536150506,0.00424259944120043,-1.2697195195748894,FALSE,FALSE,FALSE,FALSE
310,ZRDE,ninth,310,3.260689327681611,-0.010892441166423739,3.219020874102991,0.041668453578620035,0.013618914400728191,0.03387037085101856,0.004229632090033129,1.2376202912505931,FALSE,FALSE,FALSE,FALSE
161,NRDG,eighth,161,3.1321189609419187,-0.12342391554646914,3.0894739327747165,0.04264502816720217,0.012989386060933927,0.033866400304852697,0.004220040296156785,1.2662221321261882,FALSE,FALSE,FALSE,FALSE
