term,Sum Sq,Df,F value,Pr(>F)
logP_c,0.004527600327182579,1,2.083966389191957,0.14987259239991704
log_head_size_c,0.24547327771289795,1,112.98657638290109,1.11811840306785e-22
group,0.06938551909092638,3,10.645601734028414,1.1197001072542807e-6
Residuals,0.6669845097568987,307,NA,NA
