model,Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high,error
foreleg,logP_c,8.982505231400385,7.357679655149678,11.022585790040779,2.9970827868779977,0.11132751657124264,0.09072281396108783,0.13591241354196426,NA
foreleg,group,25.362316875403142,20.579210617024383,31.313912810227208,1.714081577995209,0.039428574483659225,0.03193468686140677,0.04859272877904941,NA
foreleg,logP_c:group,32.72636168251252,26.52348408479418,40.43670159863742,5.720695908935601,0.030556406168864,0.024730009136890052,0.03770243746270485,NA
midleg,logP_c,3.638376162727689,3.0390741050786367,4.413818437844971,1.9074527943641721,0.27484788687992623,0.22656119957853227,0.3290475866741409,NA
midleg,group,3.638376162727689,3.0390741050786367,4.413818437844971,1.2401796467011463,0.27484788687992623,0.22656119957853227,0.3290475866741409,NA
hindleg,logP_c,8.868647054873561,7.261516535310794,10.88827644629021,2.978027376447967,0.1127567704310065,0.0918419003166212,0.13771228022924276,NA
hindleg,group,25.136680119844314,20.384407264929965,31.05401812113617,1.7115305405121102,0.03978250092026049,0.03220195196960274,0.049057104629205206,NA
hindleg,logP_c:group,32.314625758723324,26.174752207011853,39.95195386017651,5.684595478899385,0.03094573978564645,0.02503006495000948,0.03820475518129696,NA
head_allometry,logP_c,8.982505231400395,7.357679655149684,11.022585790040779,2.9970827868779994,0.1113275165712425,0.09072281396108783,0.13591241354196415,NA
head_allometry,group,25.362316875403156,20.579210617024383,31.313912810227208,1.7140815779952092,0.0394285744836592,0.03193468686140677,0.04859272877904941,NA
head_allometry,logP_c:group,32.72636168251256,26.52348408479418,40.43670159863742,5.720695908935604,0.030556406168863962,0.024730009136890052,0.03770243746270485,NA
foretibia_allometry,logP_c,8.98250523140038,7.357679655149678,11.022585790040752,2.997082786877997,0.11132751657124271,0.09072281396108806,0.13591241354196426,NA
foretibia_allometry,group,25.362316875403092,20.57921061702429,31.313912810227208,1.7140815779952085,0.0394285744836593,0.03193468686140677,0.04859272877904963,NA
foretibia_allometry,logP_c:group,32.72636168251247,26.52348408479418,40.43670159863742,5.720695908935596,0.03055640616886405,0.024730009136890052,0.03770243746270485,NA
ear_body,logP_c,8.982505231400395,7.357679655149684,11.022585790040779,2.9970827868779994,0.1113275165712425,0.09072281396108783,0.13591241354196415,NA
ear_body,group,25.362316875403156,20.579210617024383,31.313912810227208,1.7140815779952092,0.0394285744836592,0.03193468686140677,0.04859272877904941,NA
ear_body,logP_c:group,32.72636168251256,26.52348408479418,40.43670159863742,5.720695908935604,0.030556406168863962,0.024730009136890052,0.03770243746270485,NA
eye_body,logP_c,8.982505231400419,7.357679655149714,11.02258579004082,2.9970827868780034,0.11132751657124222,0.0907228139610875,0.1359124135419636,NA
eye_body,group,25.36231687540317,20.579210617024383,31.313912810227208,1.7140815779952094,0.039428574483659176,0.03193468686140677,0.04859272877904941,NA
eye_body,logP_c:group,32.72636168251259,26.523484084794337,40.43670159863742,5.720695908935607,0.030556406168863934,0.024730009136890052,0.03770243746270463,NA
ear_local,logP_c,8.98250523140037,7.376746832691694,10.992617151218647,2.9970827868779955,0.1113275165712428,0.09097014716728669,0.13556111151439787,NA
ear_local,group,25.362316875403046,20.635599728218647,31.226857939286052,1.714081577995208,0.03942857448365937,0.032023715032241995,0.048459943649349135,NA
ear_local,relative_foretibia_size,2.88658576940759,2.4439722221299585,3.4648714225825996,1.698995517771483,0.3464300318383502,0.2886109982270665,0.4091699533018771,NA
ear_local,logP_c:group,32.72636168251237,26.596649376505336,40.3239759940414,5.720695908935587,0.03055640616886414,0.024799141834321303,0.037598721020978276,NA
ear_local,group:relative_foretibia_size,2.8865857694075916,2.4439722221299593,3.4648714225826023,1.6989955177714835,0.34643003183835003,0.28861099822706626,0.409169953301877,NA
eye_local,logP_c,8.982505231400387,7.376746832691706,10.992617151218674,2.997082786877998,0.11132751657124261,0.09097014716728646,0.13556111151439765,NA
eye_local,group,25.36231687540307,20.635599728218647,31.226857939286052,1.7140815779952083,0.03942857448365933,0.032023715032241995,0.048459943649349135,NA
eye_local,relative_head_size,4.4214200109508885,3.685355175402834,5.359242679910719,2.102717292208082,0.22617168184049902,0.18659352817675712,0.27134426735157036,NA
eye_local,logP_c:group,32.72636168251244,26.596649376505336,40.3239759940414,5.7206959089355935,0.030556406168864073,0.024799141834321303,0.037598721020978276,NA
eye_local,group:relative_head_size,4.421420010950886,3.685355175402834,5.359242679910715,2.1027172922080815,0.22617168184049916,0.18659352817675723,0.27134426735157036,NA
ear_weapon,logP_c,8.982505231400395,7.376746832691712,10.992617151218687,2.9970827868779994,0.1113275165712425,0.09097014716728635,0.13556111151439754,NA
ear_weapon,group,25.362316875403096,20.635599728218647,31.226857939286052,1.7140815779952085,0.039428574483659294,0.032023715032241995,0.048459943649349135,NA
ear_weapon,relative_head_size,4.4214200109508885,3.685355175402834,5.359242679910719,2.102717292208082,0.22617168184049902,0.18659352817675712,0.27134426735157036,NA
ear_weapon,logP_c:group,32.726361682512454,26.596649376505496,40.3239759940414,5.720695908935595,0.030556406168864063,0.024799141834321303,0.037598721020978054,NA
ear_weapon,group:relative_head_size,4.421420010950887,3.685355175402834,5.359242679910719,2.1027172922080815,0.2261716818404991,0.18659352817675712,0.27134426735157036,NA
