row_id,ID,group,log_foreleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
125,LEZS,eighth,3.233271705151933,-0.10566920527287205,3.1429356670699096,0.0903360380820235,0.01421069825114744,0.03349104598012986,0.013026580786815555,2.6887136595146677,TRUE,FALSE,FALSE,TRUE
174,OVOZ,female,3.172119590859754,-0.04851936750482522,3.1300289217224906,0.04209066913726334,0.05872006195121244,0.0338036972533446,0.012816861811047063,1.2820412327732364,TRUE,TRUE,FALSE,TRUE
237,SYKW,tenth,3.349184530209888,-0.017089644098738033,3.3153985217016086,0.03378600850827951,0.08573960189134654,0.03383451135354673,0.012781345119585412,1.044185113172775,TRUE,TRUE,FALSE,TRUE
284,XOAF,ninth,3.161606816677628,-0.029743541527017747,3.254192036448159,-0.0925852197705308,0.01314637118478183,0.0334710043950915,0.012631207532893119,-2.754170707208151,FALSE,FALSE,FALSE,FALSE
32,DJFZ,tenth,3.398243021835719,0.05970917023873734,3.3408731348025738,0.05736988703314516,0.030841242151885162,0.03372995731089211,0.011796988146946236,1.722114790513087,FALSE,FALSE,FALSE,FALSE
289,XWCJ,eighth,3.1875915348284343,-0.15341021329953453,3.1075667848706137,0.0800247499578206,0.016134865679031427,0.03357782133751456,0.011652094725026957,2.384141925241762,FALSE,FALSE,FALSE,FALSE
309,ZIER,tenth,3.3029044244636516,0.0786314559158019,3.3471497669454986,-0.04424534248184697,0.04702538558407367,0.03379532219529438,0.011065370635509006,-1.3393758360350898,FALSE,FALSE,FALSE,FALSE
256,UYSP,tenth,3.321035222410119,0.09909090264423104,3.3539362843437526,-0.032901061933633624,0.07774075093590646,0.033838148142776386,0.010799997769932426,-1.012415930863521,FALSE,TRUE,FALSE,TRUE
143,MJSX,eighth,3.082712400055329,-0.08913484206783706,3.1551851349511204,-0.0724727348957912,0.017739707351170874,0.03363468281534622,0.010541531656341143,-2.160911201447425,FALSE,FALSE,FALSE,FALSE
61,FYEF,female,3.3327579284396345,0.12883287184296832,3.2560730054294136,0.0766849230102209,0.015710087945875268,0.03360399470578084,0.010409111522657156,2.284146910510765,FALSE,FALSE,FALSE,FALSE
