row_id,ID,group,log_eye,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
232,SNDZ,Ninth instar,0.9364854391596744,0.03922071315328135,1.0824629278656255,-0.14597748870595106,0.020163686310159662,0.05386404170317086,0.030213607084901832,-2.7094309651612,TRUE,FALSE,FALSE,TRUE
246,TYRB,Eighth instar,0.9327544579048201,0.03922071315328135,1.0213369961224945,-0.08858253821767437,0.04585527702063587,0.05427141972136168,0.02668240591012107,-1.666134131261862,TRUE,TRUE,FALSE,TRUE
143,MJSX,Eighth instar,0.7774883289936962,-0.08913484206783706,0.9372961111222622,-0.15980778212856595,0.014357465453774998,0.053738031789376736,0.025480191338022158,-2.9573802827646576,TRUE,FALSE,FALSE,TRUE
69,GWYL,Eighth instar,1.003018735383979,-0.19574457712609528,0.8674933163113822,0.13552541907259685,0.019092513782293843,0.05395537871151741,0.024604608695764814,2.514060366570568,TRUE,FALSE,FALSE,TRUE
106,JXVQ,Tenth instar,1.0492469591227807,0.04997993230502096,1.162718844324342,-0.11347188520156126,0.026374183811334974,0.05412114319393197,0.024184623863026507,-2.1128136644484945,TRUE,FALSE,FALSE,TRUE
221,SBJVC,Ninth instar,1.1259031489040134,-0.10274049412361563,0.9895137331486608,0.13638941575535268,0.017703059380741237,0.05394895845121463,0.02304050593825811,2.5282978800971248,TRUE,FALSE,FALSE,TRUE
99,JPJS,Female,0.7740356842932838,-0.028885417904565225,0.8872364898305706,-0.11320080553728673,0.023110192739822486,0.05412436564021842,0.02094977561278535,-2.104242051658009,TRUE,FALSE,FALSE,TRUE
291,YBYC,Ninth instar,0.8765098618623104,-0.03980977550533571,1.0307176629456212,-0.15420780108331078,0.012659519718315136,0.053793332284157995,0.020847979061044148,-2.8512929486379814,TRUE,FALSE,FALSE,TRUE
234,SSQG,Tenth instar,1.0732944806838198,0.06570971002803394,1.1730179267319685,-0.09972344604814865,0.026946351248513405,0.054211481941540234,0.019106840614853016,-1.8573675428181389,TRUE,FALSE,FALSE,TRUE
22,CPWC,Female,0.7790954926963102,-0.012860115729604882,0.8977290670693173,-0.11863357437300714,0.019120724666654005,0.0540873197100048,0.018882365163458655,-2.2007403369071588,TRUE,FALSE,FALSE,TRUE
237,SYKW,Tenth instar,1.2097063361736966,-0.017089644098738033,1.1188049946444238,0.09090134152927276,0.030784088645799748,0.054262370321859925,0.018280738904151144,1.6964028453714157,TRUE,FALSE,FALSE,TRUE
115,KIIU,Tenth instar,1.0655724345899094,0.051432173632270706,1.1636697002975465,-0.0980972657076371,0.026401434630363076,0.054221579459066374,0.01809461766109622,-1.8265682608777434,TRUE,FALSE,FALSE,TRUE
74,HDZC,Tenth instar,1.1961926170069737,-0.025887770952127687,1.1130444152458197,0.083148201761154,0.032185872920765767,0.05430383345873769,0.016038178044809847,1.5528369257990473,TRUE,TRUE,FALSE,TRUE
95,JHFO,Female,0.981703870422387,-0.03232233951774788,0.8849861631224611,0.0967177072999259,0.02404831106688891,0.054230566221140857,0.01594438810487047,1.798708554889683,TRUE,FALSE,FALSE,TRUE
32,DJFZ,Tenth instar,1.2591709647906981,0.05970917023873734,1.1690890693209832,0.0900818954697149,0.026656075221648836,0.05426802852503592,0.015413686515956607,1.6775416893212107,TRUE,FALSE,FALSE,TRUE
86,IEPT,Tenth instar,1.1704677257685379,0.1439800866228811,1.2242655077735574,-0.0537977820050195,0.03886818377291654,0.05442762712740761,0.008221006874008974,-1.0081887826271343,FALSE,TRUE,FALSE,TRUE
98,JOZD,Eighth instar,1.024427390478733,0.007747686790825936,1.0007300112157655,0.023697379262967555,0.034371040547690246,0.05450028338854421,0.0013974641804765276,0.4430616346901751,FALSE,TRUE,FALSE,TRUE
263,VHBT,Tenth instar,1.1896710196150764,0.11914013906619814,1.2080015356188132,-0.018330516003736808,0.03344766177823854,0.054507273281557994,8.121426580708143e-4,-0.34255551970981774,FALSE,TRUE,FALSE,TRUE
114,KEMO,Tenth instar,1.09376723700491,-0.02988663375019951,1.110426157173814,-0.016658920168904023,0.032886120121725225,0.0545090863226885,6.587475763673639e-4,-0.31122681340964714,FALSE,TRUE,FALSE,TRUE
