row_id,ID,group,log_head_size,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
246,TYRB,eighth,2.5445370411661385,0.03922071315328135,2.656597694056112,-0.11206065288997324,0.11855209351985291,0.047949450240997685,0.10243019495476645,-2.468327061605808,TRUE,TRUE,FALSE,TRUE
221,SBJVC,ninth,2.840941565793485,-0.10274049412361563,2.6521741222329784,0.18876744356050645,0.03707440716299438,0.04716233831257364,0.07616382045499259,3.9781267007549945,TRUE,FALSE,TRUE,TRUE
98,JOZD,eighth,2.5137760571975774,0.007747686790825936,2.6202939470357096,-0.10651788983813226,0.08179546743789555,0.048014227961321015,0.058843874256558605,-2.2987975187522087,TRUE,TRUE,FALSE,TRUE
95,JHFO,female,2.3188528688886327,-0.03232233951774788,2.203564889234781,0.11528797965385174,0.04685735558837352,0.04795980187540557,0.03664677882818905,2.442041048142936,TRUE,FALSE,FALSE,TRUE
232,SNDZ,ninth,2.671659577174498,0.03922071315328135,2.7769158300358834,-0.1052562528613854,0.048983448713148074,0.048038449807604876,0.032075600371973954,-2.232038846664535,TRUE,FALSE,FALSE,TRUE
143,MJSX,eighth,2.3394396392999726,-0.08913484206783706,2.5085411471023242,-0.16910150780235167,0.017739707351170874,0.047436811388828014,0.028105674393699185,-3.528434561552769,TRUE,FALSE,TRUE,TRUE
109,KAIL,ninth,2.680431177522097,-0.14904798003102915,2.611483605528069,0.06894757199402823,0.08523358133806262,0.04825887495159658,0.02588415791455695,1.4907738014173182,TRUE,TRUE,FALSE,TRUE
296,YNBA,ninth,2.7177713515764745,0.0557762863020661,2.7914632582231285,-0.07369190664665393,0.06603834765886687,0.048237815655469876,0.021977762259528574,-1.5768963661226447,TRUE,TRUE,FALSE,TRUE
69,GWYL,eighth,2.4933549896954452,-0.19574457712609528,2.3855681350095304,0.10778685468591487,0.03289477676317532,0.04802599706643678,0.02184323005303827,2.2666100814883072,TRUE,FALSE,FALSE,TRUE
88,ILNB,tenth,2.9792323396552116,0.10360898261902007,2.9204708960144847,0.058761443640726885,0.08637476016321136,0.0483071563962923,0.019100351808423604,1.2713241414800684,TRUE,TRUE,FALSE,TRUE
260,VFCQ,eighth,2.4138082351340664,-0.23133674627968404,2.344513007676728,0.06929522745733818,0.05793470171792817,0.04826226839692724,0.016756726746444885,1.4764226628245005,TRUE,TRUE,FALSE,TRUE
261,VFPH,ninth,2.850645972931222,0.030771658666753465,2.7694916223513606,0.08115435057986131,0.041540721966963894,0.04820176229381318,0.01592047782540311,1.7142448577741847,TRUE,FALSE,FALSE,TRUE
230,SMXT,eighth,2.281772872296722,-0.2259251942760867,2.35075516604637,-0.06898229374964782,0.053482795937007305,0.0482646433447987,0.015185815420960338,-1.4662946721606362,TRUE,TRUE,FALSE,TRUE
290,YAKT,eighth,2.295005187261612,-0.2072975428641317,2.372241931782078,-0.0772367445204658,0.03992619072327798,0.0482242050141435,0.013813455371241932,-1.6301198302737618,TRUE,FALSE,FALSE,TRUE
116,KORY,eighth,2.2923268167539814,-0.21484474849951463,2.363536323336849,-0.07120950658286773,0.04508867313156929,0.04825500573427654,0.013403650481395564,-1.5069690594103562,TRUE,FALSE,FALSE,TRUE
244,TSPY,female,2.1390076875136534,-0.016524672332297596,2.2184326627344775,-0.07942497522082403,0.03682361054472885,0.04821274733227734,0.013385502040075296,-1.6736014963377366,TRUE,FALSE,FALSE,TRUE
278,WWFJ,eighth,2.4529485516363363,-0.06113690578924302,2.540836420650085,-0.08788786901374879,0.028637469245900306,0.048164878484406946,0.01253243863100279,-1.8441071106207618,FALSE,FALSE,FALSE,FALSE
51,EXFC,eighth,2.306688935301031,-0.19001776342842502,2.392173943847831,-0.08548500854679997,0.029799955277609733,0.04817921370180952,0.012367409089792577,-1.79476336398745,FALSE,FALSE,FALSE,FALSE
305,ZAQJ,eighth,2.3136577834463745,-0.16743294430020406,2.4182252536484845,-0.10456747020210999,0.02011912004904236,0.04805524569995596,0.012247893280893934,-2.184529133864001,FALSE,FALSE,FALSE,FALSE
44,ECOO,ninth,2.780364614941342,-0.0737661502396092,2.6776339588171365,0.1027306561242054,0.01996246616409327,0.048068602498840374,0.011725589212773195,2.145984540525366,FALSE,FALSE,FALSE,FALSE
279,WYMS,eighth,2.552219230068837,-0.15130750326478526,2.436825750632804,0.11539347943603273,0.015671281068663317,0.04797410314101606,0.011513105935037812,2.405243624192124,FALSE,FALSE,FALSE,FALSE
303,YYNS,female,2.331788976197669,0.007472014838700858,2.241016839588771,0.09077213660889782,0.024485189894841844,0.048147993083859655,0.011333045551894122,1.900568408094591,FALSE,FALSE,FALSE,FALSE
240,TKBC,ninth,2.837963905273046,0.00581638532143991,2.747563354231529,0.09040055104151712,0.024534042840482776,0.04815033610928524,0.011264004512521433,1.8928356219639249,FALSE,FALSE,FALSE,FALSE
23,CTFK,tenth,2.9206465772027186,-0.010892441166423739,2.8731893412230307,0.04745723597968787,0.07413271695223377,0.04835299078435066,0.010411734812465314,1.0199431201900433,FALSE,TRUE,FALSE,TRUE
