contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference
eighth - female,-0.1139472842352197,0.022905724841106607,307,-0.16908527865749193,-0.05880928981294747,-4.9746203198394285,3.271227306761637e-6,Eye length,0.8923049931827267,0.8444368878712505,0.9428865700857708,-10.76950068172733
ninth - female,-0.14413164177033566,0.02920194133475895,307,-0.21442570535508237,-0.07383757818558895,-4.93568698457648,3.271227306761637e-6,Eye length,0.8657737685655343,0.8070047656372559,0.9288225426330287,-13.422623143446566
tenth - female,-0.13356551724794213,0.034782772636511146,307,-0.21729359557451566,-0.049837438921368604,-3.839990521852179,1.4945940608450373e-4,Eye length,0.8749701414639665,0.8046936801166458,0.9513840699513119,-12.502985853603354
