trait,n,male_step_estimate_log,matched_sex_estimate_log,contrast_difference_estimate_log,male_step_SE,matched_sex_SE,contrast_difference_SE,male_step_df,matched_sex_df,contrast_difference_df,male_step_CI_lower,matched_sex_CI_lower,contrast_difference_CI_lower,male_step_CI_upper,matched_sex_CI_upper,contrast_difference_CI_upper,male_step_percent,matched_sex_percent,contrast_difference_percent,male_step_p,matched_sex_p,contrast_difference_p,male_step_holm_p,matched_sex_holm_p,contrast_difference_holm_p
foreleg,313,0.0499233273410693,0.15655566157458045,-0.10663233423351115,0.006019803065773872,0.008350152444797537,0.008011995261956416,111.43490642810117,88.06641074352001,222.4854122763349,0.0379951986862493,0.13996166265884763,-0.12242144374194663,0.0618514559958893,0.17314966049031327,-0.09084322472507567,5.119049571578086,16.94758553749792,-10.114390914147728,2.8115253230609665e-13,1.69908625002941e-32,4.058049123699695e-30,1.4057626615304833e-12,8.49543125014705e-32,2.0290245618498475e-29
midleg,312,0.046231730570038154,0.11468002575487368,-0.06844829518483553,0.006158584752556048,0.00820455363879998,0.007989199582971649,109.68088461574816,84.81035676242571,215.57213427415581,0.03402646621576181,0.09836664845549198,-0.08419524334291156,0.0584369949243145,0.1309934030542554,-0.0527013470267595,4.731707822268659,12.151452439017344,-6.615825703000317,1.711357240691181e-11,1.0104996932458832e-23,2.0356232468871726e-15,5.134071722073543e-11,3.0314990797376497e-23,6.106869740661517e-15
hindleg,311,0.05119752094122387,0.03852232254440047,0.012675198396823406,0.006338055983920222,0.009785989534987181,0.008952300550619206,109.80153326179318,91.48892541142123,225.59936506548254,0.03863672915742355,0.019085055920083322,-0.004965623895742583,0.06375831272502419,0.057959589168717615,0.030316020689389395,5.253076962084573,3.927392733744018,1.2755869203193435,9.288747782134688e-13,1.6107215038789144e-4,0.15819579358033528,3.715499112853875e-12,1.6107215038789144e-4,0.15819579358033528
ear_lin,313,0.035422922742611995,0.0748143981329108,-0.0393914753902988,0.007967304472078789,0.013306745602621512,0.011029825952173892,101.92826328546745,74.33004197821707,215.3994401642603,0.019619678600866275,0.048302084766906325,-0.0611316862530685,0.051226166884357716,0.10132671149891527,-0.0176512645275291,3.605778855758848,7.768411213807816,-3.862571890190055,2.2324211356694575e-5,3.129324993556448e-7,4.380042249194439e-4,2.2324211356694575e-5,6.258649987112896e-7,8.760084498388878e-4
eye,313,0.07176618789431705,0.23912958739888068,-0.16736339950456364,0.010021392879527401,0.014811928396169355,0.012941565594720117,110.3109029786586,70.43295024837445,215.45509404160896,0.051906761853529895,0.20959131992776925,-0.19287168545100333,0.0916256139351042,0.2686678548699921,-0.14185511355812394,7.440410600732869,27.014312046279482,-15.41078413148794,9.453614615625009e-11,2.2704066342972704e-25,1.0815131827309661e-28,1.8907229231250018e-10,9.081626537189082e-25,4.3260527309238645e-28
