group,mean_relative_head_size,mean_relative_foretibia_size,sd_relative_head_size,sd_relative_foretibia_size
female,3.4473953823437396e-18,2.3080642858335484e-18,0.03713027972423664,0.03217813399386001
eighth,2.0238440553062747e-18,-2.4241648574547688e-18,0.05648848256708819,0.035574520377241556
ninth,-2.108018401187006e-18,-1.2296774006924202e-18,0.05862272666111225,0.03596873311245123
tenth,3.6520494231090674e-19,-3.2868444807981606e-18,0.03210010003502495,0.028565697277316067
