contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
eighth - tenth,-0.12351661440902713,0.24553720443984633,301,-0.7146315370304003,0.467598308212346,-0.5030464311541317,1
"ninth - midpoint(eighth,tenth)",-0.09851484035347183,0.14998362954239325,301,-0.45959071793252326,0.26256103722557955,-0.6568372872029101,1
tenth - female,-0.10595366941385805,0.25401941622588114,301,-0.7174889677375554,0.5055816289098393,-0.4171085462208963,1
