contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference
female - eighth,-0.0955972116102463,0.017405970733805922,305,-0.14182011642441206,-0.049374306796080535,-5.492207994155542,1.674811215649776e-7,Eye length at common body size,0.9088300085306967,0.8677773413379166,0.9518247885251809,-9.116999146930327
female - ninth,-0.1539688398676228,0.012142647681659928,305,-0.1862145822375798,-0.1217230974976658,-12.680005539498195,3.503639667513862e-29,Eye length at common body size,0.8572987341373055,0.8300954521299475,0.8853935022383086,-14.270126586269448
female - tenth,-0.23912958739888043,0.015872723267508763,305,-0.2812808346895983,-0.19697834010816254,-15.065441724696056,6.010474297174772e-38,Eye length at common body size,0.7873128499374432,0.7548163271030223,0.821208420405586,-21.26871500625568
eighth - ninth,-0.058371628257376504,0.016858161039328273,305,-0.10313978195473507,-0.013603474560017939,-3.462514572093705,6.116535813978565e-4,Eye length at common body size,0.9432993256057844,0.9020008812226605,0.9864886345589675,-5.6700674394215556
eighth - tenth,-0.14353237578863415,0.01971540120905274,305,-0.1958881522860172,-0.09117659929125109,-7.280215820448444,1.1396676873153963e-11,Eye length at common body size,0.8662927528221587,0.8221041800093429,0.9128564868550663,-13.370724717784132
ninth - tenth,-0.08516074753125763,0.015270007215739323,305,-0.12571143561634612,-0.04461005944616912,-5.576994583439326,1.618786564172709e-7,Eye length at common body size,0.9183646476857467,0.8818692861376003,0.9563703367115213,-8.163535231425334
