matrix_type,statistic,permutations,p_value,trait_set,analysis_role,sensitivity
covariance,116.44625162710192,9999,0.3979,five_non_head_traits,primary_omnibus,Primary analysis: head trait excluded
correlation,0.36035082931566065,9999,0.8475,five_non_head_traits,primary_omnibus,Primary analysis: head trait excluded
