row_id,ID,group,log_ear_linear,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
88,ILNB,tenth,0.7232829897307295,0.10360898261902007,0.6384352466902194,0.08484774304051002,0.08637476016321136,0.04556098188717055,0.04445207051981969,1.9394634878696897,TRUE,TRUE,FALSE,TRUE
260,VFCQ,eighth,0.49346778572174343,-0.23133674627968404,0.39762317011071974,0.0958446156110237,0.05793470171792817,0.04549337596621285,0.0357826854809376,2.157508794471708,TRUE,TRUE,FALSE,TRUE
177,PAQJ,ninth,0.4024560719453829,-0.13004541222858368,0.4895509881361573,-0.08709491619077436,0.06237378840106832,0.04555338639400052,0.03211359924525088,-1.9651843354839,TRUE,TRUE,FALSE,TRUE
309,ZIER,tenth,0.5268074613686871,0.0786314559158019,0.6279852423679044,-0.10117778099921737,0.04702538558407367,0.04545753476881828,0.03163011209167002,-2.264487054867778,TRUE,FALSE,FALSE,TRUE
95,JHFO,female,0.5993042209133926,-0.03232233951774788,0.5036490148287164,0.09565520608467626,0.04685735558837352,0.04549884859090921,0.028160471778427603,2.1406961072691635,TRUE,FALSE,FALSE,TRUE
114,KEMO,tenth,0.5264586647029901,-0.02988663375019951,0.5825838493663722,-0.05612518466338212,0.11369447225923145,0.045716869093043996,0.02720499992464169,-1.3025410284138423,TRUE,TRUE,FALSE,TRUE
105,JUYN,female,0.4097797714571917,-0.01497264380205987,0.5125724546859319,-0.10279268322874024,0.03591970857212607,0.04544964927463878,0.024366408979132826,-2.2873412299461107,TRUE,FALSE,FALSE,TRUE
263,VHBT,tenth,0.5955957349806014,0.11914013906619814,0.6449331139103013,-0.049337378929699915,0.12116240239909075,0.0457450786736413,0.022785758795711663,-1.149865695164499,TRUE,TRUE,FALSE,TRUE
193,QDXY,ninth,0.5288951470739273,0.0557762863020661,0.5997072601753053,-0.07081211310137803,0.06603834765886687,0.04565153249043497,0.022652385621451207,-1.600915427812602,TRUE,TRUE,FALSE,TRUE
237,SYKW,tenth,0.6478428061245678,-0.017089644098738033,0.5879378060955291,0.059905000029038646,0.08573960189134654,0.04570351876424634,0.021964864083904682,1.3688424864697917,TRUE,TRUE,FALSE,TRUE
31,DFME,eighth,0.5205798569600122,-0.19473157687063614,0.4176584595498275,0.10292139741018469,0.032328491756390104,0.04545013100191482,0.021822354818878446,2.285951727396931,TRUE,FALSE,FALSE,TRUE
61,FYEF,female,0.7300627546235458,0.12883287184296832,0.5865357040145034,0.14352705060904236,0.015710087945875268,0.04508745437906895,0.019932455260732607,3.160804255571847,TRUE,FALSE,TRUE,TRUE
