row_id,ID,group,log_head_size,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
246,TYRB,Eighth instar,2.5445370411661385,0.03922071315328135,2.656597694056112,-0.11206065288997324,0.11855209351985291,0.047949450240997685,0.10243019495476645,-2.468327061605808,TRUE,TRUE,FALSE,TRUE
221,SBJVC,Ninth instar,2.840941565793485,-0.10274049412361563,2.6521741222329784,0.18876744356050645,0.03707440716299438,0.04716233831257364,0.07616382045499259,3.9781267007549945,TRUE,FALSE,TRUE,TRUE
98,JOZD,Eighth instar,2.5137760571975774,0.007747686790825936,2.6202939470357096,-0.10651788983813226,0.08179546743789555,0.048014227961321015,0.058843874256558605,-2.2987975187522087,TRUE,TRUE,FALSE,TRUE
95,JHFO,Female,2.3188528688886327,-0.03232233951774788,2.203564889234781,0.11528797965385174,0.04685735558837352,0.04795980187540557,0.03664677882818905,2.442041048142936,TRUE,FALSE,FALSE,TRUE
232,SNDZ,Ninth instar,2.671659577174498,0.03922071315328135,2.7769158300358834,-0.1052562528613854,0.048983448713148074,0.048038449807604876,0.032075600371973954,-2.232038846664535,TRUE,FALSE,FALSE,TRUE
143,MJSX,Eighth instar,2.3394396392999726,-0.08913484206783706,2.5085411471023242,-0.16910150780235167,0.017739707351170874,0.047436811388828014,0.028105674393699185,-3.528434561552769,TRUE,FALSE,TRUE,TRUE
109,KAIL,Ninth instar,2.680431177522097,-0.14904798003102915,2.611483605528069,0.06894757199402823,0.08523358133806262,0.04825887495159658,0.02588415791455695,1.4907738014173182,TRUE,TRUE,FALSE,TRUE
296,YNBA,Ninth instar,2.7177713515764745,0.0557762863020661,2.7914632582231285,-0.07369190664665393,0.06603834765886687,0.048237815655469876,0.021977762259528574,-1.5768963661226447,TRUE,TRUE,FALSE,TRUE
69,GWYL,Eighth instar,2.4933549896954452,-0.19574457712609528,2.3855681350095304,0.10778685468591487,0.03289477676317532,0.04802599706643678,0.02184323005303827,2.2666100814883072,TRUE,FALSE,FALSE,TRUE
88,ILNB,Tenth instar,2.9792323396552116,0.10360898261902007,2.9204708960144847,0.058761443640726885,0.08637476016321136,0.0483071563962923,0.019100351808423604,1.2713241414800684,TRUE,TRUE,FALSE,TRUE
260,VFCQ,Eighth instar,2.4138082351340664,-0.23133674627968404,2.344513007676728,0.06929522745733818,0.05793470171792817,0.04826226839692724,0.016756726746444885,1.4764226628245005,TRUE,TRUE,FALSE,TRUE
261,VFPH,Ninth instar,2.850645972931222,0.030771658666753465,2.7694916223513606,0.08115435057986131,0.041540721966963894,0.04820176229381318,0.01592047782540311,1.7142448577741847,TRUE,FALSE,FALSE,TRUE
230,SMXT,Eighth instar,2.281772872296722,-0.2259251942760867,2.35075516604637,-0.06898229374964782,0.053482795937007305,0.0482646433447987,0.015185815420960338,-1.4662946721606362,TRUE,TRUE,FALSE,TRUE
290,YAKT,Eighth instar,2.295005187261612,-0.2072975428641317,2.372241931782078,-0.0772367445204658,0.03992619072327798,0.0482242050141435,0.013813455371241932,-1.6301198302737618,TRUE,FALSE,FALSE,TRUE
116,KORY,Eighth instar,2.2923268167539814,-0.21484474849951463,2.363536323336849,-0.07120950658286773,0.04508867313156929,0.04825500573427654,0.013403650481395564,-1.5069690594103562,TRUE,FALSE,FALSE,TRUE
244,TSPY,Female,2.1390076875136534,-0.016524672332297596,2.2184326627344775,-0.07942497522082403,0.03682361054472885,0.04821274733227734,0.013385502040075296,-1.6736014963377366,TRUE,FALSE,FALSE,TRUE
23,CTFK,Tenth instar,2.9206465772027186,-0.010892441166423739,2.8731893412230307,0.04745723597968787,0.07413271695223377,0.04835299078435066,0.010411734812465314,1.0199431201900433,FALSE,TRUE,FALSE,TRUE
74,HDZC,Tenth instar,2.9018369042839747,-0.025887770952127687,2.8669972565882818,0.03483964769569292,0.10438190013436476,0.048389619861082755,0.008443699329566172,0.7613076701491659,FALSE,TRUE,FALSE,TRUE
237,SYKW,Tenth instar,2.9044571620859587,-0.017089644098738033,2.8706303041358843,0.03382685795007445,0.08573960189134654,0.048393144484208214,0.006274378896803145,0.7316014996160956,FALSE,TRUE,FALSE,TRUE
177,PAQJ,Ninth instar,2.5893127761035766,-0.13004541222858368,2.628181214725587,-0.038868438622010615,0.06237378840106832,0.048380918141249785,0.005729841510070493,-0.8300994128904642,FALSE,TRUE,FALSE,TRUE
287,XRPL,Eighth instar,2.6414655742220736,-0.00501254182354427,2.6055751809976524,0.035890393224421224,0.06912126855427464,0.04838865109041623,0.005492722947073909,0.7692713251357871,FALSE,TRUE,FALSE,TRUE
27,CWPJ,Ninth instar,2.8345630656501912,0.07141585960488883,2.8052057947972053,0.029357270852985895,0.08515538917680125,0.04840366207908012,0.0046876438201664625,0.6347312697793173,FALSE,TRUE,FALSE,TRUE
107,JZEI,Ninth instar,2.654354512872049,-0.13353139262452274,2.6251180740528772,0.029236438819171706,0.0662444733425422,0.048404568021783105,0.0034716665150857254,0.6256850247066414,FALSE,TRUE,FALSE,TRUE
129,LJJN,Tenth instar,2.944498924326337,0.08935815818032045,2.9145862431058505,0.029912681220486625,0.06141667856801304,0.048403279933382136,0.0033347027091303522,0.6385086836013393,FALSE,TRUE,FALSE,TRUE
285,XQBJ,Tenth instar,2.9004604002822383,-0.00850831550168607,2.8741738282671236,0.02628657201511464,0.07000302451245288,0.04841042612915521,0.0029896986581204694,0.5636909569475913,FALSE,TRUE,FALSE,TRUE
114,KEMO,Tenth instar,2.8784431133379225,-0.02988663375019951,2.8653459893442617,0.013097123993660809,0.11369447225923145,0.04842909024411798,0.001327180794766153,0.28769485262748323,FALSE,TRUE,FALSE,TRUE
66,GRAC,Ninth instar,2.605256714145979,-0.13687029389003724,2.6221841722212793,-0.016927458075300272,0.07008787921891915,0.048425198192131785,0.0012415047104726252,-0.3630100712268445,FALSE,TRUE,FALSE,TRUE
86,IEPT,Tenth instar,2.9289795642159238,0.1439800866228811,2.9371415058885315,-0.008161941672607753,0.19324980519156168,0.048432858632901386,0.0010573862452250605,-0.18791949163840518,FALSE,TRUE,FALSE,TRUE
174,OVOZ,Female,2.2037117922631855,-0.04851936750482522,2.188321262397149,0.015390529866036395,0.05872006195121244,0.0484271168204392,8.391929374710711e-4,0.32805151843612,FALSE,TRUE,FALSE,TRUE
193,QDXY,Ninth instar,2.8048764053207362,0.0557762863020661,2.7914632582231285,0.01341314709760777,0.06603834765886687,0.04842912098763016,7.281238543979026e-4,0.2870212466873265,FALSE,TRUE,FALSE,TRUE
256,UYSP,Tenth instar,2.9075328084423946,0.09909090264423104,2.9186052262366093,-0.01107241779421475,0.07774075093590646,0.048431148494651396,5.990090694342921e-4,-0.23843161280670327,FALSE,TRUE,FALSE,TRUE
5,AKPI,Tenth instar,2.8868113646174445,-0.0011117288526905078,2.877228131919885,0.009583232697559563,0.05837760500592801,0.048432350698160605,3.232381103548811e-4,0.2042309350587967,FALSE,TRUE,FALSE,TRUE
222,SCBI,Tenth instar,2.9285882069709164,0.10760798819830586,2.922122222217752,0.006465984753164289,0.09457551264256997,0.048434094687471015,2.5783944681460137e-4,0.14052592082769014,FALSE,TRUE,FALSE,TRUE
263,VHBT,Tenth instar,2.9315783440233405,0.11914013906619814,2.9268842418075285,0.004694102215812013,0.12116240239909075,0.048434811325222184,1.8478277295372816e-4,0.10354904781618138,FALSE,TRUE,FALSE,TRUE
153,NACP,Ninth instar,2.6343029397253765,-0.12122645743414373,2.63593045483982,-0.0016275151144435895,0.05322938847367227,0.0484355677180064,8.408485440533433e-6,-0.03458999726513154,FALSE,TRUE,FALSE,TRUE
