row_id,ID,group,log_foretibia,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
200,QUAR,eighth,2.41787613732878,-0.09553242672156381,2.4867960842976835,-0.06891994696890347,0.016118228789667267,0.03368142804232231,0.008622618457566037,-2.05200009866241,FALSE,FALSE,FALSE,FALSE
39,DYFV,tenth,2.716084506130532,0.054461880224289994,2.6652143458579207,0.050870160272611376,0.028433586692724992,0.033786948629056235,0.008498273128259261,1.5241607000235753,FALSE,FALSE,FALSE,FALSE
289,XWCJ,eighth,2.5185831761473843,-0.15341021329953453,2.4502236957934356,0.06835948035394868,0.016134865679031427,0.033685242627933945,0.008491991119465645,2.03533015606709,FALSE,FALSE,FALSE,FALSE
275,WQOI,ninth,2.6588949703040647,-0.006688988150796549,2.596524427140791,0.06237054316327395,0.018808284828609387,0.03372354977931588,0.008285492205379155,1.859544131952379,FALSE,FALSE,FALSE,FALSE
260,VFCQ,eighth,2.435059677393419,-0.23133674627968404,2.4009827070230765,0.03407697037034252,0.05793470171792817,0.03385653039994657,0.0082644989401846,1.0368701531308195,FALSE,TRUE,FALSE,TRUE
49,EMMR,tenth,2.714496048585599,0.05984000035601711,2.667260194036098,0.04723585454950108,0.030912813561334494,0.03380452260337727,0.0080070805626421,1.417079615720027,FALSE,FALSE,FALSE,FALSE
146,MONY,eighth,2.560400565839533,-0.046334847594367456,2.5178835374241846,0.042517028415348435,0.03689991158467113,0.03382521588743932,0.007840181190205367,1.279472900450475,FALSE,FALSE,FALSE,FALSE
266,VNSP,eighth,2.54305762643003,-0.1190338175580361,2.4719457929012814,0.07111183352874884,0.01293567410959001,0.03366700041142052,0.007319808502498785,2.1138445586264494,FALSE,FALSE,FALSE,FALSE
51,EXFC,eighth,2.38144248307154,-0.19001776342842502,2.4270917547732154,-0.04564927170167543,0.029799955277609733,0.03381204068306855,0.0071924781399459,-1.3686963459387331,FALSE,FALSE,FALSE,FALSE
274,WNVZ,ninth,2.517494839381152,-0.02574524975185799,2.5858717342659685,-0.06837689488481669,0.013673468655392196,0.033685703481868064,0.007164301115272073,-2.0333068183029877,FALSE,FALSE,FALSE,FALSE
303,YYNS,female,2.558853894740083,0.007472014838700858,2.5083545481816607,0.05049934655842225,0.024485189894841844,0.03378934909440487,0.007153606910259489,1.5099853189876076,FALSE,FALSE,FALSE,FALSE
263,VHBT,tenth,2.7099816679519573,0.11914013906619814,2.6898180911775507,0.02016357677440661,0.12116240239909075,0.033893917560967886,0.006953501914636396,0.6352097549309133,FALSE,TRUE,FALSE,TRUE
105,JUYN,female,2.453372982116115,-0.01497264380205987,2.4932865954559444,-0.03991361333982946,0.03591970857212607,0.03383613059380026,0.006712221805840639,-1.2005170802188037,FALSE,FALSE,FALSE,FALSE
143,MJSX,eighth,2.4335694947894644,-0.08913484206783706,2.4908386533950644,-0.0572691586056,0.017739707351170874,0.0337540503374762,0.006574348052347743,-1.7065201013355331,FALSE,FALSE,FALSE,FALSE
155,NBFT,ninth,2.651761996755421,0.004434597067865864,2.6027426529125615,0.04901934384285944,0.02380961765069679,0.03379678061992768,0.006545399698602945,1.4652243627481083,FALSE,FALSE,FALSE,FALSE
52,FDUO,female,2.6508800224871742,0.13394797250973878,2.5932626673751518,0.057617355112022484,0.0173068320978763,0.033752138388928155,0.006486436286832731,1.7165175572200317,FALSE,FALSE,FALSE,FALSE
172,OQDA,ninth,2.524007163409915,-0.026743324975510907,2.5853137975076406,-0.06130663409772552,0.013524016313491517,0.033731090064760126,0.0056946286821708625,-1.8229221180852084,FALSE,FALSE,FALSE,FALSE
