row_id,ID,group,log_eye,logP_c,log_head_size_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
296,YNBA,ninth,1.151679009604802,0.0557762863020661,0.19707020802636022,1.0467781516209396,0.1049008579838624,0.03250533941119595,0.04628734518356861,0.02931480497031271,2.2880529236628435,TRUE,FALSE,FALSE,TRUE
22,CPWC,female,0.7790954926963102,-0.012860115729604882,-0.28826459332543,0.9045331523242158,-0.12543765962790565,0.01930932188011559,0.04612217706845143,0.024234283833245256,-2.717523026694553,TRUE,FALSE,FALSE,TRUE
291,YBYC,ninth,0.8765098618623104,-0.03980977550533571,0.18464602654616558,1.0295407179942506,-0.15303085613194023,0.012665162692701041,0.0458494860587054,0.023340558514331037,-3.3041373422002933,TRUE,FALSE,TRUE,TRUE
232,SNDZ,ninth,0.9364854391596744,0.03922071315328135,0.15095843362438366,1.0185100109175087,-0.08202457175783429,0.03682527825319896,0.04644200984026637,0.02048779431242508,-1.7930927203916907,TRUE,FALSE,FALSE,TRUE
115,KIIU,tenth,1.0655724345899094,0.051432173632270706,0.37562150173161646,1.1595756263828232,-0.09400319179291383,0.02646971677241691,0.0463683619783672,0.018932455314401752,-2.0439919497002648,TRUE,FALSE,FALSE,TRUE
143,MJSX,eighth,0.7774883289936962,-0.08913484206783706,-0.18126150425014176,0.8440733838564638,-0.06658505486276756,0.049760410164676146,0.046523547034010564,0.018743151329498796,-1.4654517217599714,TRUE,TRUE,FALSE,TRUE
32,DJFZ,tenth,1.2591709647906981,0.05970917023873734,0.38539624289234276,1.1660712431362001,0.09309972165449798,0.02669317610271586,0.046374408429402256,0.018735654000153368,2.0245793936142475,TRUE,FALSE,FALSE,TRUE
98,JOZD,eighth,1.024427390478733,0.007747686790825936,-0.006925086352536969,0.9545680954866894,0.06985929499204369,0.043051914016413145,0.04650829671691822,0.017600924588968458,1.5321148544392529,TRUE,TRUE,FALSE,TRUE
69,GWYL,eighth,1.003018735383979,-0.19574457712609528,-0.027346153854669097,0.9213387393257321,0.08167999605824694,0.0309036958653608,0.046445559367197055,0.016841444560541194,1.7800965286865489,TRUE,FALSE,FALSE,TRUE
99,JPJS,female,0.7740356842932838,-0.028885417904565225,-0.3548019675963956,0.8645736456854979,-0.09053796139221404,0.02520249585944983,0.04639188915958122,0.016678136927128488,-1.967364456722652,TRUE,FALSE,FALSE,TRUE
106,JXVQ,tenth,1.0492469591227807,0.04997993230502096,0.3201157941089985,1.1274993659077597,-0.07825240678497902,0.03142732715749931,0.04646533541868664,0.015736560220212772,-1.7058581385182663,TRUE,FALSE,FALSE,TRUE
234,SSQG,tenth,1.0732944806838198,0.06570971002803394,0.36517925227826353,1.1550774026392348,-0.08178292195541492,0.028257542461344296,0.046445609782413494,0.015354251690331886,-1.7799112484176258,TRUE,FALSE,FALSE,TRUE
174,OVOZ,female,0.8069221948187898,-0.04851936750482522,-0.31698935128692884,0.8842478295099891,-0.07732563469119935,0.02925816663519669,0.04647105505832815,0.014241573705327458,-1.683770647625425,TRUE,FALSE,FALSE,TRUE
