row_id,ID,group,log_foretibia,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
98,JOZD,Eighth instar,2.4807312783775197,0.007747686790825936,2.552057744417485,-0.07132646603996529,0.08179546743789555,0.033646597984216126,0.05381081882049218,-2.1982895257617106,TRUE,TRUE,FALSE,TRUE
296,YNBA,Ninth instar,2.557692319513648,0.0557762863020661,2.6314433109186437,-0.07375099140499586,0.06603834765886687,0.03363275463635459,0.04489434573693831,-2.2537577865107674,TRUE,TRUE,FALSE,TRUE
95,JHFO,Female,2.570625525190538,-0.03232233951774788,2.481639085060095,0.08898644013044299,0.04685735558837352,0.033511056488432826,0.04452741193713113,2.691837152012423,TRUE,FALSE,FALSE,TRUE
246,TYRB,Eighth instar,2.5224432533167263,0.03922071315328135,2.571945231752224,-0.04950197843549775,0.11855209351985291,0.03378127613488281,0.04076419330869273,-1.557141685657895,TRUE,TRUE,FALSE,TRUE
177,PAQJ,Ninth instar,2.4612967841488667,-0.13004541222858368,2.5275666154069403,-0.06626983125807362,0.06237378840106832,0.033688455962043694,0.03396973708140278,-2.0211795468505542,TRUE,TRUE,FALSE,TRUE
202,QYFB,Female,2.413723882228013,-0.010330958838365323,2.4964027350560185,-0.08267885282800558,0.033303783208772884,0.03357169339438518,0.026559520489684765,-2.4834380594108305,TRUE,FALSE,FALSE,TRUE
256,UYSP,Tenth instar,2.6347624053323777,0.09909090264423104,2.68219131959137,-0.047428914258992094,0.07774075093590646,0.033797869858753944,0.022415419513452765,-1.4585474862481727,TRUE,TRUE,FALSE,TRUE
174,OVOZ,Female,2.525128464236223,-0.04851936750482522,2.470765404336648,0.05436305989957502,0.05872006195121244,0.03376375943294597,0.0213537670241239,1.6548109738228536,TRUE,TRUE,FALSE,TRUE
309,ZIER,Tenth instar,2.6132265695807373,0.0786314559158019,2.6744085031442357,-0.061181933563498436,0.04702538558407367,0.033725340169874676,0.021131674393527224,-1.8509148166466909,TRUE,FALSE,FALSE,TRUE
23,CTFK,Tenth instar,2.684713335737772,-0.010892441166423739,2.6403534249267517,0.04435991081102042,0.07413271695223377,0.033813135230963715,0.018552890559752528,1.361507992725046,TRUE,TRUE,FALSE,TRUE
50,EWKB,Ninth instar,2.4790562361098245,-0.11840823105030185,2.5340719478596596,-0.055015711749835106,0.05050293939280326,0.03376142055702159,0.01848505261748526,-1.6674154583076866,TRUE,FALSE,FALSE,TRUE
114,KEMO,Tenth instar,2.599908042482507,-0.02988663375019951,2.6331279942294676,-0.033219951746960685,0.11369447225923145,0.03385592430428208,0.017413587061347855,-1.0421042526521924,TRUE,TRUE,FALSE,TRUE
88,ILNB,Tenth instar,2.7220517207380235,0.10360898261902007,2.6839100066899997,0.0381417140480238,0.08637476016321136,0.03383905307217754,0.016412279379392037,1.1784741517348079,TRUE,TRUE,FALSE,TRUE
25,CVLU,Eighth instar,2.3578778787427543,-0.20252426411147417,2.4191890233653215,-0.06131114462256715,0.036893305532174965,0.03372655394912582,0.01630029356955722,-1.845041432312058,TRUE,FALSE,FALSE,TRUE
286,XQHC,Ninth instar,2.619510383915468,-0.09065436826813089,2.549586710539658,0.06992367337580996,0.028718008991326812,0.033671361793550625,0.016226689955187605,2.0953446482543656,TRUE,FALSE,FALSE,TRUE
61,FYEF,Female,2.6840306952579898,0.12883287184296832,2.5898287058136154,0.09420198944437441,0.015710087945875268,0.03347630031858284,0.015688105827496697,2.8041578533527525,TRUE,FALSE,FALSE,TRUE
218,RTXD,Eighth instar,2.579951642918296,-0.03160533941533106,2.5271909648060955,0.05276067811220031,0.046839043762256775,0.03377443683570323,0.015646387498850316,1.5959936035327595,TRUE,FALSE,FALSE,TRUE
31,DFME,Eighth instar,2.488234439880675,-0.19473157687063614,2.424113143690484,0.06412129619019069,0.032328491756390104,0.03370968381183344,0.015475758149393887,1.9250508938593163,TRUE,FALSE,FALSE,TRUE
