contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference,area_ratio,area_percent_difference
eighth - female,-0.025603869720182,0.010199384426731111,307,-0.05015553117306363,-0.0010522082673003683,-2.5103348054102126,0.012575702973553394,Linearized ear size,0.9747211296964684,0.9510814901769664,0.9989483451097122,-2.5278870303531598,0.9500812806767596,-4.9918719323240435
ninth - female,-0.029487050812677038,0.009293832750602516,307,-0.05185889461674745,-0.007115207008606624,-3.1727546216888185,0.004988681169736623,Linearized ear size,0.9709434504884104,0.9494628317078377,0.9929100461474738,-2.9056549511589647,0.9427311840463402,-5.726881595365985
tenth - female,-0.029189762958191624,0.01051768006361437,307,-0.05450761640773984,-0.003871909508643412,-2.7753043239233737,0.01170656746596312,Linearized ear size,0.9712321430939092,0.9469512964631751,0.9961355766679287,-2.876785690609085,0.9432918757787876,-5.670812422121241
