contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference,area_ratio,area_percent_difference
eighth - tenth,-0.07084584548522384,0.01654877354329835,305,-0.11068301068825812,-0.03100868028218956,-4.281032990140458,4.9890521754631516e-5,Linearized ear size at common body size,0.9316054922516249,0.8952224799145743,0.9694671577909993,-6.839450774837507,0.8678887931933924,-13.211120680660759
"ninth - midpoint(eighth,tenth)",0.006977941907874333,0.010667468655995395,305,-0.018701405871899508,0.032657289687648174,0.6541328719023278,0.5135191156319477,Linearized ear size at common body size,1.0070023444713785,0.9814723803835561,1.0331963915016782,0.7002344471378485,1.0140537217708527,1.4053721770852734
tenth - female,0.07481439813291117,0.013323294823380662,305,0.042741791934085865,0.10688700433173648,5.615307559029735,1.3249916612903572e-7,Linearized ear size at common body size,1.0776841121380785,1.0436683764632568,1.1128085048342238,7.7684112138078465,1.1614030455548385,16.14030455548385
