row_id,ID,group,.rownames,log_hindleg,logP_c,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
276,WQRK,ninth,276,3.637362450494815,0.0030508968332563224,3.6743558698325303,-0.03699341933771505,0.023107033131288413,0.03626642858663484,0.00314851886648408,-1.0319283441075295,FALSE,FALSE,FALSE,FALSE
127,LHWT,tenth,127,3.763430185378233,0.06570971002803394,3.73361763730336,0.02981254807487277,0.034701616649051616,0.03628834143072645,0.0031450812643811464,0.8365980823508822,FALSE,FALSE,FALSE,FALSE
29,DESX,female,29,3.811650031281359,0.0915151088357733,3.751243006019211,0.06040702526214803,0.008874480736051526,0.03616215604612466,0.00313233109004422,1.672906535212007,FALSE,FALSE,FALSE,FALSE
27,CWPJ,ninth,27,3.7310765028137247,0.07141585960488883,3.713288537421191,0.01778796539253369,0.0851553891768013,0.03631456022452898,0.0030589836065376833,0.5127446838199748,FALSE,TRUE,FALSE,TRUE
153,NACP,ninth,153,3.6267912618005145,-0.12122645743414373,3.603582059296666,0.023209202503848392,0.05322938847367228,0.03630438791346631,0.003039411505493635,0.657637229356042,FALSE,TRUE,FALSE,TRUE
189,PZFT,ninth,189,3.7024864575201533,-0.03361423663276253,3.653475708482999,0.04901074903715408,0.012817917589911316,0.036219268824415854,0.0030020142846683487,1.3600073807733055,FALSE,FALSE,FALSE,FALSE
281,XKES,female,281,3.82508071696094,0.127977805523235,3.7807516339713922,0.04432908298954796,0.015458686173722478,0.036239253799539864,0.002977757406338351,1.2317436509818733,FALSE,FALSE,FALSE,FALSE
64,GLXO,female,64,3.831225012598572,0.14410034397375715,3.7937993246800388,0.03742568791853307,0.020947205640766537,0.0362650696470483,0.0029084431899831136,1.0428342675131559,FALSE,FALSE,FALSE,FALSE
39,DYFV,tenth,39,3.7623622308737397,0.054461880224289994,3.730551233784055,0.03181099708968471,0.02843358669272499,0.036282828892366704,0.0028963320633972945,0.8897942458159811,FALSE,FALSE,FALSE,FALSE
183,PTRO,female,183,3.656537031192682,0.024692612590371477,3.6971647189017465,-0.04062768770906455,0.017788491488676464,0.036253661204949876,0.002891881030233542,-1.1302334432116778,FALSE,FALSE,FALSE,FALSE
25,CVLU,eighth,25,3.452983054811386,-0.20252426411147417,3.479981976543451,-0.026998921732065195,0.03775499633831311,0.036295786382032236,0.0028242495661011937,-0.7588433716155095,FALSE,FALSE,FALSE,FALSE
144,MKMF,ninth,144,3.69508515883544,-0.043719707356326465,3.6477208171387048,0.04736434169673531,0.012803514232247406,0.03622661690207926,0.0028004777481895893,1.314311363076182,FALSE,FALSE,FALSE,FALSE
259,VECM,ninth,259,3.6197571099600463,-0.017654935238720748,3.662564255465713,-0.04280714550566689,0.015323844298508074,0.0362454187487168,0.0027518233624466513,-1.189373110342574,FALSE,FALSE,FALSE,FALSE
