row_id,ID,group,log_eye,logP_c,relative_head_size,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,high_cooks,high_leverage,large_residual,flagged
129,LJJN,Tenth instar,1.2658202076520162,0.08935815818032045,0.029912681220488443,1.2070322632813308,0.05878794437068535,0.08488576528921123,0.04632335401768708,0.013570143723132014,1.3249609172500494,TRUE,TRUE,FALSE,TRUE
237,SYKW,Tenth instar,1.2097063361736966,-0.017089644098738033,0.03382685795007638,1.1633764411247278,0.04632989504896878,0.11575256149226326,0.046371870015630125,0.012309184291670756,1.062250294213811,FALSE,TRUE,FALSE,TRUE
291,YBYC,Ninth instar,0.8765098618623104,-0.03980977550533571,-0.002124349674297428,1.0295989673761166,-0.15308910551380617,0.01268131576883559,0.04559953384450328,0.01181032443144843,-3.321758511492021,FALSE,FALSE,TRUE,TRUE
114,KEMO,Tenth instar,1.09376723700491,-0.02988663375019951,0.013097123993662741,1.1381125919843993,-0.044345354979489215,0.11819369384392957,0.0463789624329396,0.011578913995054235,-1.0181552017903641,FALSE,TRUE,FALSE,TRUE
74,HDZC,Tenth instar,1.1961926170069737,-0.025887770952127687,0.034839647695694996,1.1604189571126862,0.03577365989428749,0.1362189643710181,0.04640585334158261,0.009050668196652319,0.8298775004579511,FALSE,TRUE,FALSE,TRUE
86,IEPT,Tenth instar,1.1704677257685379,0.1439800866228811,-0.008161941672606194,1.1953827803627146,-0.024915054594176755,0.19499712531269361,0.04643136198697773,0.007235702202115421,-0.5987087101111144,FALSE,TRUE,FALSE,TRUE
221,SBJVC,Ninth instar,1.1259031489040134,-0.10274049412361563,0.18876744356050834,1.1005092438243411,0.02539390507967232,0.1700058005162877,0.04643115357753737,0.006164477339944681,0.6009584029735308,FALSE,TRUE,FALSE,TRUE
222,SCBI,Tenth instar,1.2284702759263235,0.10760798819830586,0.006465984753166055,1.1930138614080306,0.035456414518292956,0.09567212934608105,0.04640913645082403,0.0056970088288528,0.8038671971719038,FALSE,TRUE,FALSE,TRUE
256,UYSP,Tenth instar,1.2103027280208056,0.09909090264423104,-0.011072417794213243,1.172666845147329,0.037635882873476634,0.08095641323177187,0.046403710630462995,0.005259045268929767,0.8464211421275107,FALSE,TRUE,FALSE,TRUE
285,XQBJ,Tenth instar,1.1305953345211606,-0.00850831550168607,0.026286572015116607,1.1600747481186922,-0.02947941359753159,0.08812699777270874,0.046424832346944125,0.0035678089615839817,-0.6655858956464518,FALSE,TRUE,FALSE,TRUE
27,CWPJ,Ninth instar,1.1349442179155,0.07141585960488883,0.029357270852987456,1.111815158761598,0.023129059153901954,0.0883705650019199,0.04643797764344306,0.0022034872318052734,0.5222774151363915,FALSE,TRUE,FALSE,TRUE
109,KAIL,Ninth instar,1.0240683240475863,-0.14904798003102915,0.0689475719940301,1.006237295332659,0.017831028714927255,0.10296776991880253,0.04644631663729453,0.0015760197753297703,0.40590539582036256,FALSE,TRUE,FALSE,TRUE
246,TYRB,Eighth instar,0.9327544579048201,0.03922071315328135,-0.11206065288997202,0.9446969279648232,-0.011942470060003041,0.16966090180652446,0.04645287131887866,0.0013595111351303436,-0.28256532478864466,FALSE,TRUE,FALSE,TRUE
23,CTFK,Tenth instar,1.1916471546352991,-0.010892441166423739,0.04745723597969016,1.1790018585039104,0.012645296131388761,0.13320590166592924,0.04645241520355141,0.001098179254652333,0.29283533534852446,FALSE,TRUE,FALSE,TRUE
217,RSFE,Tenth instar,1.217431824010092,0.038686382389833573,0.04844498998423538,1.2019886103760562,0.01544321363403589,0.08819303863810747,0.04644964943264323,9.80003235099884e-4,0.3486893447295567,FALSE,TRUE,FALSE,TRUE
33,DNHH,Tenth instar,1.0775588794702773,0.01104983618658495,-0.05909499355630707,1.0881643914424555,-0.010605511972178183,0.13476274476102526,0.04645436990490799,7.843074760309376e-4,-0.2458195854527737,FALSE,TRUE,FALSE,TRUE
