ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye
ECHF,m,ninth,7.1,20.794,10.833,13.0075,13.3945,11.734,13.008500000000002,18.462,19.7935,3.205,2.9154999999999998
ECJN,m,tenth,7.26,24.824,12.285,13.27,13.561,12.263,13.2395,19.6975,20.965,3.3145,3.1125
ECOO,m,ninth,6.688,22.248,11.687,12.7035,13.524000000000001,11.57,13.66,18.4245,20.6055,2.8994999999999997,3.0345
EDIK,m,eighth,6.288,16.078,8.695,11.1845,11.684000000000001,10.407,11.844,15.8895,18.29,2.5695,2.5060000000000002
EFLR,m,ninth,6.666,20.882,10.93,12.113,13.035,11.526,12.727,17.642,19.3405,2.932,2.974
EJSA,m,ninth,6.864,20.491,10.505,12.2135,12.9985,11.3915,12.221,18.4905,19.589,3.122,2.708
EMIY,f,female,8.53,13.405,8.482,12.5555,13.234,12.441500000000001,13.324,20.9555,22.1635,3.464,2.7605
EMMR,m,tenth,7.644,24.245,12.084,14.203,15.097000000000001,12.8045,14.3555,20.174,21.9955,3.5374999999999996,2.995
EWKB,m,ninth,6.396,18.923,10.094,11.4345,11.93,10.519,11.265,17.259999999999998,17.958,2.3705,2.615
EXFC,m,eighth,5.954,13.333,7.562,10.0475,10.8205,9.568,10.663,14.934000000000001,16.3155,2.274,2.2184999999999997
FDUO,f,female,8.232,13.03,8.436,13.554,14.1665,12.871500000000001,13.7075,23.0285,24.1015,3.476,2.8865
FFVD,f,female,7.783,12.699,7.987,12.1475,12.9795,12.030000000000001,13.0875,21.218,22.4085,2.7755,2.6035
FHEO,f,female,8.121,13.173,8.244,12.6735,13.572500000000002,12.2235,13.327,21.112,22.329,3.391,2.5490000000000004
FJIV,m,ninth,6.812,18.828,10.451,12.422,12.9315,11.738,12.564499999999999,18.155,19.7375,2.733,2.5854999999999997
FKWM,m,eighth,6.233,15.281,8.863,11.676,12.3645,10.802,11.7315,16.44,18.037999999999997,3.0090000000000003,2.563
FLUS,f,female,8.197,13.187,8.502,12.881,13.6045,12.578,13.762,21.3905,23.402,3.4325,2.5835
FRAY,f,female,7.418,11.458,7.223,11.3995,12.282499999999999,11.064,12.373000000000001,18.603,19.688499999999998,2.6155,2.5965
FRKH,f,female,8.184,12.24,8.281,12.42,13.000499999999999,11.999,12.916,20.285,21.056,2.8419999999999996,2.6109999999999998
FXZS,m,ninth,7.374,23.797,11.911,13.1725,13.6975,12.147,13.8415,19.484,20.581,3.0229999999999997,2.911
FYEF,f,female,8.19,13.833,8.92,13.371500000000001,14.644,12.786000000000001,14.297999999999998,22.4085,25.573,4.3065,2.817
FZRV,f,female,7.8,11.517,7.77,12.046,12.500499999999999,11.6765,12.5355,20.491500000000002,21.238,3.1315,2.6695
GDWH,m,tenth,7.377,24.154,11.71,13.6745,14.156,12.286,13.5095,19.4105,20.3145,3.4939999999999998,3.1975
GLXO,f,female,8.316,13.411,8.499,13.432500000000001,14.0585,12.591999999999999,13.754,22.252499999999998,23.866500000000002,3.5875000000000004,2.825
GMLX,m,eighth,6.801,17.369,9.272,11.810500000000001,12.381499999999999,10.7,12.0725,16.842,18.4045,2.787,2.7595
GRAC,m,ninth,6.279,18.594,9.852,12.025500000000001,12.893,10.808,12.2975,17.000999999999998,18.7955,2.8285,2.7190000000000003
