"ID","trait","group","included"
"MONY","foreleg","eighth",TRUE
"MQFA","foreleg","female",TRUE
"MTZI","foreleg","female",TRUE
"MUVY","foreleg","tenth",TRUE
"MVOV","foreleg","eighth",TRUE
"MXAY","foreleg","female",TRUE
"MYTW","foreleg","female",TRUE
"NACP","foreleg","ninth",TRUE
"NAPZ","foreleg","ninth",TRUE
"NBFT","foreleg","ninth",TRUE
"NDWV","foreleg","ninth",TRUE
"NFQJ","foreleg","female",TRUE
"NFZB","foreleg","female",TRUE
"NLMH","foreleg","female",TRUE
"NMCP","foreleg","ninth",TRUE
"NRDG","foreleg","eighth",TRUE
"NRVV","foreleg","eighth",TRUE
"NSFR","foreleg","ninth",TRUE
"NUDB","foreleg","female",TRUE
"NVHP","foreleg","eighth",TRUE
"OCGB","foreleg","female",TRUE
"ODLJ","foreleg","eighth",TRUE
"OHRS","foreleg","female",TRUE
"OHZZ","foreleg","eighth",TRUE
"OLFY","foreleg","female",TRUE
"ONAU","foreleg","female",TRUE
"OQDA","foreleg","ninth",TRUE
"OTIL","foreleg","female",TRUE
"OVOZ","foreleg","female",TRUE
"OWAU","foreleg","ninth",TRUE
"OZHE","foreleg","female",TRUE
"PAQJ","foreleg","ninth",TRUE
"PBXK","foreleg","eighth",TRUE
"PFPR","foreleg","eighth",TRUE
"PIKP","foreleg","tenth",TRUE
"PMTK","foreleg","eighth",TRUE
"PQXQ","foreleg","female",TRUE
"PTRO","foreleg","female",TRUE
"PVUO","foreleg","ninth",TRUE
"PVXU","foreleg","female",TRUE
"PWML","foreleg","eighth",TRUE
"PXBQ","foreleg","eighth",TRUE
"PXBW","foreleg","eighth",TRUE
"PZFT","foreleg","ninth",TRUE
"PZMO","foreleg","eighth",TRUE
"PZWX","foreleg","eighth",TRUE
"QDVU","foreleg","female",TRUE
"QDXY","foreleg","ninth",TRUE
"QIIV","foreleg","eighth",TRUE
"QMKN","foreleg","female",TRUE
"QOGZ","foreleg","female",TRUE
"QQJU","foreleg","ninth",TRUE
"QRKY","foreleg","female",TRUE
"QSRM","foreleg","ninth",TRUE
"QUAR","foreleg","eighth",TRUE
"QXSG","foreleg","female",TRUE
"QYFB","foreleg","female",TRUE
"QZHA","foreleg","eighth",TRUE
"RBAX","foreleg","ninth",TRUE
"RBFY","foreleg","female",TRUE
"RCMK","foreleg","eighth",TRUE
"RDRL","foreleg","eighth",TRUE
"RIJE","foreleg","female",TRUE
"RIWP","foreleg","ninth",TRUE
"RJGO","foreleg","female",TRUE
"RJVU","foreleg","female",TRUE
"RMQE","foreleg","female",TRUE
"RNCJ","foreleg","female",TRUE
"RNFD","foreleg","female",TRUE
"RPNA","foreleg","eighth",TRUE
"RQME","foreleg","ninth",TRUE
"RSFE","foreleg","tenth",TRUE
"RTXD","foreleg","eighth",TRUE
"RWGW","foreleg","eighth",TRUE
"SBJV","foreleg","tenth",TRUE
"SBJVC","foreleg","ninth",TRUE
"SCBI","foreleg","tenth",TRUE
"SCXD","foreleg","ninth",TRUE
"SDBA","foreleg","ninth",TRUE
"SDVC","foreleg","ninth",TRUE
"SEVZ","foreleg","female",TRUE
"SFBL","foreleg","female",TRUE
"SGBK","foreleg","ninth",TRUE
"SMVB","foreleg","eighth",TRUE
"SMXT","foreleg","eighth",TRUE
"SNCY","foreleg","female",TRUE
"SNDZ","foreleg","ninth",TRUE
"SQCA","foreleg","tenth",TRUE
"SSQG","foreleg","tenth",TRUE
"SVLP","foreleg","ninth",TRUE
"SXDN","foreleg","female",TRUE
"SYKW","foreleg","tenth",TRUE
"TABC","foreleg","ninth",TRUE
"TART","foreleg","female",TRUE
"TKBC","foreleg","ninth",TRUE
"TKSH","foreleg","ninth",TRUE
"TRCQ","foreleg","female",TRUE
"TSNP","foreleg","tenth",TRUE
"TSPY","foreleg","female",TRUE
"TWQN","foreleg","eighth",TRUE
"TYRB","foreleg","eighth",TRUE
"UCYK","foreleg","female",TRUE
"UHRS","foreleg","ninth",TRUE
"UKOQ","foreleg","tenth",TRUE
"ULBD","foreleg","ninth",TRUE
"UMXA","foreleg","female",TRUE
"UNBX","foreleg","eighth",TRUE
"UPBJ","foreleg","female",TRUE
"UQVJ","foreleg","ninth",TRUE
"UWVR","foreleg","female",TRUE
"UYSP","foreleg","tenth",TRUE
"VDBS","foreleg","female",TRUE
"VDVI","foreleg","tenth",TRUE
"VECM","foreleg","ninth",TRUE
"VFCQ","foreleg","eighth",TRUE
"VFPH","foreleg","ninth",TRUE
"VGLK","foreleg","ninth",TRUE
"VHBT","foreleg","tenth",TRUE
"VJOC","foreleg","female",TRUE
"VJTT","foreleg","female",TRUE
"VNSP","foreleg","eighth",TRUE
"VNVH","foreleg","female",TRUE
"VUNA","foreleg","female",TRUE
"WDBI","foreleg","ninth",TRUE
"WHQS","foreleg","female",TRUE
"WHVM","foreleg","tenth",TRUE
"WJST","foreleg","female",TRUE
"WKXK","foreleg","ninth",TRUE
"WNVZ","foreleg","ninth",TRUE
"WQOI","foreleg","ninth",TRUE
"WQRK","foreleg","ninth",TRUE
"WSXA","foreleg","eighth",TRUE
"WWFJ","foreleg","eighth",TRUE
"WYMS","foreleg","eighth",TRUE
"XDBU","foreleg","female",TRUE
"XKES","foreleg","female",TRUE
"XMEN","foreleg","eighth",TRUE
"XNIH","foreleg","female",TRUE
"XOAF","foreleg","ninth",TRUE
"XQBJ","foreleg","tenth",TRUE
"XQHC","foreleg","ninth",TRUE
"XRPL","foreleg","eighth",TRUE
"XVQB","foreleg","ninth",TRUE
"XWCJ","foreleg","eighth",TRUE
"YAKT","foreleg","eighth",TRUE
"YBYC","foreleg","ninth",TRUE
"YCTD","foreleg","eighth",TRUE
"YFAT","foreleg","female",TRUE
"YGFO","foreleg","eighth",TRUE
"YMRF","foreleg","eighth",TRUE
"YNBA","foreleg","ninth",TRUE
"YNFN","foreleg","female",TRUE
"YNZS","foreleg","female",TRUE
"YRUA","foreleg","female",TRUE
"YRUH","foreleg","female",TRUE
"YSQQ","foreleg","eighth",TRUE
"YUWR","foreleg","eighth",TRUE
"YYNS","foreleg","female",TRUE
"YZUH","foreleg","eighth",TRUE
"ZAQJ","foreleg","eighth",TRUE
"ZAVH","foreleg","eighth",TRUE
"ZFKD","foreleg","eighth",TRUE
"ZFXN","foreleg","ninth",TRUE
"ZIER","foreleg","tenth",TRUE
"ZRDE","foreleg","ninth",TRUE
"ZSUF","foreleg","eighth",TRUE
"ZVNV","foreleg","ninth",TRUE
"ZWYP","foreleg","female",TRUE
"ACGN","midleg","female",TRUE
"ACIU","midleg","female",TRUE
"AGNG","midleg","female",TRUE
"AIZJ","midleg","female",TRUE
"AKPI","midleg","tenth",TRUE
"AQZC","midleg","eighth",TRUE
"ASOK","midleg","female",TRUE
"ATEZ","midleg","female",TRUE
"AZJJ","midleg","female",TRUE
"BBRM","midleg","ninth",TRUE
"BCSB","midleg","female",TRUE
"BLLA","midleg","ninth",TRUE
"BYLH","midleg","female",TRUE
"BZCS","midleg","ninth",TRUE
"CAPF","midleg","tenth",TRUE
"CAXC","midleg","eighth",TRUE
"CBMA","midleg","female",TRUE
"CBRE","midleg","eighth",TRUE
"CCQV","midleg","female",TRUE
"CGRD","midleg","eighth",TRUE
"CHCF","midleg","female",TRUE
"CPWC","midleg","female",TRUE
"CTFK","midleg","tenth",TRUE
"CVHB","midleg","female",TRUE
"CVLU","midleg","eighth",TRUE
"CVQJ","midleg","female",TRUE
"CWPJ","midleg","ninth",TRUE
"CWRT","midleg","eighth",TRUE
"DESX","midleg","female",TRUE
"DFDF","midleg","ninth",TRUE
"DFME","midleg","eighth",TRUE
"DJFZ","midleg","tenth",TRUE
"DNHH","midleg","tenth",TRUE
"DOCI","midleg","ninth",TRUE
"DQAS","midleg","eighth",TRUE
"DQAV","midleg","eighth",TRUE
"DSPJ","midleg","eighth",TRUE
"DUFU","midleg","ninth",TRUE
"DYFV","midleg","tenth",TRUE
"EAXA","midleg","ninth",TRUE
"EAXN","midleg","eighth",TRUE
"ECHF","midleg","ninth",TRUE
"ECJN","midleg","tenth",TRUE
"ECOO","midleg","ninth",TRUE
"EDIK","midleg","eighth",TRUE
"EFLR","midleg","ninth",TRUE
"EJSA","midleg","ninth",TRUE
"EMIY","midleg","female",TRUE
"EMMR","midleg","tenth",TRUE
"EWKB","midleg","ninth",TRUE
"EXFC","midleg","eighth",TRUE
"FDUO","midleg","female",TRUE
"FFVD","midleg","female",TRUE
"FHEO","midleg","female",TRUE
"FJIV","midleg","ninth",TRUE
"FKWM","midleg","eighth",TRUE
"FLUS","midleg","female",TRUE
"FRAY","midleg","female",TRUE
"FRKH","midleg","female",TRUE
"FXZS","midleg","ninth",TRUE
"FYEF","midleg","female",TRUE
"FZRV","midleg","female",TRUE
"GDWH","midleg","tenth",TRUE
"GLXO","midleg","female",TRUE
"GMLX","midleg","eighth",TRUE
"GRAC","midleg","ninth",TRUE
"GRRD","midleg","female",TRUE
"GVKA","midleg","eighth",TRUE
"GWYL","midleg","eighth",TRUE
"GXQD","midleg","ninth",TRUE
"GYFU","midleg","female",TRUE
"HDAF","midleg","tenth",TRUE
"HDAI","midleg","female",TRUE
"HDZC","midleg","tenth",TRUE
"HEDP","midleg","eighth",TRUE
"HIHW","midleg","eighth",TRUE
"HKWK","midleg","eighth",TRUE
"HNNH","midleg","female",TRUE
"HNUV","midleg","eighth",TRUE
"HOHH","midleg","ninth",TRUE
"HRBI","midleg","eighth",TRUE
"HTCT","midleg","ninth",TRUE
"HZFK","midleg","eighth",TRUE
"IEAL","midleg","female",TRUE
"IEJY","midleg","eighth",TRUE
"IEPT","midleg","tenth",TRUE
"IJNE","midleg","ninth",TRUE
"ILNB","midleg","tenth",TRUE
"INPV","midleg","female",TRUE
"IULK","midleg","ninth",TRUE
"IVIQ","midleg","female",TRUE
"IVMB","midleg","ninth",TRUE
"JDGM","midleg","female",TRUE
"JDYH","midleg","ninth",TRUE
"JHFO","midleg","female",TRUE
"JONV","midleg","ninth",TRUE
"JOYH","midleg","tenth",TRUE
"JOZD","midleg","eighth",TRUE
"JPJS","midleg","female",TRUE
"JPJT","midleg","female",TRUE
"JRYP","midleg","eighth",TRUE
"JUCL","midleg","ninth",TRUE
"JUGA","midleg","female",TRUE
"JUJH","midleg","ninth",TRUE
"JUYN","midleg","female",TRUE
"JXVQ","midleg","tenth",TRUE
"JZEI","midleg","ninth",TRUE
"JZJE","midleg","female",TRUE
"KAIL","midleg","ninth",TRUE
"KAOK","midleg","female",TRUE
"KDQD","midleg","female",TRUE
"KECL","midleg","female",TRUE
"KEHR","midleg","female",TRUE
"KEMO","midleg","tenth",TRUE
"KIIU","midleg","tenth",TRUE
"KORY","midleg","eighth",TRUE
"KPNC","midleg","female",TRUE
"KSLC","midleg","female",TRUE
"KTFS","midleg","ninth",TRUE
"KTNC","midleg","female",TRUE
"KVWU","midleg","female",TRUE
"KWNJ","midleg","female",TRUE
"KYRB","midleg","ninth",TRUE
"LAZJ","midleg","ninth",TRUE
"LEZS","midleg","eighth",TRUE
"LGMD","midleg","female",TRUE
"LHWT","midleg","tenth",TRUE
"LIHW","midleg","female",TRUE
"LJJN","midleg","tenth",TRUE
"LKHO","midleg","eighth",TRUE
"LLJC","midleg","tenth",TRUE
"LMMX","midleg","female",TRUE
"LNMX","midleg","female",TRUE
"LQLO","midleg","female",TRUE
"LRRL","midleg","tenth",TRUE
"LRSS","midleg","ninth",TRUE
"LTEN","midleg","female",TRUE
"LUXM","midleg","female",TRUE
"LYTH","midleg","female",TRUE
"MAKB","midleg","tenth",TRUE
"MEAE","midleg","female",TRUE
"MEMQ","midleg","eighth",TRUE
"MJSX","midleg","eighth",TRUE
"MKMF","midleg","ninth",TRUE
"MLES","midleg","female",TRUE
"MONY","midleg","eighth",TRUE
"MQFA","midleg","female",TRUE
"MTZI","midleg","female",TRUE
"MUVY","midleg","tenth",TRUE
"MVOV","midleg","eighth",TRUE
"MXAY","midleg","female",TRUE
"MYTW","midleg","female",TRUE
"NACP","midleg","ninth",TRUE
"NAPZ","midleg","ninth",TRUE
"NBFT","midleg","ninth",TRUE
"NDWV","midleg","ninth",TRUE
"NFQJ","midleg","female",TRUE
"NFZB","midleg","female",TRUE
"NLMH","midleg","female",TRUE
"NMCP","midleg","ninth",TRUE
"NRDG","midleg","eighth",TRUE
"NRVV","midleg","eighth",TRUE
"NSFR","midleg","ninth",TRUE
"NUDB","midleg","female",TRUE
"NVHP","midleg","eighth",TRUE
"OCGB","midleg","female",TRUE
"ODLJ","midleg","eighth",TRUE
"OHRS","midleg","female",TRUE
"OHZZ","midleg","eighth",TRUE
"OLFY","midleg","female",TRUE
"ONAU","midleg","female",TRUE
"OQDA","midleg","ninth",TRUE
"OTIL","midleg","female",TRUE
"OVOZ","midleg","female",TRUE
"OWAU","midleg","ninth",TRUE
"OZHE","midleg","female",TRUE
"PAQJ","midleg","ninth",TRUE
"PBXK","midleg","eighth",TRUE
"PFPR","midleg","eighth",TRUE
"PIKP","midleg","tenth",TRUE
"PMTK","midleg","eighth",TRUE
"PQXQ","midleg","female",TRUE
"PTRO","midleg","female",TRUE
"PVUO","midleg","ninth",TRUE
"PVXU","midleg","female",TRUE
"PWML","midleg","eighth",TRUE
"PXBQ","midleg","eighth",TRUE
"PXBW","midleg","eighth",TRUE
"PZFT","midleg","ninth",TRUE
"PZMO","midleg","eighth",TRUE
"PZWX","midleg","eighth",TRUE
"QDVU","midleg","female",TRUE
"QDXY","midleg","ninth",TRUE
"QIIV","midleg","eighth",TRUE
"QMKN","midleg","female",TRUE
"QOGZ","midleg","female",TRUE
"QQJU","midleg","ninth",TRUE
"QRKY","midleg","female",TRUE
"QSRM","midleg","ninth",TRUE
"QUAR","midleg","eighth",FALSE
"QXSG","midleg","female",TRUE
"QYFB","midleg","female",TRUE
"QZHA","midleg","eighth",TRUE
"RBAX","midleg","ninth",TRUE
"RBFY","midleg","female",TRUE
"RCMK","midleg","eighth",TRUE
"RDRL","midleg","eighth",TRUE
"RIJE","midleg","female",TRUE
"RIWP","midleg","ninth",TRUE
"RJGO","midleg","female",TRUE
"RJVU","midleg","female",TRUE
"RMQE","midleg","female",TRUE
"RNCJ","midleg","female",TRUE
"RNFD","midleg","female",TRUE
"RPNA","midleg","eighth",TRUE
"RQME","midleg","ninth",TRUE
"RSFE","midleg","tenth",TRUE
"RTXD","midleg","eighth",TRUE
"RWGW","midleg","eighth",TRUE
"SBJV","midleg","tenth",TRUE
"SBJVC","midleg","ninth",TRUE
"SCBI","midleg","tenth",TRUE
"SCXD","midleg","ninth",TRUE
"SDBA","midleg","ninth",TRUE
"SDVC","midleg","ninth",TRUE
"SEVZ","midleg","female",TRUE
"SFBL","midleg","female",TRUE
"SGBK","midleg","ninth",TRUE
"SMVB","midleg","eighth",TRUE
"SMXT","midleg","eighth",TRUE
"SNCY","midleg","female",TRUE
"SNDZ","midleg","ninth",TRUE
"SQCA","midleg","tenth",TRUE
"SSQG","midleg","tenth",TRUE
"SVLP","midleg","ninth",TRUE
"SXDN","midleg","female",TRUE
"SYKW","midleg","tenth",TRUE
"TABC","midleg","ninth",TRUE
"TART","midleg","female",TRUE
"TKBC","midleg","ninth",TRUE
"TKSH","midleg","ninth",TRUE
"TRCQ","midleg","female",TRUE
"TSNP","midleg","tenth",TRUE
"TSPY","midleg","female",TRUE
"TWQN","midleg","eighth",TRUE
"TYRB","midleg","eighth",TRUE
"UCYK","midleg","female",TRUE
"UHRS","midleg","ninth",TRUE
"UKOQ","midleg","tenth",TRUE
"ULBD","midleg","ninth",TRUE
"UMXA","midleg","female",TRUE
"UNBX","midleg","eighth",TRUE
"UPBJ","midleg","female",TRUE
"UQVJ","midleg","ninth",TRUE
"UWVR","midleg","female",TRUE
"UYSP","midleg","tenth",TRUE
"VDBS","midleg","female",TRUE
"VDVI","midleg","tenth",TRUE
"VECM","midleg","ninth",TRUE
"VFCQ","midleg","eighth",TRUE
"VFPH","midleg","ninth",TRUE
"VGLK","midleg","ninth",TRUE
"VHBT","midleg","tenth",TRUE
"VJOC","midleg","female",TRUE
"VJTT","midleg","female",TRUE
"VNSP","midleg","eighth",TRUE
"VNVH","midleg","female",TRUE
"VUNA","midleg","female",TRUE
"WDBI","midleg","ninth",TRUE
"WHQS","midleg","female",TRUE
"WHVM","midleg","tenth",TRUE
"WJST","midleg","female",TRUE
"WKXK","midleg","ninth",TRUE
"WNVZ","midleg","ninth",TRUE
"WQOI","midleg","ninth",TRUE
"WQRK","midleg","ninth",TRUE
"WSXA","midleg","eighth",TRUE
"WWFJ","midleg","eighth",TRUE
"WYMS","midleg","eighth",TRUE
"XDBU","midleg","female",TRUE
"XKES","midleg","female",TRUE
"XMEN","midleg","eighth",TRUE
"XNIH","midleg","female",TRUE
"XOAF","midleg","ninth",TRUE
"XQBJ","midleg","tenth",TRUE
"XQHC","midleg","ninth",TRUE
"XRPL","midleg","eighth",TRUE
"XVQB","midleg","ninth",TRUE
"XWCJ","midleg","eighth",TRUE
"YAKT","midleg","eighth",TRUE
"YBYC","midleg","ninth",TRUE
"YCTD","midleg","eighth",TRUE
"YFAT","midleg","female",TRUE
"YGFO","midleg","eighth",TRUE
"YMRF","midleg","eighth",TRUE
"YNBA","midleg","ninth",TRUE
"YNFN","midleg","female",TRUE
"YNZS","midleg","female",TRUE
"YRUA","midleg","female",TRUE
"YRUH","midleg","female",TRUE
"YSQQ","midleg","eighth",TRUE
"YUWR","midleg","eighth",TRUE
"YYNS","midleg","female",TRUE
"YZUH","midleg","eighth",TRUE
"ZAQJ","midleg","eighth",TRUE
"ZAVH","midleg","eighth",TRUE
"ZFKD","midleg","eighth",TRUE
"ZFXN","midleg","ninth",TRUE
"ZIER","midleg","tenth",TRUE
"ZRDE","midleg","ninth",TRUE
"ZSUF","midleg","eighth",TRUE
"ZVNV","midleg","ninth",TRUE
"ZWYP","midleg","female",TRUE
"ACGN","hindleg","female",TRUE
"ACIU","hindleg","female",TRUE
"AGNG","hindleg","female",TRUE
"AIZJ","hindleg","female",TRUE
"AKPI","hindleg","tenth",TRUE
"AQZC","hindleg","eighth",TRUE
"ASOK","hindleg","female",TRUE
"ATEZ","hindleg","female",TRUE
"AZJJ","hindleg","female",TRUE
"BBRM","hindleg","ninth",TRUE
"BCSB","hindleg","female",TRUE
"BLLA","hindleg","ninth",TRUE
"BYLH","hindleg","female",TRUE
"BZCS","hindleg","ninth",TRUE
"CAPF","hindleg","tenth",TRUE
"CAXC","hindleg","eighth",TRUE
"CBMA","hindleg","female",TRUE
"CBRE","hindleg","eighth",TRUE
"CCQV","hindleg","female",TRUE
"CGRD","hindleg","eighth",TRUE
"CHCF","hindleg","female",TRUE
"CPWC","hindleg","female",TRUE
"CTFK","hindleg","tenth",TRUE
"CVHB","hindleg","female",TRUE
"CVLU","hindleg","eighth",TRUE
"CVQJ","hindleg","female",TRUE
"CWPJ","hindleg","ninth",TRUE
"CWRT","hindleg","eighth",TRUE
"DESX","hindleg","female",TRUE
"DFDF","hindleg","ninth",TRUE
"DFME","hindleg","eighth",TRUE
"DJFZ","hindleg","tenth",TRUE
"DNHH","hindleg","tenth",TRUE
"DOCI","hindleg","ninth",TRUE
"DQAS","hindleg","eighth",TRUE
"DQAV","hindleg","eighth",TRUE
"DSPJ","hindleg","eighth",TRUE
"DUFU","hindleg","ninth",TRUE
"DYFV","hindleg","tenth",TRUE
"EAXA","hindleg","ninth",TRUE
"EAXN","hindleg","eighth",TRUE
"ECHF","hindleg","ninth",TRUE
"ECJN","hindleg","tenth",TRUE
"ECOO","hindleg","ninth",TRUE
"EDIK","hindleg","eighth",TRUE
"EFLR","hindleg","ninth",TRUE
"EJSA","hindleg","ninth",TRUE
"EMIY","hindleg","female",TRUE
"EMMR","hindleg","tenth",TRUE
"EWKB","hindleg","ninth",TRUE
"EXFC","hindleg","eighth",TRUE
"FDUO","hindleg","female",TRUE
"FFVD","hindleg","female",TRUE
"FHEO","hindleg","female",TRUE
"FJIV","hindleg","ninth",TRUE
"FKWM","hindleg","eighth",TRUE
"FLUS","hindleg","female",TRUE
"FRAY","hindleg","female",TRUE
"FRKH","hindleg","female",TRUE
"FXZS","hindleg","ninth",TRUE
"FYEF","hindleg","female",TRUE
"FZRV","hindleg","female",TRUE
"GDWH","hindleg","tenth",TRUE
"GLXO","hindleg","female",TRUE
"GMLX","hindleg","eighth",TRUE
"GRAC","hindleg","ninth",TRUE
"GRRD","hindleg","female",TRUE
"GVKA","hindleg","eighth",TRUE
"GWYL","hindleg","eighth",TRUE
"GXQD","hindleg","ninth",TRUE
"GYFU","hindleg","female",TRUE
"HDAF","hindleg","tenth",TRUE
"HDAI","hindleg","female",TRUE
"HDZC","hindleg","tenth",TRUE
"HEDP","hindleg","eighth",TRUE
"HIHW","hindleg","eighth",TRUE
"HKWK","hindleg","eighth",TRUE
"HNNH","hindleg","female",TRUE
"HNUV","hindleg","eighth",TRUE
"HOHH","hindleg","ninth",TRUE
"HRBI","hindleg","eighth",TRUE
"HTCT","hindleg","ninth",TRUE
"HZFK","hindleg","eighth",TRUE
"IEAL","hindleg","female",TRUE
"IEJY","hindleg","eighth",TRUE
"IEPT","hindleg","tenth",TRUE
"IJNE","hindleg","ninth",TRUE
"ILNB","hindleg","tenth",TRUE
"INPV","hindleg","female",TRUE
"IULK","hindleg","ninth",TRUE
"IVIQ","hindleg","female",TRUE
"IVMB","hindleg","ninth",TRUE
"JDGM","hindleg","female",TRUE
"JDYH","hindleg","ninth",TRUE
"JHFO","hindleg","female",TRUE
"JONV","hindleg","ninth",TRUE
"JOYH","hindleg","tenth",TRUE
"JOZD","hindleg","eighth",TRUE
"JPJS","hindleg","female",TRUE
"JPJT","hindleg","female",TRUE
"JRYP","hindleg","eighth",TRUE
"JUCL","hindleg","ninth",TRUE
"JUGA","hindleg","female",TRUE
"JUJH","hindleg","ninth",TRUE
"JUYN","hindleg","female",TRUE
"JXVQ","hindleg","tenth",TRUE
"JZEI","hindleg","ninth",TRUE
"JZJE","hindleg","female",TRUE
"KAIL","hindleg","ninth",TRUE
"KAOK","hindleg","female",TRUE
"KDQD","hindleg","female",TRUE
"KECL","hindleg","female",TRUE
"KEHR","hindleg","female",TRUE
