"trait","model","contrast","n","estimate_log","SE","df","lower_95_log","upper_95_log","p_value","percent","lower_95_percent","upper_95_percent","units","df_method","p_holm","holm_family","direction","holm_below_05"
"midleg","M1_group_variance","matched_sex",312,0.101467671377132,0.00538062830705419,75.0820487605791,0.0907491021247245,0.112186240629539,3.33338694504412e-30,10.6794136683315,9.49942390627596,11.8721192583693,"percent length","Satterthwaite (emmeans)",1.00001608351324e-29,"Five traits: M1_group_variance matched_sex","positive",TRUE
"midleg","M1_group_variance","step_minus_sex",312,-0.0605398143392834,0.00589773396747305,282.138282713167,-0.0721489595439233,-0.0489306691346435,3.26062825414743e-21,-5.87437072250286,-6.96077053234037,-4.77528524712869,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",9.7818847624423e-21,"Five traits: M1_group_variance step_minus_sex","negative",TRUE
"midleg","M2_group_slopes","average_male_step",312,0.0451502364268278,0.00577179548640931,105.150227204213,0.0337060227581983,0.0565944500954572,4.24442358482842e-12,4.61850232022821,3.42805071003965,5.82265596798271,"percent length","Satterthwaite (emmeans)",1.27332707544853e-11,"Five traits: M2_group_slopes average_male_step","positive",TRUE
"midleg","M2_group_slopes","matched_sex",312,0.115982382000699,0.00779113057000855,121.142697865531,0.100557967533955,0.131406796467443,3.92051308368646e-29,12.2976087367049,10.5787739634605,14.043161051407,"percent length","Satterthwaite (emmeans)",1.17615392510594e-28,"Five traits: M2_group_slopes matched_sex","positive",TRUE
"midleg","M2_group_slopes","step_minus_sex",312,-0.0708321455738711,0.00647847777379819,242.347775544546,-0.0835934571040239,-0.0580708340437183,7.00820013755532e-23,-6.83817447482898,-8.01948796685961,-5.64168927375252,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",2.1024600412666e-22,"Five traits: M2_group_slopes step_minus_sex","negative",TRUE
"midleg","M3_free_groups","average_male_step",312,0.0462317305700396,0.00615858439451149,109.680884615748,0.0340264669253465,0.0584369942147327,1.71135347435919e-11,4.73170782226881,3.46119893640343,6.01781862310964,"percent length","Welch-Satterthwaite (independent group regressions)",5.13406042307758e-11,"Five traits: M3_free_groups average_male_step","positive",TRUE
"midleg","M3_free_groups","matched_sex",312,0.114680025754877,0.00820456455379417,84.8103567624258,0.0983666267528623,0.130993424756892,1.01057959176586e-23,12.1514524390177,10.3367234909468,13.9960285771336,"percent length","Welch-Satterthwaite (independent group regressions)",3.03173877529759e-23,"Five traits: M3_free_groups matched_sex","positive",TRUE
"midleg","M3_free_groups","step_minus_sex",312,-0.0684482951848377,0.00798920074351557,215.572134274156,-0.08419524563038,-0.0527013447392953,2.03563965222143e-15,-6.61582570300052,-8.07482413164499,-5.1336706538255,"percent ratio of multiplicative effects (not percentage points)","Welch-Satterthwaite (independent group regressions)",6.10691895666429e-15,"Five traits: M3_free_groups step_minus_sex","negative",TRUE
"midleg","M3_free_groups","ninth_minus_eighth",312,0.0503802707559511,0.011763494438552,111.042190949387,0.0270702188253471,0.0736903226865551,3.93922556218491e-05,5.16709400501623,2.74399458566709,7.64733944851722,"percent length","Welch-Satterthwaite (independent group regressions)",0.000118176766865547,"Five traits: M3_free_groups ninth_minus_eighth","positive",TRUE
"midleg","M3_free_groups","tenth_minus_ninth",312,0.0420831903841281,0.00833658082858758,83.4376307050594,0.02550335247766,0.0586630282905962,2.57801914631524e-06,4.29812411519043,2.5831345341348,6.04178497127081,"percent length","Welch-Satterthwaite (independent group regressions)",7.73405743894573e-06,"Five traits: M3_free_groups tenth_minus_ninth","positive",TRUE
