component,observed_eigenvalue,parallel_95_eigenvalue,variance_percent,cumulative_percent,retained,df,residual_df,F,p_value,p_BH,p_Holm,trait_set,size_adjustment
PC1,3.432546875281781,1.2383705922090706,68.65093750563558,68.65093750563558,TRUE,3,307,189.6550317047371,1.437607790444524e-69,7.18803895222262e-69,7.18803895222262e-69,five_non_head_traits,group_specific_at_7.2_mm
PC2,0.8152027719705802,1.120482245133101,16.304055439411595,84.95499294504718,FALSE,3,307,159.55987240786735,2.485562834581214e-62,6.213907086453034e-62,9.942251338324855e-62,five_non_head_traits,group_specific_at_7.2_mm
PC3,0.508471907527706,1.0371402763618063,10.169438150554114,95.1244310956013,FALSE,3,307,2.9348040402930637,0.033639226145318425,0.04204903268164803,0.06727845229063685,five_non_head_traits,group_specific_at_7.2_mm
PC4,0.19955850476568174,0.9738011157542412,3.9911700953136324,99.11560119091493,FALSE,3,307,4.377867783993104,0.004900506458108002,0.008167510763513337,0.014701519374324006,five_non_head_traits,group_specific_at_7.2_mm
PC5,0.044219940454254134,0.905832246403774,0.8843988090850822,100.00000000000001,FALSE,3,307,1.4488554482081397,0.22862301612053354,0.22862301612053354,0.22862301612053354,five_non_head_traits,group_specific_at_7.2_mm
