"rel.head10" "rel.ear10" "rel.pro10"
"1" -0.0825170754822891 0.0155096391003061 -0.042878260341315
"2" -0.127587842835526 -0.0254236465021568 0.0327034381575576
"3" -0.162696709184096 0.0255858754865275 -0.0369620018511837
"4" 0.486803077533717 0.00148447822138784 -0.0470030748356619
"5" 0.103931388329731 0.00613333294366417 -0.00511064977461726
"6" -0.76027933393554 -0.0140688796753386 -0.0665082996333752
"7" 0.0158712292119013 -0.111191385136291 0.00149111437578270
"8" -0.114233958908673 -0.0156800392678289 0.0687566433323949
"9" 0.376208392853240 0.0374963521910599 -0.0090689641373954
"10" 0.289743467552046 0.0221663567661693 -0.000308721483334129
"11" -0.158782208926207 0.052801437906362 -0.00774625426162302
"12" -0.305510016895156 -0.0217212889506275 0.0536653008134642
"13" -0.00445174321659569 0.049000334990101 -0.0106057710538638
"14" -0.100780566730769 0.00184666723326050 0.0379349424392354
"15" 0.115131031797708 -0.0191288313714162 0.0490990043838659
"16" -0.0297716565282973 -0.0245184483414882 0.0456125226337459
"17" -0.809542585758077 0.0113658722368993 -0.0495273137197392
"18" 0.177422964031055 -0.0112418206141131 0.0439607565499848
"19" -0.263614933464108 0.0290511265936749 -0.0174499974226117
"20" 0.354712362035569 0.00199125252746042 -0.0460081787751319
"21" 0.0629892286857918 0.0116744987908419 0.0159039042405012
"22" 0.936955489834535 -0.0231328851284541 -0.00995013963668042
