 ,Label,Area,Length
1,ACGN-1st leg-right.jpg:1583-2444,0.072,13.714
2,ACGN-1st leg-right.jpg:2037-2591,0.075,14.2
3,ACGN-1st leg-right.jpg:2017-2056,3.621,0
4,ACIU-1st leg-right.jpg:1745-1940,0.064,12.151
5,ACIU-1st leg-right.jpg:1322-2139,0.066,12.527
6,ACIU-1st leg-right.jpg:1230-1647,3.045,0
7,AGNG-1st leg-right.jpg:1286-1851,0.064,12.167
8,AGNG-1st leg-right.jpg:0902-2063,0.066,12.591
9,AGNG-1st leg-right.jpg:0825-1573,2.934,0
10,AIZJ-1st leg-right.jpg:1380-2004,0.065,12.406
11,AIZJ-1st leg-right.jpg:1074-2364,0.069,13.051
12,AIZJ-1st leg-right.jpg:0831-1981,3.583,0
13,AKPI-1st leg-right.jpg:1715-2136,0.068,12.877
14,AKPI-1st leg-right.jpg:1194-2462,0.073,13.876
15,AKPI-1st leg-right.jpg:1131-1894,3.064,0
16,AQZC-1st leg-right.jpg:1422-2280,0.063,12.001
17,AQZC-1st leg-right.jpg:1155-2642,0.066,12.468
18,AQZC-1st leg-right.jpg:0849-2244,2.648,0
19,ASOK-1st leg-right.jpg:1388-1878,0.065,12.3
20,ASOK-1st leg-right.jpg:0951-2106,0.069,13.144
21,ASOK-1st leg-right.jpg:0891-1564,3.162,0
22,ATEZ-1st leg-right.jpg:1893-2997,0.063,12.019
23,ATEZ-1st leg-right.jpg:2256-2682,0.067,12.731
24,ATEZ-1st leg-right.jpg:2389-3217,3.063,0
25,AZJJ-1st leg-right.jpg:1404-2291,0.058,11.016
26,AZJJ-1st leg-right.jpg:1193-2727,0.065,12.292
27,AZJJ-1st leg-right.jpg:0894-2326,2.698,0
28,BBRM-1st leg-right.jpg:2300-1824,0.065,12.289
29,BBRM-1st leg-right.jpg:1418-2165,0.067,12.735
30,BBRM-1st leg-right.jpg:1402-1680,3.125,0
31,BCSB-1st leg-right.jpg:1470-1532,0.064,12.04
32,BCSB-1st leg-right.jpg:0716-2195,0.067,12.778
33,BCSB-1st leg-right.jpg:0564-1696,3.187,0
34,BLLA-1st leg-right.jpg:1551-2069,0.068,12.899
35,BLLA-1st leg-right.jpg:1023-2408,0.069,13.126
36,BLLA-1st leg-right.jpg:0930-1884,3.262,0
37,BYLH-1st leg-right.jpg:1799-3572,0.068,12.821
38,BYLH-1st leg-right.jpg:2357-3129,0.069,13.09
39,BYLH-1st leg-right.jpg:2530-3619,3.411,0
40,BZCS-1st leg-right.jpg:1362-1734,0.063,11.925
41,BZCS-1st leg-right.jpg:0711-2186,0.067,12.634
42,BZCS-1st leg-right.jpg:0603-1714,2.847,0
43,CAPF-1st leg-right.jpg:1359-3540,0.074,13.955
44,CAPF-1st leg-right.jpg:1914-3237,0.077,14.595
45,CAPF-1st leg-right.jpg:2043-3814,3.584,0
46,CAXC-1st leg-right.jpg:1638-1655,0.062,11.743
47,CAXC-1st leg-right.jpg:1301-1914,0.065,12.248
48,CAXC-1st leg-right.jpg:1171-1431,2.774,0
49,CBMA-1st leg-right.jpg:1020-1763,0.063,11.853
50,CBMA-1st leg-right.jpg:1749-3416,0.067,12.761
51,CBMA-1st leg-right.jpg:1282-3315,3.475,0
52,CBRE-1st leg-right.jpg:1356-1710,0.059,11.205
53,CBRE-1st leg-right.jpg:1049-2504,0.061,11.574
54,CBRE-1st leg-right.jpg:0732-2194,2.612,0
55,CCQV-1st leg-right.jpg:2025-2199,0.067,12.613
56,CCQV-1st leg-right.jpg:2511-1929,0.071,13.44
57,CCQV-1st leg-right.jpg:2581-2445,3.266,0
58,CGRD-1st leg-right.jpg:1932-3180,0.06,11.439
59,CGRD-1st leg-right.jpg:2426-2964,0.062,11.742
60,CGRD-1st leg-right.jpg:2436-3462,2.47,0
61,CHCF-1st leg-right.jpg:1788-2765,0.063,12.001
62,CHCF-1st leg-right.jpg:2000-2618,0.066,12.543
63,CHCF-1st leg-right.jpg:2236-3021,2.854,0
64,CPWC-1st leg-right.jpg:1578-3194,0.058,10.916
65,CPWC-1st leg-right.jpg:2435-2834,0.066,12.455
66,CPWC-1st leg-right.jpg:2412-3348,2.857,0
67,CTFK-1st leg-right.jpg:1349-1733,0.076,14.315
68,CTFK-1st leg-right.jpg:0866-2112,0.078,14.758
69,CTFK-1st leg-right.jpg:0664-1542,3.67,0
70,CVHB-1st leg-right.jpg:1985-1607,0.061,11.469
71,CVHB-1st leg-right.jpg:1577-1776,0.065,12.386
72,CVHB-1st leg-right.jpg:1530-1291,2.815,0
73,CVLU-1st leg-right.jpg:1029-2715,0.05,9.415
74,CVLU-1st leg-right.jpg:1251-2337,0.057,10.876
75,CVLU-1st leg-right.jpg:0844-2316,2.568,0
76,CVQJ-1st leg-right.jpg:1665-1397,0.06,11.293
77,CVQJ-1st leg-right.jpg:1259-1571,0.063,11.852
78,CVQJ-1st leg-right.jpg:1225-1117,2.953,0
79,CWPJ-1st leg-right.jpg:1802-1773,0.073,13.8
80,CWPJ-1st leg-right.jpg:1032-2145,0.073,13.921
81,CWPJ-1st leg-right.jpg:0946-1596,3.482,0
82,CWRT-1st leg-right.jpg:1199-2753,0.054,10.158
83,CWRT-1st leg-right.jpg:2156-2984,0.059,11.26
84,CWRT-1st leg-right.jpg:1948-3319,2.386,0
85,DESX-1st leg-right.jpg:1599-1923,0.068,12.883
86,DESX-1st leg-right.jpg:1242-2238,0.072,13.698
87,DESX-1st leg-right.jpg:1045-1732,3.539,0
88,DFDF-1st leg-right.jpg:1635-1443,0.067,12.782
89,DFDF-1st leg-right.jpg:0762-2195,0.07,13.22
90,DFDF-1st leg-right.jpg:0582-1674,2.851,0
91,DFME-1st leg-right.jpg:1808-1874,0.058,10.965
92,DFME-1st leg-right.jpg:1172-2162,0.063,11.946
93,DFME-1st leg-right.jpg:1095-1695,2.689,0
94,DJFZ-1st leg-right.jpg:1820-2016,0.078,14.841
95,DJFZ-1st leg-right.jpg:0879-2696,0.079,14.998
96,DJFZ-1st leg-right.jpg:0730-2133,3.898,0
97,DNHH-1st leg-right.jpg:1571-2541,0.071,13.399
98,DNHH-1st leg-right.jpg:0278-2775,,
99,DNHH-1st leg-right.jpg:0317-2798,,
100,DOCI-1st leg-right.jpg:1376-1637,0.065,12.329
101,DOCI-1st leg-right.jpg:1029-1943,0.069,13.026
102,DOCI-1st leg-right.jpg:0814-1474,3.228,0
103,DQAS-1st leg-right.jpg:1383-1811,0.059,11.138
104,DQAS-1st leg-right.jpg:0972-2220,0.062,11.815
105,DQAS-1st leg-right.jpg:0744-1785,2.597,0
106,DQAV-1st leg-right.jpg:2001-2159,0.06,11.297
107,DQAV-1st leg-right.jpg:1626-2324,0.064,12.14
108,DQAV-1st leg-right.jpg:1578-1845,2.803,0
109,DSPJ-1st leg-right.jpg:1691-1662,0.061,11.523
110,DSPJ-1st leg-right.jpg:0801-2112,0.064,12.122
111,DSPJ-1st leg-right.jpg:0766-1627,2.831,0
112,DUFU-1st leg-right.jpg:2034-1601,0.067,12.757
113,DUFU-1st leg-right.jpg:1466-1887,0.071,13.423
114,DUFU-1st leg-right.jpg:1396-1335,3.253,0
115,DYFV-1st leg-right.jpg:2019-1604,0.074,13.975
116,DYFV-1st leg-right.jpg:1373-2190,0.079,15.006
117,DYFV-1st leg-right.jpg:1171-1662,4.26,0
118,EAXA-1st leg-right.jpg:1527-1886,0.071,13.433
119,EAXA-1st leg-right.jpg:1161-2160,0.073,13.84
120,EAXA-1st leg-right.jpg:0951-1612,3.223,0
121,EAXN-1st leg-right.jpg:1715-1686,0.059,11.179
122,EAXN-1st leg-right.jpg:1136-2181,0.062,11.806
123,EAXN-1st leg-right.jpg:0985-1716,2.75,0
124,ECHF-1st leg-right.jpg:2163-1491,0.069,13.009
125,ECHF-1st leg-right.jpg:0998-2049,0.071,13.436
126,ECHF-1st leg-right.jpg:1018-1513,3.421,0
127,ECJN-1st leg-right.jpg:1821-2256,0.071,13.438
128,ECJN-1st leg-right.jpg:1341-2591,0.072,13.561
129,ECJN-1st leg-right.jpg:1168-2085,3.353,0
130,ECOO-1st leg-right.jpg:1565-2589,0.067,12.685
131,ECOO-1st leg-right.jpg:2141-2204,0.07,13.359
132,ECOO-1st leg-right.jpg:2203-2730,2.828,0
133,EDIK-1st leg-right.jpg:1565-1976,0.059,11.17
134,EDIK-1st leg-right.jpg:1310-2198,0.062,11.779
135,EDIK-1st leg-right.jpg:1105-1753,2.64,0
136,EFLR-1st leg-right.jpg:1508-2298,0.063,12.03
137,EFLR-1st leg-right.jpg:1197-2697,0.07,13.216
138,EFLR-1st leg-right.jpg:0996-2254,3.016,0
139,EJSA-1st leg-right.jpg:1613-2352,0.064,12.183
140,EJSA-1st leg-right.jpg:1283-2615,0.069,13.045
141,EJSA-1st leg-right.jpg:1122-2148,3.233,0
142,EMIY-1st leg-right.jpg:1863-3375,0.066,12.467
143,EMIY-1st leg-right.jpg:2309-3236,0.07,13.318
144,EMIY-1st leg-right.jpg:2298-3748,3.634,0
145,EMMR-1st leg-right.jpg:1596-1895,0.075,14.306
146,EMMR-1st leg-right.jpg:0779-2616,0.081,15.358
147,EMMR-1st leg-right.jpg:0543-2070,3.691,0
148,EWKB-1st leg-right.jpg:0887-3053,0.06,11.327
149,EWKB-1st leg-right.jpg:1838-3339,0.063,11.895
150,EWKB-1st leg-right.jpg:1575-3699,2.467,0
151,EXFC-1st leg-right.jpg:1583-2115,0.053,9.969
152,EXFC-1st leg-right.jpg:1157-2478,0.057,10.803
153,EXFC-1st leg-right.jpg:1024-2061,2.357,0
154,FDUO-1st leg-right.jpg:1580-2153,0.071,13.452
